run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,11.075162332999753,11.22271530099897,11.661783765001019,111.6618476069998,111.76401518100101,156.77213054700042,231.6814167340017
2,12.521310136999091,13.63201216899688,14.063295134998043,114.06336026299687,114.16517262499838,159.56231280499924,229.48413962599807
3,13.294134536001366,13.440623062000668,13.864622760000202,113.86468410100133,113.96692666500167,158.75683844800005,229.40611483999965
4,12.513381614997343,12.65709528199659,14.065078233998065,114.06514048600002,114.16704960899733,159.16623769099897,229.81979528899683
5,13.475435643998935,13.630820680999022,14.050837724000303,114.05090924099932,114.15285633700114,160.96969508999973,227.5001940309994
6,11.266254704001767,11.412529413999437,11.837451142000646,111.83751248200133,111.93984526300119,157.53398985500098,222.99736199700055
7,11.17945888900067,11.330791329000931,11.770357198998681,111.77041981900038,111.87275167400003,156.674992663,227.41848390099767
8,12.503678662000311,12.653389195002092,14.024684644002264,114.02475410800253,114.12713427000199,156.71830449700064,229.44980123300047
9,13.430407054998796,13.576962562998233,13.996221869001602,113.99628213499818,114.09828434299925,159.9064569559996,230.41204324299906
10,12.538381787999242,13.662863146997552,14.083349051998084,114.08341416099938,114.18534874599936,160.18614970899944,230.5456717140005
