timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784071159,1,82515,1594,,,
1784071160,2,83119,1669,604,75,88.95
1784071161,3,107231,4651,24112,2982,88.99
1784071162,4,126175,7345,18944,2694,87.55
1784071163,5,145348,9851,19173,2506,88.44
1784071164,6,174912,13530,29564,3679,88.93
1784071165,7,220357,18753,45445,5223,89.69
1784071166,8,267078,23675,46721,4922,90.47
1784071167,9,315964,29016,48886,5341,90.15
1784071168,10,365332,34301,49368,5285,90.33
1784071169,11,413546,39599,48214,5298,90.10
1784071170,12,463231,45248,49685,5649,89.79
1784071171,13,511153,50784,47922,5536,89.64
1784071172,14,559512,56344,48359,5560,89.69
1784071173,15,607075,61866,47563,5522,89.60
1784071174,16,654226,67511,47151,5645,89.31
1784071175,17,704077,73343,49851,5832,89.53
1784071176,18,751962,79153,47885,5810,89.18
1784071177,19,799911,85022,47949,5869,89.09
1784071178,20,848417,90973,48506,5951,89.07
1784071179,21,895283,96770,46866,5797,88.99
1784071180,22,945280,103010,49997,6240,88.90
1784071181,23,991684,108761,46404,5751,88.97
1784071182,24,1038930,114749,47246,5988,88.75
1784071183,25,1084368,120579,45438,5830,88.63
1784071185,27,1145042,128539,60674,7960,88.40
1784071186,28,1193328,134765,48286,6226,88.58
1784071187,29,1238680,140705,45352,5940,88.42
1784071188,30,1287098,147170,48418,6465,88.22
1784071189,31,1330575,152882,43477,5712,88.39
1784071190,32,1369482,157927,38907,5045,88.52
1784071191,33,1413256,163734,43774,5807,88.29
1784071192,34,1430168,166036,16912,2302,88.02
1784071193,35,1439929,167286,9761,1250,88.65
1784071194,36,1449622,168592,9693,1306,88.13
1784071195,37,1458121,169695,8499,1103,88.51
1784071196,38,1464261,170482,6140,787,88.64
1784071197,39,1469232,171146,4971,664,88.22
1784071198,40,1474146,171804,4914,658,88.19
1784071199,41,1479415,172468,5269,664,88.81
1784071200,42,1484134,173046,4719,578,89.09
1784071201,43,1489107,173694,4973,648,88.47
1784071202,44,1500740,175226,11633,1532,88.36
1784071203,45,1518688,177603,17948,2377,88.31
1784071204,46,1536470,179956,17782,2353,88.31
1784071205,47,1554139,182354,17669,2398,88.05
1784071206,48,1572841,184765,18702,2411,88.58
1784071207,49,1591442,187261,18601,2496,88.17
1784071208,50,1608435,189657,16993,2396,87.64
1784071209,51,1627098,192023,18663,2366,88.75
1784071210,52,1645267,194505,18169,2482,87.98
1784071211,53,1663024,196856,17757,2351,88.31
1784071212,54,1680298,199212,17274,2356,88.00
1784071213,55,1698313,201705,18015,2493,87.84
1784071214,56,1716228,204216,17915,2511,87.71
1784071215,57,1733666,206621,17438,2405,87.88
1784071216,58,1751496,209065,17830,2444,87.95
1784071217,59,1769613,211561,18117,2496,87.89
1784071218,60,1787537,213937,17924,2376,88.30
1784071219,61,1804704,216285,17167,2348,87.97
1784071220,62,1822384,218701,17680,2416,87.98
1784071221,63,1840672,221203,18288,2502,87.97
