timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 01:19:19:877,1,1601,1601.0,9045.89,29247,20287,27567,29247
2026-07-15 01:19:20:877,2,3451,1850.0,8673.24,29599,16031,21567,29599
2026-07-15 01:19:21:877,3,5318,1867.0,8538.72,23343,17567,18271,23343
2026-07-15 01:19:22:877,4,8052,2734.0,5873.9,25407,15871,20399,25407
2026-07-15 01:19:23:877,5,12590,4538.0,3516.98,47871,10679,47007,47871
2026-07-15 01:19:24:877,6,17241,4651.0,3441.6,24543,13911,20735,24543
2026-07-15 01:19:25:877,7,22264,5023.0,3176.62,22639,12719,20351,20415
2026-07-15 01:19:26:877,8,27374,5110.0,3134.63,24191,12463,19279,20159
2026-07-15 01:19:27:877,9,32271,4897.0,3265.06,28671,14031,21823,28671
2026-07-15 01:19:28:877,10,37405,5134.0,3110.16,18719,12511,18447,18527
2026-07-15 01:19:29:877,11,42510,5105.0,3133.03,25615,13183,25439,25599
2026-07-15 01:19:30:877,12,47667,5157.0,3104.03,22735,13919,18079,22687
2026-07-15 01:19:31:877,13,52758,5091.0,3131.12,28063,14215,23999,24047
2026-07-15 01:19:32:877,14,57777,5019.0,3190.47,27455,14927,22191,23071
2026-07-15 01:19:33:877,15,63133,5356.0,2986.91,28975,11695,18479,21695
2026-07-15 01:19:34:877,16,68444,5311.0,3005.29,21471,12135,21183,21455
2026-07-15 01:19:35:877,17,73665,5221.0,3061.94,23519,13967,19279,23455
2026-07-15 01:19:36:877,18,78961,5296.0,3024.94,22015,12911,17487,21295
2026-07-15 01:19:37:877,19,84167,5206.0,3072.42,22399,12991,21519,21679
2026-07-15 01:19:38:877,20,89624,5457.0,2929.81,22815,11983,16287,20943
2026-07-15 01:19:39:877,21,94923,5299.0,3020.04,19807,12063,19199,19791
2026-07-15 01:19:40:877,22,100131,5208.0,3049.01,19247,13615,18223,19231
2026-07-15 01:19:41:877,23,105636,5505.0,2919.42,21535,12031,16303,20991
2026-07-15 01:19:42:877,24,110578,4942.0,3243.44,33247,16311,32287,33247
2026-07-15 01:19:44:709,25,116056,2990.17,2917.62,19903,12439,15599,19887
2026-07-15 01:19:45:709,26,121727,5671.0,2817.56,26943,10975,21247,21359
2026-07-15 01:19:46:709,27,126900,5173.0,3094.18,21615,13839,21503,21567
2026-07-15 01:19:47:709,28,132540,5640.0,2836.02,16223,11719,16119,16207
2026-07-15 01:19:48:709,29,137148,4608.0,3444.55,33983,17375,19919,33983
2026-07-15 01:19:49:709,30,141438,4290.0,3755.63,29455,18623,22527,29455
2026-07-15 01:19:50:709,31,145395,3957.0,4015.67,32639,16687,25359,32639
2026-07-15 01:19:51:709,32,146510,1115.0,14309.44,55263,41023,41983,55263
2026-07-15 01:19:52:709,33,147635,1125.0,14257.99,100607,32655,64063,100607
2026-07-15 01:19:53:709,34,148792,1157.0,13880.62,81279,23903,65311,81279
2026-07-15 01:19:54:709,35,149447,655.0,24128.23,147711,46399,116159,147711
2026-07-15 01:19:55:709,36,150090,643.0,24870.32,68223,41695,65279,68223
2026-07-15 01:19:56:709,37,150645,555.0,28846.1,59679,42143,57855,59679
2026-07-15 01:19:57:709,38,151193,548.0,29334.89,80895,50047,66303,80895
