t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
25483.793947113,0.0009399049995408859,1784069711.906369,,,,,,,,,,,,,,,0.0,30435414016,0,1982464,0,0.0,0.0,0.15,0.07,0.01,52752401,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,4.82,8.29,9.19,1721641512,4.51,8.11,8.96,1687835848
25484.795121095,1.002113886999723,1784069712.9075437,44262,0.0,65564672,3125248,0,,,,,,,,,,6.5,30386753536,0,905216,0,3121583.317373335,1108714.3892636616,0.12,0.07,0.01,52755321,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,3.94,8.02,9.13,1721644705,3.69,7.84,8.89,1687838857
25485.796033589,2.0030263809967437,1784069713.908456,44262,98.9,65568768,3125248,0,0.0,0.0,,,,,,,,6.6,30369054720,0,1454080,0,0.0,0.0,0.12,0.07,0.01,52755643,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,3.94,8.02,9.13,1721644705,3.69,7.84,8.89,1687838857
25486.796840952,3.003833743998257,1784069714.9092631,44262,100.9,65576960,3125248,0,0.0,0.0,,,,,,,,6.6,30374576128,0,1474560,0,0.0,0.0,0.1,0.06,0.01,52756017,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,3.23,7.75,9.07,1721644705,3.02,7.58,8.83,1687838857
25487.797606032,4.004598823998094,1784069715.910028,44262,98.9,65585152,3125248,0,0.0,0.0,,,,,,,,6.6,30385246208,0,1474560,0,0.0,0.0,0.1,0.06,0.01,52756434,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,3.23,7.75,9.07,1721644705,3.02,7.58,8.83,1687838857
25488.798234902,5.005227693996858,1784069716.9106567,44262,99.9,65593344,3125248,0,0.0,0.0,,,,,,,,6.6,30388084736,0,1474560,0,0.0,0.0,0.08,0.06,0.01,52757438,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,2.64,7.5,9.01,1721644705,2.47,7.33,8.77,1687838857
25489.798965758,6.005958549998468,1784069717.9113886,44262,121.9,563621888,33980416,0,30832633.784553118,0.0,,,,,,,,7.6,29889380352,0,1654784,0,30832633.784553118,49116.10320119971,0.08,0.06,0.01,52760603,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,2.64,7.5,9.01,1721645456,2.47,7.33,8.77,1687839554
25490.799845488,7.006838279998192,1784069718.9122684,44262,38.0,608813056,88117248,733184,54089248.06581399,732539.56297047,,,,,,,,2.5,29847777280,0,1662976,0,54089248.06581399,761186.361522388,0.06,0.06,0.01,52761435,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,2.16,7.25,8.94,1721660153,2.03,7.09,8.71,1687854155
25491.800684427,8.007677218996832,1784069719.9131067,44262,28.0,649281536,103796736,14245888,15666344.892303694,13501377.168158278,,,,,,,,2.1,29809995776,0,1499136,0,15666344.892303694,10976263.584419673,0.06,0.06,0.01,52762848,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,2.16,7.25,8.94,1721679180,2.03,7.09,8.71,1687871661
25492.801440113,9.00843290499688,1784069720.9138627,44262,142.9,807862272,195534848,17883136,91668839.14162005,3634501.4581309375,,,,,,,,9.3,29624770560,0,1720320,0,91668839.14162005,2750433.5358828716,0.05,0.06,0.01,52765133,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,1.95,7.05,8.89,1721686492,1.84,6.89,8.66,1687878820
25493.802437393,10.009430184996745,1784069721.9148598,44262,1.0,807862272,195534848,17883136,0.0,0.0,,,,,,,,0.4,29624250368,0,2035712,0,0.0,0.0,0.05,0.06,0.01,52765554,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,1.95,7.05,8.89,1721686492,1.84,6.89,8.66,1687878820
25494.803158795,11.010151586997381,1784069722.9155812,44262,2.0,820772864,195543040,17883136,8186.094535025039,0.0,,,,,,,,0.3,29611532288,0,2039808,0,8186.094535025039,0.0,0.04,0.05,0.01,52766031,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,1.6,6.82,8.83,1721687584,1.5,6.67,8.6,1687879907
25495.804302957,12.011295748998236,1784069723.9167254,44262,4.0,823275520,195829760,19853312,286392.3207892162,1967924.375708757,,,,,,,,0.5,29609807872,0,2084864,0,286392.3207892162,1493331.3869723415,0.04,0.05,0.01,52766419,0.0,0.0,0.0,0,0.0,0.0,0.0,1332620,0.0,0.0,0.0,1331710,1.6,6.82,8.83,1721698103,1.5,6.67,8.6,1687890205
