run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,13.007135973000004,13.151810593999926,-3441.579761384,-3441.579761384,-3441.579761384,-3441.579761384,13.58029561300009,202.09791546399993,0.0,0.0,0.0,0.0
2,13.049871146999976,13.189787797000008,-3654.667470103,-3654.667470103,-3654.667470103,-3654.667470103,13.623654395999893,200.11769693399992,0.0,0.0,0.0,0.0
3,12.600706545000321,12.746718172000328,-3865.79948428,-3865.79948428,-3865.79948428,-3865.79948428,14.104867566999928,209.218976312,0.0,0.0,0.0,0.0
4,10.937681805000466,11.082221249999748,-4086.023949601,-4086.023949601,-4086.023949601,-4086.023949601,11.522707455999807,198.09515632900002,0.0,0.0,0.0,0.0
5,11.329572786000426,11.475592793000033,-4295.111627058,-4295.111627058,-4295.111627058,-4295.111627058,11.908836646000054,196.0292616960005,0.0,0.0,0.0,0.0
6,11.12264708300063,11.267150594000668,-4502.148812879,-4502.148812879,-4502.148812879,-4502.148812879,11.695753226999841,195.92904401900068,0.0,0.0,0.0,0.0
7,10.704315830000269,10.855707572000028,-4709.079807491,-4709.079807491,-4709.079807491,-4709.079807491,11.286267463000513,208.69169771199995,0.0,0.0,0.0,0.0
8,13.536701431999973,13.690060439999797,-4928.777227152,-4928.777227152,-4928.777227152,-4928.777227152,14.124537753999903,211.58161012599976,0.0,0.0,0.0,0.0
9,13.593672496000181,13.745172881000144,-5151.464500459,-5151.464500459,-5151.464500459,-5151.464500459,14.184446190999552,211.50977829800013,0.0,0.0,0.0,0.0
10,11.246334908999415,11.39980982599991,-5373.968250001,-5373.968250001,-5373.968250001,-5373.968250001,11.839623068999572,196.0887011879995,0.0,0.0,0.0,0.0
