run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,11.32892801700018,11.472879486999773,-5581.135686069,-5581.135686069,-5581.135686069,-5581.135686069,11.916406736999306,211.94774197700008,0.0,0.0,0.0,0.0
2,12.591768145999595,13.697816192999198,-5803.948917837,-5803.948917837,-5803.948917837,-5803.948917837,14.1039793559994,215.66007931999957,0.0,0.0,0.0,0.0
3,13.561444899999515,13.700518394999563,-6030.480792225,-6030.480792225,-6030.480792225,-6030.480792225,14.111138125999787,216.10311685399938,0.0,0.0,0.0,0.0
4,12.176166983999792,12.310902380999323,-6257.477915741,-6257.477915741,-6257.477915741,-6257.477915741,12.705642234000152,214.41441830699932,0.0,0.0,0.0,0.0
5,10.782971063999867,10.918787489999886,-6482.766545681,-6482.766545681,-6482.766545681,-6482.766545681,11.318555308000214,213.2576636189997,0.0,0.0,0.0,0.0
6,13.486215521999839,13.61863993499992,-6706.906194792,-6706.906194792,-6706.906194792,-6706.906194792,14.024216589000389,213.68281952899997,0.0,0.0,0.0,0.0
7,13.328280581999934,13.463470292999773,-6931.472615272,-6931.472615272,-6931.472615272,-6931.472615272,13.869553411999732,215.36466412499976,0.0,0.0,0.0,0.0
8,11.16785329600043,11.301630949000355,-7157.733877479,-7157.733877479,-7157.733877479,-7157.733877479,11.70450549600082,213.3747883850001,0.0,0.0,0.0,0.0
9,11.31661537599939,11.45552592399963,-7381.979796507,-7381.979796507,-7381.979796507,-7381.979796507,11.853161422000085,213.7990245639994,0.0,0.0,0.0,0.0
10,12.680874307000522,13.773531068000011,-7606.648870139,-7606.648870139,-7606.648870139,-7606.648870139,14.170331060000535,216.05583964900052,0.0,0.0,0.0,0.0
