timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 19:38:42:047,1,59137,59137.0,236.54,17615,1373,5951,12015
2026-07-14 19:38:43:047,2,172743,113606.0,139.58,15807,414,3061,10535
2026-07-14 19:38:44:047,3,296400,123657.0,128.52,6419,420,2897,6147
2026-07-14 19:38:45:047,4,424293,127893.0,124.27,7987,552,4015,7603
2026-07-14 19:38:46:048,5,563412,139119.0,114.38,8303,853,3839,5939
2026-07-14 19:38:47:047,6,735689,172277.0,91.99,6107,195,772,3035
2026-07-14 19:38:48:048,7,909106,173417.0,91.54,5695,173,806,3095
2026-07-14 19:38:49:048,8,1084729,175623.0,90.37,5887,166,526,2099
2026-07-14 19:38:50:047,9,1257466,172737.0,91.82,5883,188,783,3503
2026-07-14 19:38:51:047,10,1431796,174330.0,91.03,10927,177,605,3553
2026-07-14 19:38:52:047,11,1605795,173999.0,91.19,6543,173,616,2293
2026-07-14 19:38:53:047,12,1781690,175895.0,90.16,3985,163,497,1371
2026-07-14 19:38:54:048,13,1957531,175841.0,90.25,4315,180,550,1890
2026-07-14 19:38:55:047,14,2132321,174790.0,90.75,3975,199,547,1510
2026-07-14 19:38:56:047,15,2308443,176122.0,90.08,2839,172,547,1308
2026-07-14 19:38:57:047,16,2481102,172659.0,91.87,6463,185,688,3301
2026-07-14 19:38:58:047,17,2656650,175548.0,90.35,3015,162,490,1520
2026-07-14 19:38:59:047,18,2830099,173449.0,91.43,5495,170,711,2413
2026-07-14 19:39:00:047,19,3005538,175439.0,90.38,6847,167,490,1366
2026-07-14 19:39:01:047,20,3179563,174025.0,91.15,5451,169,524,2331
2026-07-14 19:39:02:047,21,3354862,175299.0,90.43,5399,162,479,1346
2026-07-14 19:39:03:047,22,3527468,172606.0,91.84,6711,185,612,2847
2026-07-14 19:39:04:047,23,3702760,175292.0,90.5,5407,164,516,1360
2026-07-14 19:39:05:047,24,3877787,175027.0,90.57,5819,162,534,2133
2026-07-14 19:39:06:047,25,4052689,174902.0,90.73,5463,171,533,1542
2026-07-14 19:39:07:047,26,4228009,175320.0,90.4,5563,160,492,1286
2026-07-14 19:39:09:275,28,4400913,77639.87,91.76,14335,191,692,2519
2026-07-14 19:39:10:274,29,4575843,174930.0,90.62,7263,162,500,1785
2026-07-14 19:39:11:274,30,4748787,172944.0,91.71,9039,170,653,3153
2026-07-14 19:39:12:274,31,4924248,175461.0,90.37,16863,167,503,1609
2026-07-14 19:39:13:274,32,5098091,173843.0,91.23,10471,183,572,1874
2026-07-14 19:39:14:275,33,5273085,174819.18,90.64,14991,179,535,1762
2026-07-14 19:39:15:274,34,5447345,174434.43,91.0,4871,182,569,2009
2026-07-14 19:39:16:275,35,5621094,173749.0,91.28,17471,165,561,3573
2026-07-14 19:39:17:275,36,5795773,174679.0,90.78,122879,178,541,2021
2026-07-14 19:39:18:274,37,5971426,175653.0,90.26,3087,166,497,1446
2026-07-14 19:39:19:275,38,6147074,175648.0,90.32,2671,161,497,1412
2026-07-14 19:39:20:274,39,6320884,173810.0,91.22,5627,169,614,2835
2026-07-14 19:39:21:274,40,6496455,175571.0,90.33,3109,160,530,1162
2026-07-14 19:39:22:274,41,6670232,173777.0,91.26,6231,170,618,2451
2026-07-14 19:39:23:274,42,6846900,176668.0,89.76,2975,170,451,1152
2026-07-14 19:39:24:275,43,7020753,173853.0,91.25,4183,196,524,2253
2026-07-14 19:39:25:275,44,7196124,175371.0,90.46,9423,163,530,1180
2026-07-14 19:39:26:274,45,7370286,174162.0,91.0,5067,174,554,1937
2026-07-14 19:39:27:274,46,7546443,176157.0,90.03,4175,161,499,1342
2026-07-14 19:39:28:274,47,7721083,174640.0,90.8,6043,164,569,2261
2026-07-14 19:39:29:274,48,7896276,175193.0,90.54,2023,193,507,1280
2026-07-14 19:39:30:274,49,8071509,175233.0,90.47,4343,164,544,1693
2026-07-14 19:39:31:274,50,8246542,175033.0,90.62,9951,174,577,1876
2026-07-14 19:39:32:274,51,8422730,176188.0,89.98,3229,163,456,1121
2026-07-14 19:39:33:275,52,8597669,174939.0,90.7,4907,181,532,2421
2026-07-14 19:39:34:275,53,8772793,174949.05,90.54,4579,172,549,1182
2026-07-14 19:39:35:275,54,8947260,174641.64,90.93,5939,171,613,2349
2026-07-14 19:39:36:274,55,9123367,176107.0,90.0,2857,159,482,1048
2026-07-14 19:39:37:274,56,9297556,174189.0,91.05,5483,172,626,2349
2026-07-14 19:39:38:274,57,9473722,176166.0,90.0,5151,177,525,1234
2026-07-14 19:39:39:274,58,9648580,174858.0,90.71,6383,177,568,1974
2026-07-14 19:39:40:276,59,9824758,176178.0,90.12,2639,160,484,1010
2026-07-14 19:39:41:274,60,10000722,175964.0,90.01,3609,163,475,1809
2026-07-14 19:39:42:274,61,10174763,174041.0,91.1,4475,189,564,2087
2026-07-14 19:39:43:274,62,10351100,176337.0,89.93,2099,159,485,1091
2026-07-14 19:39:44:274,63,10525179,174079.0,91.08,5899,165,606,2219
2026-07-14 19:39:45:275,64,10701887,176708.0,89.78,3573,161,481,1026
2026-07-14 19:39:46:274,65,10875813,173926.0,91.12,5899,172,563,2145
2026-07-14 19:39:47:275,66,11049686,173873.0,91.24,4607,173,533,3645
2026-07-14 19:39:48:274,67,11223634,173948.0,91.11,5919,174,579,2181
2026-07-14 19:39:49:274,68,11399302,175668.0,90.28,2849,184,505,1140
2026-07-14 19:39:50:274,69,11574202,174900.0,90.64,5907,167,533,2309
2026-07-14 19:39:51:274,70,11749300,175098.0,90.57,2817,186,546,1499
2026-07-14 19:39:52:274,71,11925546,176246.0,89.96,2401,160,486,1127
2026-07-14 19:39:53:274,72,12100200,174654.0,90.78,3657,177,566,1834
2026-07-14 19:39:54:274,73,12276226,176026.0,90.08,2221,165,517,759
2026-07-14 19:39:55:274,74,12450184,173958.0,91.16,4519,191,574,2235
2026-07-14 19:39:56:274,75,12628204,178020.0,89.05,3415,158,372,1028
2026-07-14 19:39:57:275,76,12804184,175804.2,90.15,5175,167,599,2205
2026-07-14 19:39:58:274,77,12982170,178164.16,89.06,2077,158,377,999
2026-07-14 19:39:59:274,78,13158488,176318.0,89.96,5923,162,506,2337
2026-07-14 19:40:00:274,79,13336390,177902.0,89.12,2787,158,413,1091
2026-07-14 19:40:01:274,80,13510215,173825.0,91.26,4103,185,613,2149
2026-07-14 19:40:02:274,81,13685917,175702.0,90.24,2297,175,485,1309
2026-07-14 19:40:03:274,82,13863787,177870.0,89.15,2991,177,456,1150
2026-07-14 19:40:04:274,83,14039915,176128.0,90.03,5035,180,564,2101
2026-07-14 19:40:05:274,84,14217759,177844.0,89.18,2629,157,459,1083
2026-07-14 19:40:06:274,85,14393553,175794.0,90.19,6191,164,581,1831
2026-07-14 19:40:07:275,86,14571490,177937.0,89.17,2849,158,448,1101
2026-07-14 19:40:08:274,87,14746739,175249.0,90.45,4799,178,511,1819
2026-07-14 19:40:09:275,88,14924635,177896.0,89.15,2255,158,456,987
2026-07-14 19:40:10:275,89,15100394,175759.0,90.22,4151,163,556,2089
2026-07-14 19:40:11:275,90,15277783,177389.0,89.4,2577,159,497,1148
2026-07-14 19:40:12:275,91,15454367,176584.0,89.82,4073,177,542,2029
2026-07-14 19:40:13:274,92,15631264,176897.0,89.62,2659,166,527,1389
2026-07-14 19:40:14:274,93,15808846,177582.0,89.29,2765,159,469,942
2026-07-14 19:40:15:274,94,15985001,176155.0,90.04,5319,162,544,2407
2026-07-14 19:40:16:275,95,16162445,177266.73,89.41,2887,159,487,1150
2026-07-14 19:40:17:274,96,16338657,176388.39,89.96,5171,184,595,2449
2026-07-14 19:40:18:274,97,16510508,171851.0,92.29,1946,202,518,1058
2026-07-14 19:40:19:274,98,16681212,170704.0,92.93,9479,195,588,1802
2026-07-14 19:40:20:274,99,16857514,176302.0,89.93,2253,168,473,1032
2026-07-14 19:40:21:274,100,17032992,175478.0,90.39,3381,181,535,2217
2026-07-14 19:40:22:275,101,17210172,177003.0,89.51,1989,161,462,1065
2026-07-14 19:40:23:274,102,17387738,177743.74,89.31,5903,176,540,1946
2026-07-14 19:40:24:274,103,17564411,176673.0,89.75,2771,175,565,1504
2026-07-14 19:40:25:274,104,17743000,178589.0,88.81,2465,160,481,1110
2026-07-14 19:40:26:274,105,17918897,175897.0,90.15,5883,161,617,2319
2026-07-14 19:40:27:274,106,18096962,178065.0,89.07,2967,158,498,930
2026-07-14 19:40:28:274,107,18273194,176232.0,89.97,9039,161,549,2127
2026-07-14 19:40:29:274,108,18451150,177956.0,89.13,2773,162,472,1032
