timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784051397,0,82515,1594,,,
1784051398,1,83222,1690,707,96,88.04
1784051399,2,277698,73805,194476,72115,72.95
1784051400,3,581393,183845,303695,110040,73.40
1784051401,4,944574,314615,363181,130770,73.53
1784051402,5,1321485,450131,376911,135516,73.55
1784051403,6,1737896,600311,416411,150180,73.49
1784051404,7,2238793,781453,500897,181142,73.44
1784051405,8,2748904,965673,510111,184220,73.47
1784051406,9,3266311,1152629,517407,186956,73.46
1784051407,10,3776641,1336726,510330,184097,73.49
1784051408,11,4295964,1523518,519323,186792,73.55
1784051409,12,5331467,1897742,1035503,374224,73.45
1784051410,13,5851357,2085375,519890,187633,73.48
1784051411,14,6368729,2272346,517372,186971,73.45
1784051412,15,6890339,2460423,521610,188077,73.50
1784051413,16,7407033,2646836,516694,186413,73.49
1784051414,17,7928350,2835322,521317,188486,73.45
1784051415,18,8442193,3021306,513843,185984,73.42
1784051417,20,8963297,3209249,521104,187943,73.49
1784051418,21,9481204,3396229,517907,186980,73.47
1784051419,22,10002627,3584953,521423,188724,73.42
1784051420,23,10521399,3771992,518772,187039,73.50
1784051421,24,11044215,3961223,522816,189231,73.42
1784051422,25,11563409,4148364,519194,187141,73.51
1784051423,26,12086812,4337680,523403,189316,73.44
1784051424,27,12607913,4525830,521101,188150,73.47
1784051425,28,13116777,4709913,508864,184083,73.43
1784051426,29,13620679,4891558,503902,181645,73.50
1784051427,30,14123217,5072151,502538,180593,73.56
1784051428,31,14630638,5255041,507421,182890,73.51
1784051429,32,15137362,5437716,506724,182675,73.50
1784051430,33,15649571,5623158,512209,185442,73.42
1784051431,34,16158534,5806642,508963,183484,73.50
1784051432,35,16667411,5990832,508877,184190,73.42
1784051433,36,17179377,6175697,511966,184865,73.47
1784051434,37,17692589,6361100,513212,185403,73.46
1784051435,38,18211496,6548096,518907,186996,73.51
1784051436,39,18724748,6733207,513252,185111,73.49
1784051437,40,19245225,6920745,520477,187538,73.51
1784051438,41,19760843,7106094,515618,185349,73.56
1784051439,42,20277977,7293155,517134,187061,73.44
1784051440,43,20793587,7479164,515610,186009,73.49
1784051441,44,21315400,7667666,521813,188502,73.46
1784051442,45,21832137,7854208,516737,186542,73.48
1784051443,46,22353816,8042552,521679,188344,73.47
1784051444,47,22873252,8229639,519436,187087,73.52
1784051445,48,23392018,8416676,518766,187037,73.50
1784051446,49,23909934,8604347,517916,187671,73.40
1784051447,50,24424926,8790062,514992,185715,73.50
1784051448,51,24944543,8977828,519617,187766,73.46
1784051449,52,25459769,9163733,515226,185905,73.48
1784051450,53,25979009,9352332,519240,188599,73.36
1784051451,54,26495814,9537810,516805,185478,73.59
1784051452,55,27017456,9726227,521642,188417,73.46
1784051453,56,27532944,9912766,515488,186539,73.43
1784051454,57,28053905,10101252,520961,188486,73.43
1784051455,58,28572613,10288200,518708,186948,73.51
1784051456,59,29090015,10475385,517402,187185,73.43
1784051457,60,29609848,10663183,519833,187798,73.46
1784051458,61,30125941,10849937,516093,186754,73.43
1784051459,62,30646563,11038066,520622,188129,73.46
1784051460,63,31161084,11224316,514521,186250,73.42
1784051461,64,31682381,11412894,521297,188578,73.44
1784051462,65,32197920,11599270,515539,186376,73.45
1784051463,66,32714166,11785135,516246,185865,73.53
1784051464,67,33227930,11971490,513764,186355,73.38
1784051465,68,33748581,12160218,520651,188728,73.40
1784051466,69,34266696,12347506,518115,187288,73.45
1784051467,70,35246869,12701056,980173,353550,73.49
1784051468,71,35828312,12910304,581443,209248,73.54
1784051469,72,36350779,13098668,522467,188364,73.50
1784051470,73,36867943,13285759,517164,187091,73.43
1784051471,74,37389799,13474798,521856,189039,73.41
1784051472,75,37907152,13662084,517353,187286,73.42
1784051473,76,38428492,13850683,521340,188599,73.43
1784051474,77,38944147,14037279,515655,186596,73.43
1784051476,79,39463720,14225261,519573,187982,73.43
1784051477,80,39984386,14412834,520666,187573,73.52
1784051478,81,40503382,14599753,518996,186919,73.52
1784051479,82,41025353,14788413,521971,188660,73.45
1784051480,83,41542289,14975440,516936,187027,73.43
1784051481,84,42062638,15164474,520349,189034,73.35
1784051482,85,42579656,15351423,517018,186949,73.44
1784051483,86,43103285,15539985,523629,188562,73.52
1784051484,87,43620882,15726283,517597,186298,73.53
1784051485,88,44143831,15914669,522949,188386,73.52
1784051486,89,44662328,16100751,518497,186082,73.59
1784051487,90,45184082,16289364,521754,188613,73.45
1784051488,91,45704099,16478122,520017,188758,73.37
1784051489,92,46223768,16665420,519669,187298,73.51
1784051490,93,46745338,16853949,521570,188529,73.45
1784051491,94,47263391,17041039,518053,187090,73.47
1784051492,95,47786893,17230144,523502,189105,73.46
1784051493,96,48299240,17415924,512347,185780,73.39
1784051494,97,48820837,17604410,521597,188486,73.46
1784051495,98,49339256,17791182,518419,186772,73.51
1784051496,99,49861495,17980206,522239,189024,73.42
1784051497,100,50379118,18167270,517623,187064,73.45
1784051498,101,50900858,18356457,521740,189187,73.39
1784051499,102,51420968,18544698,520110,188241,73.43
1784051500,103,51938988,18731577,518020,186879,73.49
1784051501,104,52460028,18920836,521040,189259,73.36
1784051502,105,52976609,19107950,516581,187114,73.41
1784051503,106,53498304,19296938,521695,188988,73.41
1784051504,107,54017402,19483339,519098,186401,73.58
1784051505,108,54540106,19671970,522704,188631,73.48
1784051506,109,55057338,19858533,517232,186563,73.49
1784051507,110,55580940,20047574,523602,189041,73.47
1784051508,111,56096005,20234452,515065,186878,73.38
1784051509,112,56619412,20423024,523407,188572,73.51
1784051510,113,57140742,20612177,521330,189153,73.38
1784051511,114,57659674,20798872,518932,186695,73.54
1784051512,115,58182822,20987271,523148,188399,73.52
1784051513,116,58699497,21173811,516675,186540,73.47
1784051514,117,59221550,21362265,522053,188454,73.48
1784051515,118,59739245,21549354,517695,187089,73.45
1784051516,119,60261889,21737985,522644,188631,73.48
1784051517,120,60778274,21924547,516385,186562,73.46
1784051518,121,61300655,22113249,522381,188702,73.46
1784051519,122,61818159,22300224,517504,186975,73.46
1784051520,123,62341337,22489505,523178,189281,73.43
1784051521,124,62863406,22678419,522069,188914,73.43
1784051522,125,63384408,22865060,521002,186641,73.62
1784051523,126,63907318,23054425,522910,189365,73.41
1784051524,127,64422576,23240230,515258,185805,73.50
1784051525,128,64943676,23428625,521100,188395,73.45
1784051526,129,65458175,23614025,514499,185400,73.51
1784051527,130,65980030,23802805,521855,188780,73.44
1784051528,131,67021841,24177573,1041811,374768,73.54
1784051529,132,67538419,24364414,516578,186841,73.44
1784051530,133,68060682,24553286,522263,188872,73.44
1784051531,134,68581235,24740880,520553,187594,73.51
1784051532,135,69098657,24927577,517422,186697,73.49
1784051533,136,69621754,25115627,523097,188050,73.56
1784051534,137,70138424,25302916,516670,187289,73.39
1784051536,139,70660297,25491574,521873,188658,73.45
1784051537,140,71178912,25678138,518615,186564,73.54
1784051538,141,71700124,25867289,521212,189151,73.37
1784051539,142,72217966,26054690,517842,187401,73.43
1784051540,143,72740143,26243584,522177,188894,73.44
1784051541,144,73257501,26429537,517358,185953,73.56
1784051542,145,73779080,26617717,521579,188180,73.49
1784051543,146,74301797,26806439,522717,188722,73.47
1784051544,147,74820064,26993623,518267,187184,73.47
1784051545,148,75341569,27182005,521505,188382,73.46
1784051546,149,75859316,27368173,517747,186168,73.55
1784051547,150,76382600,27556884,523284,188711,73.50
1784051548,151,76898259,27743220,515659,186336,73.46
1784051549,152,77421704,27932246,523445,189026,73.47
1784051550,153,77942070,28119847,520366,187601,73.50
1784051551,154,78467302,28309126,525232,189279,73.51
1784051552,155,78986992,28496711,519690,187585,73.48
1784051553,156,79511650,28685756,524658,189045,73.51
1784051554,157,80033993,28874400,522343,188644,73.47
1784051555,158,80556027,29063229,522034,188829,73.44
1784051556,159,81074511,29250384,518484,187155,73.48
1784051557,160,81591349,29436645,516838,186261,73.51
1784051558,161,82115220,29625657,523871,189012,73.49
1784051559,162,82633629,29813271,518409,187614,73.43
1784051560,163,83159310,30002821,525681,189550,73.50
1784051561,164,83680279,30190551,520969,187730,73.51
1784051562,165,84203746,30379879,523467,189328,73.44
1784051563,166,84722235,30567401,518489,187522,73.44
1784051564,167,85244890,30755853,522655,188452,73.50
1784051565,168,85766874,30944696,521984,188843,73.43
1784051566,169,86288388,31133341,521514,188645,73.44
1784051567,170,86813705,31322919,525317,189578,73.48
1784051568,171,87330883,31509548,517178,186629,73.48
1784051569,172,87853041,31698541,522158,188993,73.42
1784051570,173,88370843,31884998,517802,186457,73.52
1784051571,174,88893283,32074077,522440,189079,73.43
1784051572,175,89411832,32261479,518549,187402,73.45
1784051573,176,89936219,32450487,524387,189008,73.51
1784051574,177,90456609,32637748,520390,187261,73.54
1784051575,178,90982448,32827225,525839,189477,73.51
1784051576,179,91502799,33014501,520351,187276,73.53
1784051577,180,92026604,33204351,523805,189850,73.40
1784051578,181,92549401,33393145,522797,188794,73.47
1784051579,182,93069348,33581041,519947,187896,73.46
1784051580,183,93593755,33770137,524407,189096,73.50
1784051581,184,94113856,33957767,520101,187630,73.49
1784051582,185,94637769,34147073,523913,189306,73.46
1784051583,186,95154431,34333682,516662,186609,73.47
1784051584,187,95678757,34522067,524326,188385,73.57
1784051585,188,96195052,34708787,516295,186720,73.44
1784051586,189,96719589,34897881,524537,189094,73.50
1784051587,190,97238362,35085447,518773,187566,73.45
