t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
6706.907080109,0.0008853170002112165,1784050935.019502,,,,,,,,,,,,,,,0.0,30424047616,0,1736704,0,0.0,0.0,0.0,0.0,0.0,15549132,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380018763,0.0,0.0,0.1,374892383
6707.907753247,1.0015584550001222,1784050936.0201757,13181,0.0,59920384,0,0,,,,,,,,,,6.4,30389219328,0,2732032,0,0.0,1444915.372556077,0.0,0.0,0.0,15552549,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020125,0.0,0.0,0.1,374893703
6708.908842221,2.0026474289998077,1784050937.0212643,13181,98.9,59928576,0,0,0.0,0.0,,,,,,,,6.4,30388641792,0,2723840,0,0.0,8183.088829028071,0.0,0.0,0.0,15553856,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020125,0.0,0.0,0.1,374893703
6709.909907806,3.0037130139999135,1784050938.0223298,13181,99.9,59936768,0,0,0.0,0.0,,,,,,,,6.5,30388383744,0,1589248,4096,0.0,1174300.682806787,0.0,0.0,0.0,15554286,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020294,0.0,0.0,0.1,374893862
6710.910963203,4.004768411000441,1784050939.0233853,13181,99.9,59944960,0,0,0.0,0.0,,,,,,,,6.5,30388039680,0,1531904,0,0.0,0.0,0.0,0.0,0.0,15555042,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020294,0.0,0.0,0.1,374893862
6711.911647257,5.005452465000417,1784050940.0240693,13181,99.9,59953152,0,0,0.0,0.0,,,,,,,,6.6,30393122816,0,1544192,0,0.0,0.0,0.0,0.0,0.0,15555378,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020294,0.0,0.0,0.1,374893862
6712.912332521,6.006137729000329,1784050941.0247555,13181,114.9,546578432,0,0,0.0,0.0,,,,,,,,7.3,29908992000,0,1581056,0,0.0,45025.145888431856,0.0,0.0,0.0,15557397,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380020483,0.0,0.0,0.1,374894050
6713.913277153,7.007082361000357,1784050942.0256999,13181,56.9,625119232,4096,1388544,4092.134438860636,1387233.5747737556,,,,,,,,3.6,29830193152,0,1581056,131072,4092.134438860636,1391325.7092126163,0.0,0.0,0.0,15558425,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380022136,0.0,0.0,0.09,374895689
6714.914084598,8.007889806000094,1784050943.0265067,13181,17.0,652918784,4096,12869632,0.0,11471825.132159185,,,,,,,,1.1,29807697920,0,1163264,0,0.0,10244016.52008364,0.0,0.0,0.0,15559750,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380024396,0.0,0.0,0.09,374897798
6715.914776516,9.008581723999669,1784050944.0271988,13181,140.9,825516032,12288,16797696,8186.335726959954,3925347.981077298,,,,,,,,9.0,29635846144,0,1650688,0,8186.335726959954,3151739.254879582,0.0,0.0,0.0,15560987,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380027982,0.0,0.0,0.09,374901242
6716.915449435,10.009254642999622,1784050945.0278714,13181,2.0,825647104,12288,16797696,0.0,0.0,,,,,,,,0.1,29635846144,0,1650688,0,0.0,0.0,0.0,0.0,0.0,15561511,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.1,380027982,0.0,0.0,0.09,374901242
6717.916240434,11.010045642000478,1784050946.0286624,13181,1.0,825720832,12288,16797696,0.0,0.0,,,,,,,,0.3,29635846144,0,1675264,0,0.0,0.0,0.0,0.0,0.0,15562009,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380027982,0.0,0.0,0.09,374901242
6718.916796867,12.010602074999952,1784050947.0292192,13181,4.0,825896960,12288,18395136,0.0,1596551.6259899351,,,,,,,,0.3,29634809856,0,1536000,131072,0.0,1355022.0210324835,0.0,0.0,0.0,15562425,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380030171,0.0,0.0,0.09,374903414
6719.917574038,13.011379245999706,1784050948.0299966,13181,3.0,830185472,12288,19255296,0.0,859492.027721535,,,,,,,,0.4,29633347584,0,1691648,0,0.0,798099.7400271395,0.0,0.0,0.0,15562866,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380032858,0.0,0.0,0.09,374906091
6720.918421789,14.012226996999743,1784050949.0308447,13181,33.0,847265792,16384,22859776,4092.530553130899,3601426.8867551913,,,,,,,,2.2,29611442176,0,1892352,0,4092.530553130899,2480073.515197325,0.0,0.0,0.0,15563695,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380034859,0.0,0.0,0.09,374908046
6721.919198543,15.013003750999815,1784050950.0316217,13181,444.6,1588682752,16384,41619456,0.0,18745119.65332746,,,,,,,,27.6,28866699264,0,1052672,0,0.0,18163939.08765661,0.0,0.0,0.0,15567506,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380036015,0.0,0.0,0.09,374909156
6722.920206303,16.014011510999808,1784050951.0326297,13181,474.5,2025230336,16384,75567104,0.0,33913471.36010238,,,,,,,,29.3,28423614464,0,1863680,6356992,0.0,26625839.54394138,0.0,0.0,0.0,15573670,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380037618,0.0,0.0,0.09,374910707
6723.921025837,17.014831045000392,1784050952.0334487,13181,471.6,2520219648,20480,110956544,4092.645937501865,35360460.900016114,,,,,,,,29.1,27940114432,0,9605120,0,4092.645937501865,23905144.920948394,0.0,0.0,0.0,15579294,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380039956,0.0,0.0,0.09,374912809
6724.921763094,18.015568302000247,1784050953.0341861,13181,468.6,3172917248,20480,146280448,0.0,35297880.39060198,,,,,,,,28.8,27289890816,0,5013504,0,0.0,27005498.00755935,0.0,0.0,0.0,15584372,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380041852,0.0,0.0,0.09,374914573
6725.92259862,19.016403827999966,1784050954.0350213,13181,468.6,4049596416,20480,173740032,0.0,27436659.957260266,,,,,,,,29.2,26404401152,0,1130496,0,0.0,16935098.285075027,0.0,0.0,0.0,15588883,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380043351,0.0,0.0,0.09,374915759
6726.923418997,20.017224205000275,1784050955.0358417,13181,420.6,4248887296,20480,208605184,0.0,34836572.876842245,,,,,,,,26.4,26211483648,0,1290240,327680,0.0,17094967.68169291,0.0,0.0,0.0,15591031,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380044039,0.0,0.0,0.09,374916394
6727.924422202,21.01822740999978,1784050956.036846,13181,401.6,4257275904,20480,244191232,0.0,35550383.67736051,,,,,,,,25.6,26202599424,0,1302528,196608,0.0,14739005.755738094,0.0,0.0,0.0,15591403,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380044340,0.0,0.0,0.09,374916682
6728.925417379,22.019222586999604,1784050957.0378404,13181,402.6,4259377152,20480,274862080,0.0,30640355.42301663,,,,,,,,25.5,26198175744,0,1351680,0,0.0,11420570.5109027,0.0,0.0,0.0,15592389,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380044705,0.0,0.0,0.09,374917033
6729.926428735,23.020233942999766,1784050958.0388517,13181,402.6,4261478400,20480,310382592,0.0,35484624.41218721,,,,,,,,25.6,26195865600,0,1355776,0,0.0,12832078.200717147,0.0,0.0,0.0,15592914,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380045173,0.0,0.0,0.09,374917445
6730.927435313,24.021240521000436,1784050959.039858,13181,402.6,4263383040,20480,345706496,0.0,35288383.48950027,,,,,,,,25.5,26189516800,0,1224704,524288,0.0,10794382.611932017,0.0,0.0,0.0,15593719,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380045820,0.0,0.0,0.09,374918059
6731.928252174,25.02205738199973,1784050960.0406752,13181,400.7,4263206912,20480,380506112,0.0,34771212.75240442,,,,,,,,25.5,26190372864,0,5226496,0,0.0,9368091.571357546,0.0,0.0,0.0,15594090,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380046072,0.0,0.0,0.09,374918199
6732.929118106,26.022923313999854,1784050961.0415416,13181,401.6,4263239680,20480,416288768,0.0,35751697.46110966,,,,,,,,25.7,26190872576,0,4444160,262144,0.0,9641826.833605124,0.0,0.0,0.0,15594569,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380046760,0.0,0.0,0.09,374918876
6733.929971898,27.023777106000125,1784050962.0423949,13181,402.7,4267433984,20480,443092992,0.0,26781358.290535152,,,,,,,,25.5,26186457088,0,1474560,0,0.0,7595690.859907281,0.0,0.0,0.0,15595275,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380046954,0.0,0.0,0.08,374919062
6734.93089076,28.024695967999833,1784050963.0433137,13181,399.6,4267442176,20480,474812416,0.0,31690304.982991986,,,,,,,,25.4,26186248192,0,1409024,0,0.0,7357847.15385067,0.0,0.0,0.0,15596132,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380047668,0.0,0.0,0.08,374919764
6735.931836572,29.025641780000115,1784050964.0442598,13181,401.6,4267442176,20480,509612032,0.0,34766733.20652267,,,,,,,,25.4,26186248192,0,1343488,65536,0.0,7173503.214575593,0.0,0.0,0.0,15596547,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380047859,0.0,0.0,0.08,374919946
6736.932803525,30.026608733000103,1784050965.0452268,13181,400.6,4267446272,32768,545525760,12276.129559694009,35879034.659799024,,,,,,,,25.6,26182795264,0,1626112,0,12276.129559694009,7733961.622607226,0.0,0.0,0.0,15597148,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.09,380048564,0.0,0.0,0.08,374920632
6737.933801067,31.027606274999926,1784050966.0462239,13181,401.6,4267446272,32768,576262144,0.0,30705753.72102706,,,,,,,,25.4,26182823936,0,1695744,262144,0.0,5839167.1854884885,0.0,0.0,0.0,15598105,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.08,380049017,0.0,0.0,0.08,374921073
6738.934791881,32.02859708899996,1784050967.047215,13181,399.6,4267446272,32768,607784960,0.0,31491613.66829381,,,,,,,,25.6,26182410240,0,1400832,65536,0.0,6158378.192669203,0.0,0.0,0.0,15598665,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.0,0.0,0.08,380049795,0.0,0.0,0.08,374921836
