timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 18:14:27:834,1,633,633.0,5806.92,31999,12055,31839,31999
2026-07-14 18:14:28:834,2,1333,700.0,5720.47,16575,11951,12103,16575
2026-07-14 18:14:29:834,3,2002,669.0,5972.78,17343,12415,15415,17343
2026-07-14 18:14:30:834,4,2708,706.0,5659.19,12479,12415,12471,12479
2026-07-14 18:14:31:834,5,3598,890.0,4471.4,14391,11759,12479,14391
2026-07-14 18:14:32:834,6,4538,940.0,4260.68,12239,10663,11919,12239
2026-07-14 18:14:33:834,7,6583,2045.0,1952.61,10767,6523,7943,10767
2026-07-14 18:14:34:834,8,8813,2230.0,1791.46,5919,4459,4895,5919
2026-07-14 18:14:35:834,9,10920,2107.0,1896.79,10583,7891,10567,10583
2026-07-14 18:14:36:834,10,12914,1994.0,2002.37,51839,5519,47967,51839
2026-07-14 18:14:37:834,11,14972,2058.0,1940.37,16911,7791,15559,16911
2026-07-14 18:14:38:834,12,16916,1944.0,2056.31,16607,7999,16575,16607
2026-07-14 18:14:39:834,13,18957,2041.0,1959.09,15159,8975,14831,15159
2026-07-14 18:14:40:834,14,21043,2086.0,1914.6,17183,8783,17119,17183
2026-07-14 18:14:41:834,15,22993,1950.0,2048.19,17151,9743,16087,17151
2026-07-14 18:14:42:834,16,25082,2089.0,1911.34,14679,7611,14599,14679
2026-07-14 18:14:43:834,17,27171,2089.0,1914.03,18719,7699,18559,18719
2026-07-14 18:14:44:834,18,29103,1932.0,2066.03,17535,8171,14983,17535
2026-07-14 18:14:45:834,19,31153,2050.0,1950.71,15911,9239,15535,15911
2026-07-14 18:14:46:834,20,33253,2100.0,1902.36,16543,7363,12639,16543
2026-07-14 18:14:47:834,21,35199,1946.0,2047.3,16335,8019,16087,16335
2026-07-14 18:14:48:834,22,37330,2131.0,1880.34,14031,7083,12287,14031
2026-07-14 18:14:49:834,23,39419,2089.0,1913.2,15815,8879,14679,15815
2026-07-14 18:14:50:834,24,41278,1859.0,2142.54,31471,11743,31407,31471
2026-07-14 18:14:52:580,25,43401,1215.92,1886.29,16095,6959,14351,16095
2026-07-14 18:14:53:580,26,45387,1986.0,2012.84,14671,9159,14527,14671
2026-07-14 18:14:54:580,27,47385,1998.0,1995.16,15223,8647,13975,15223
2026-07-14 18:14:55:580,28,49502,2117.0,1891.67,16575,5911,16399,16575
2026-07-14 18:14:56:580,29,51473,1971.0,2027.06,24479,10487,23199,24479
2026-07-14 18:14:57:580,30,53565,2092.0,1909.37,17247,7443,17231,17247
2026-07-14 18:14:58:580,31,54719,1154.0,3429.39,26351,17343,21727,26351
2026-07-14 18:14:59:580,32,55034,315.0,12762.21,22159,19327,22159,22159
2026-07-14 18:15:00:580,33,55339,305.0,12993.84,19023,18847,19023,19023
2026-07-14 18:15:01:580,34,56239,900.0,4501.97,29375,18223,23311,29375
2026-07-14 18:15:02:580,35,58318,2079.0,1922.02,19263,7931,16575,19263
2026-07-14 18:15:03:580,36,60420,2102.0,1899.2,15263,7839,11959,15263
2026-07-14 18:15:04:580,37,62559,2139.0,1868.91,11831,6467,11439,11831
2026-07-14 18:15:05:580,38,64544,1985.0,2013.04,12495,7999,11959,12495
2026-07-14 18:15:06:580,39,66657,2113.0,1891.69,13743,7291,12599,13743
2026-07-14 18:15:07:580,40,68831,2174.0,1837.53,14951,6003,13135,14951
2026-07-14 18:15:08:580,41,70912,2081.0,1921.05,17087,7883,16959,17087
2026-07-14 18:15:09:580,42,72959,2047.0,1953.52,13439,7923,11815,13439
2026-07-14 18:15:10:580,43,75088,2129.0,1872.79,12271,6347,12239,12271
2026-07-14 18:15:11:580,44,76833,1745.0,2294.12,26927,10911,26895,26927
2026-07-14 18:15:12:580,45,77694,861.0,4639.06,24463,14815,24399,24463
2026-07-14 18:15:13:580,46,78399,705.0,5643.16,30783,25135,30751,30783
2026-07-14 18:15:14:580,47,79089,690.0,5831.02,26703,16575,26703,26703
2026-07-14 18:15:15:580,48,79763,674.0,5920.11,29471,16639,24431,29471
2026-07-14 18:15:16:580,49,80453,690.0,5806.13,29903,18799,28431,29903
2026-07-14 18:15:17:580,50,81082,629.0,6355.26,31199,28799,31167,31199
2026-07-14 18:15:18:580,51,81742,660.0,6046.19,29071,16071,29071,29071
