timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784046000,1,82515,1594,,,
1784046001,2,82871,1669,356,75,82.60
1784046002,3,91698,3022,8827,1353,86.71
1784046003,4,99094,4130,7396,1108,86.97
1784046004,5,106461,5191,7367,1061,87.41
1784046005,6,113629,6177,7168,986,87.91
1784046006,7,120497,7089,6868,912,88.28
1784046007,8,129255,8269,8758,1180,88.13
1784046008,9,138261,9438,9006,1169,88.51
1784046009,10,150918,11076,12657,1638,88.54
1784046010,11,172625,13771,21707,2695,88.96
1784046011,12,194926,16361,22301,2590,89.59
1784046012,13,213785,18492,18859,2131,89.85
1784046013,14,233903,20648,20118,2156,90.32
1784046014,15,253893,22786,19990,2138,90.34
1784046015,16,273389,24792,19496,2006,90.67
1784046016,17,293387,27012,19998,2220,90.01
1784046017,18,313327,29200,19940,2188,90.11
1784046018,19,333952,31416,20625,2216,90.30
1784046019,20,353695,33529,19743,2113,90.33
1784046020,21,372825,35630,19130,2101,90.10
1784046021,22,392176,37752,19351,2122,90.12
1784046022,23,412221,40030,20045,2278,89.80
1784046023,24,431364,42158,19143,2128,90.00
1784046024,25,450560,44317,19196,2159,89.89
1784046025,26,470739,46631,20179,2314,89.71
1784046026,27,490256,48898,19517,2267,89.59
1784046027,28,509253,51100,18997,2202,89.61
1784046029,30,526878,53183,17625,2083,89.43
1784046030,31,546346,55422,19468,2239,89.69
1784046031,32,565038,57650,18692,2228,89.35
1784046032,33,584391,59852,19353,2202,89.78
1784046033,34,603606,62146,19215,2294,89.33
1784046034,35,621771,64317,18165,2171,89.32
1784046035,36,640757,66638,18986,2321,89.11
1784046036,37,660126,68970,19369,2332,89.25
1784046037,38,667602,69839,7476,869,89.59
1784046038,39,670643,70184,3041,345,89.81
1784046039,40,673790,70549,3147,365,89.61
1784046040,41,681914,71509,8124,960,89.43
1784046041,42,701009,73737,19095,2228,89.55
1784046042,43,720792,76089,19783,2352,89.37
1784046043,44,739847,78430,19055,2341,89.06
1784046044,45,759186,80781,19339,2351,89.16
1784046045,46,787275,84254,28089,3473,89.00
1784046046,47,806727,86622,19452,2368,89.15
1784046047,48,815398,87640,8671,1018,89.49
1784046048,49,823157,88550,7759,910,89.50
1784046049,50,829387,89317,6230,767,89.04
1784046050,51,835859,90105,6472,788,89.15
1784046051,52,842075,90856,6216,751,89.22
1784046052,53,848474,91623,6399,767,89.30
1784046053,54,854425,92352,5951,729,89.09
1784046054,55,860499,93117,6074,765,88.81
1784046055,56,866532,93817,6033,700,89.60
1784046056,57,872610,94547,6078,730,89.28
1784046057,58,878796,95247,6186,700,89.83
1784046058,59,885248,96038,6452,791,89.08
1784046059,60,891387,96765,6139,727,89.41
1784046060,61,897757,97508,6370,743,89.55
1784046061,62,903886,98256,6129,748,89.12
1784046062,63,909700,98982,5814,726,88.90
1784046063,64,915723,99733,6023,751,88.91
1784046064,65,921331,100436,5608,703,88.86
1784046065,66,927401,101181,6070,745,89.07
1784046066,67,933554,101897,6153,716,89.58
1784046067,68,939898,102647,6344,750,89.43
1784046068,69,945914,103422,6016,775,88.59
1784046069,70,952290,104225,6376,803,88.81
1784046070,71,956304,104692,4014,467,89.58
1784046071,72,958113,104887,1809,195,90.27
1784046072,73,959902,105070,1789,183,90.72
1784046073,74,964513,105594,4611,524,89.80
1784046074,75,970745,106363,6232,769,89.02
1784046075,76,976518,107099,5773,736,88.69
1784046076,77,982446,107816,5928,717,89.21
1784046077,78,988639,108550,6193,734,89.40
1784046078,79,994783,109292,6144,742,89.22
1784046079,80,1000827,110020,6044,728,89.25
1784046080,81,1007005,110768,6178,748,89.20
1784046081,82,1013225,111533,6220,765,89.05
1784046082,83,1019559,112319,6334,786,88.96
1784046083,84,1025542,113068,5983,749,88.87
1784046084,85,1031632,113847,6090,779,88.66
1784046085,86,1037440,114607,5808,760,88.43
1784046086,87,1043453,115327,6013,720,89.31
1784046087,88,1049514,116040,6061,713,89.47
1784046088,89,1055623,116807,6109,767,88.85
1784046089,90,1061828,117555,6205,748,89.24
1784046090,91,1067906,118314,6078,759,88.90
1784046091,92,1074111,119085,6205,771,88.95
1784046092,93,1080000,119812,5889,727,89.01
1784046093,94,1086082,120579,6082,767,88.80
1784046094,95,1091852,121283,5770,704,89.13
1784046095,96,1097822,122041,5970,758,88.73
1784046096,97,1103601,122792,5779,751,88.50
1784046098,99,1109425,123531,5824,739,88.74
1784046099,100,1115405,124272,5980,741,88.97
1784046100,101,1121548,125060,6143,788,88.63
1784046101,102,1127558,125755,6010,695,89.63
1784046102,103,1133957,126575,6399,820,88.64
1784046103,104,1140044,127351,6087,776,88.69
1784046104,105,1145989,128115,5945,764,88.61
1784046105,106,1148574,128410,2585,295,89.76
1784046106,107,1152756,128931,4182,521,88.92
1784046107,108,1158869,129730,6113,799,88.44
1784046108,109,1165040,130519,6171,789,88.66
1784046109,110,1171199,131254,6159,735,89.34
1784046110,111,1177001,131980,5802,726,88.88
1784046111,112,1183052,132737,6051,757,88.88
1784046112,113,1188759,133435,5707,698,89.10
1784046113,114,1194587,134193,5828,758,88.49
1784046114,115,1200395,134892,5808,699,89.26
1784046115,116,1206516,135650,6121,758,88.98
1784046116,117,1212534,136412,6018,762,88.76
1784046117,118,1218592,137160,6058,748,89.01
1784046118,119,1224905,137957,6313,797,88.79
1784046119,120,1230946,138697,6041,740,89.09
1784046120,121,1237054,139490,6108,793,88.51
1784046121,122,1242807,140246,5753,756,88.39
1784046122,123,1248682,140973,5875,727,88.99
1784046123,124,1254444,141691,5762,718,88.92
1784046124,125,1260282,142419,5838,728,88.91
1784046125,126,1266118,143198,5836,779,88.22
1784046126,127,1272437,143999,6319,801,88.75
