t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
52.773975305,0.0009604709999990746,1784044280.8863971,,,,,,,,,,,,,,,0.0,30503337984,0,7827456,0,12022307.014883995,0.0,0.0,0.04,0.01,147407,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.54,1.37,0.45,1623602,0.54,1.36,0.44,1607317
53.774796211,1.0017813770000004,1784044281.8872187,1832,0.0,59424768,24547328,0,,,,,,,,,,6.1,30477201408,0,8855552,0,28431572.351667047,1362849.2288909063,0.0,0.04,0.01,152636,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.54,1.37,0.45,1658641,0.54,1.36,0.44,1642150
54.775831697,2.0028168629999996,1784044282.8882537,1832,99.9,59432960,24547328,0,0.0,0.0,,,,,,,,6.6,30478602240,0,8855552,0,0.0,0.0,0.0,0.04,0.0,153631,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.63,1.36,0.45,1658641,0.62,1.34,0.45,1642150
55.776711002,3.0036961679999976,1784044283.889133,1832,98.9,59441152,24547328,0,0.0,0.0,,,,,,,,6.5,30476115968,0,8855552,0,1027192.7842488481,0.0,0.0,0.04,0.0,153935,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.63,1.36,0.45,1658749,0.62,1.34,0.45,1642257
56.777344278,4.004329444,1784044284.8897665,1832,100.9,59449344,24547328,0,0.0,0.0,,,,,,,,6.6,30476763136,0,8855552,0,0.0,0.0,0.0,0.04,0.0,154347,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.51,1.31,0.45,1658749,0.51,1.3,0.44,1642257
57.778061424,5.005046589999999,1784044285.8904834,1832,98.9,59457536,24547328,0,0.0,0.0,,,,,,,,6.4,30477799424,0,8855552,0,0.0,0.0,0.0,0.04,0.0,155357,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.51,1.31,0.45,1658749,0.51,1.3,0.44,1642257
58.778822289,6.005807454999996,1784044286.8912454,1832,111.9,543989760,54640640,0,30070432.460406113,0.0,,,,,,,,7.2,30002376704,0,8855552,0,30070432.460406113,0.0,0.0,0.03,0.0,160016,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.42,1.27,0.45,1659267,0.42,1.26,0.44,1642773
59.779694775,7.006679941000002,1784044287.892117,1832,39.0,603222016,95047680,733184,40371816.15560942,732544.8648610326,,,,,,,,2.6,29950791680,0,8863744,65536,40371816.15560942,769376.7295747158,0.0,0.03,0.0,160963,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.42,1.27,0.45,1670570,0.42,1.26,0.44,1653534
60.78042568,8.007410845999999,1784044288.8928478,1832,46.0,663289856,125009920,15097856,29940356.443773538,14354180.457732577,,,,,,,,3.1,29895127040,0,8941568,0,29940356.443773538,11644608.89713407,0.0,0.03,0.0,163511,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.52,1.26,0.45,1697649,0.52,1.25,0.44,1679556
61.781242246,9.008227411999997,1784044289.8936646,1832,145.9,830296064,218673152,18837504,93586812.19111659,3736596.822079391,,,,,,,,9.4,29724856320,0,8876032,0,93586812.19111659,2647949.7742446507,0.0,0.03,0.0,166550,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.52,1.26,0.45,1715515,0.52,1.25,0.44,1694498
