timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784113787,0,82515,1594,,,
1784113788,1,82830,1669,315,75,80.77
1784113789,2,91465,2980,8635,1311,86.82
1784113790,3,99233,4144,7768,1164,86.97
1784113791,4,106844,5278,7611,1134,87.03
1784113792,5,114494,6361,7650,1083,87.60
1784113793,6,121782,7311,7288,950,88.47
1784113794,7,130240,8434,8458,1123,88.28
1784113795,8,140704,9814,10464,1380,88.35
1784113796,9,161329,12420,20625,2606,88.78
1784113797,10,182022,14849,20693,2429,89.49
1784113798,11,202073,17136,20051,2287,89.76
1784113799,12,221175,19235,19102,2099,90.10
1784113801,14,240421,21323,19246,2088,90.21
1784113802,15,259953,23349,19532,2026,90.60
1784113803,16,279706,25397,19753,2048,90.61
1784113804,17,299607,27620,19901,2223,89.95
1784113805,18,319187,29780,19580,2160,90.06
1784113806,19,338747,31854,19560,2074,90.41
1784113807,20,358498,34057,19751,2203,89.97
1784113808,21,377922,36267,19424,2210,89.78
1784113809,22,397647,38511,19725,2244,89.79
1784113810,23,417442,40682,19795,2171,90.12
1784113811,24,436503,42837,19061,2155,89.84
1784113812,25,456503,45134,20000,2297,89.70
1784113814,27,483605,48252,27102,3118,89.68
1784113815,28,503194,50473,19589,2221,89.82
1784113816,29,522324,52684,19130,2211,89.64
1784113817,30,541777,54970,19453,2286,89.48
1784113818,31,560198,57157,18421,2187,89.39
1784113819,32,578935,59399,18737,2242,89.31
1784113820,33,597286,61565,18351,2166,89.44
1784113821,34,600889,61969,3603,404,89.92
1784113822,35,603900,62302,3011,333,90.04
1784113823,36,606960,62636,3060,334,90.16
1784113824,37,622913,64548,15953,1912,89.30
1784113825,38,642757,66911,19844,2363,89.36
1784113826,39,661089,69149,18332,2238,89.12
1784113827,40,680444,71488,19355,2339,89.22
1784113828,41,699838,73869,19394,2381,89.07
1784113829,42,718240,76124,18402,2255,89.08
1784113830,43,737880,78556,19640,2432,88.98
1784113831,44,756947,80890,19067,2334,89.09
1784113832,45,775891,83183,18944,2293,89.20
1784113833,46,784500,84226,8609,1043,89.19
1784113834,47,793231,85265,8731,1039,89.37
1784113835,48,800667,86161,7436,896,89.25
1784113836,49,807253,86994,6586,833,88.77
1784113837,50,813718,87741,6465,747,89.64
1784113838,51,820231,88553,6513,812,88.91
1784113839,52,826436,89283,6205,730,89.47
1784113840,53,832523,89989,6087,706,89.61
1784113841,54,838528,90707,6005,718,89.32
1784113842,55,844911,91468,6383,761,89.35
