timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 13:09:48:624,1,638,638.0,5767.03,27343,13367,27135,27343
2026-07-15 13:09:49:624,2,1364,726.0,5511.9,17135,11895,12631,17135
2026-07-15 13:09:50:624,3,2097,733.0,5439.74,15119,11695,12247,15119
2026-07-15 13:09:51:624,4,2831,734.0,5450.55,11703,11583,11703,11703
2026-07-15 13:09:52:624,5,3532,701.0,5680.84,13527,12495,13519,13527
2026-07-15 13:09:53:624,6,4346,814.0,4912.94,12055,11847,11991,12055
2026-07-15 13:09:54:624,7,5314,968.0,4133.62,11767,10063,10823,11767
2026-07-15 13:09:55:624,8,7377,2063.0,1934.44,13759,5535,10567,13759
2026-07-15 13:09:56:624,9,9486,2109.0,1894.7,10839,6091,7995,10839
2026-07-15 13:09:57:624,10,11542,2056.0,1942.18,55999,4907,55423,55999
2026-07-15 13:09:58:624,11,13433,1891.0,2113.95,22031,10191,19935,22031
2026-07-15 13:09:59:624,12,15409,1976.0,2015.89,20111,10519,20031,20111
2026-07-15 13:10:00:624,13,17362,1953.0,2051.56,22623,9207,19103,22623
2026-07-15 13:10:01:624,14,19378,2016.0,1981.86,16447,9863,16015,16447
2026-07-15 13:10:02:624,15,21441,2063.0,1935.6,18159,7895,17471,18159
2026-07-15 13:10:03:624,16,23472,2031.0,1966.29,17135,9231,16959,17135
2026-07-15 13:10:04:624,17,25439,1967.0,2032.74,15631,10239,15407,15631
2026-07-15 13:10:05:624,18,27446,2007.0,1991.03,18111,9319,16023,18111
2026-07-15 13:10:06:624,19,29511,2065.0,1935.03,21311,9063,16183,21311
2026-07-15 13:10:07:624,20,31534,2023.0,1974.1,16015,8927,15911,16015
2026-07-15 13:10:08:624,21,33603,2069.0,1923.12,16311,7899,12975,16311
2026-07-15 13:10:09:624,22,35631,2028.0,1977.79,17103,8239,17023,17103
2026-07-15 13:10:10:624,23,37735,2104.0,1898.32,16015,8911,15767,16015
2026-07-15 13:10:11:624,24,39702,1967.0,2033.05,32751,7931,30079,32751
2026-07-15 13:10:13:688,26,41672,954.46,2028.21,17903,8927,14415,17903
2026-07-15 13:10:14:688,27,43745,2073.0,1926.66,16943,7159,14647,16943
2026-07-15 13:10:15:688,28,45856,2111.0,1892.92,14903,9391,13575,14903
2026-07-15 13:10:16:688,29,47801,1945.0,2043.05,16223,7983,11975,16223
2026-07-15 13:10:17:688,30,49857,2056.0,1953.9,14319,10319,13767,14319
2026-07-15 13:10:18:688,31,51954,2097.0,1904.41,15247,8695,14911,15247
2026-07-15 13:10:19:688,32,53307,1353.0,2941.93,19247,14303,19135,19247
2026-07-15 13:10:20:688,33,53616,309.0,12935.04,20671,19711,20671,20671
2026-07-15 13:10:21:688,34,53921,305.0,13129.49,29359,24559,29359,29359
2026-07-15 13:10:22:688,35,54566,645.0,6210.51,27455,20015,22415,27455
2026-07-15 13:10:23:688,36,56629,2063.0,1939.4,14367,8159,13591,14367
2026-07-15 13:10:24:688,37,58722,2093.0,1909.44,12087,7675,11495,12087
2026-07-15 13:10:25:688,38,60782,2060.0,1939.52,15671,7863,12231,15671
2026-07-15 13:10:26:688,39,62897,2115.0,1889.5,12975,6907,9639,12975
2026-07-15 13:10:27:688,40,64998,2101.0,1898.76,11351,7919,10735,11351
2026-07-15 13:10:28:688,41,67060,2062.0,1940.33,11719,7891,11343,11719
2026-07-15 13:10:29:688,42,69170,2110.0,1894.17,13087,6859,11575,13087
2026-07-15 13:10:30:688,43,71356,2186.0,1819.41,15527,4883,15519,15527
2026-07-15 13:10:31:688,44,73025,1669.0,2400.93,20671,11967,18911,20671
2026-07-15 13:10:32:688,45,73956,931.0,4292.37,22879,14535,22495,22879
2026-07-15 13:10:33:688,46,74922,966.0,4145.19,23839,14687,23279,23839
2026-07-15 13:10:34:688,47,75659,737.0,5428.45,26735,17951,26735,26735
2026-07-15 13:10:35:688,48,76363,704.0,5681.14,24623,21439,24607,24623
2026-07-15 13:10:36:688,49,77074,711.0,5621.95,30575,18799,21391,30575
2026-07-15 13:10:37:688,50,77771,697.0,5734.21,24559,19967,24287,24559
2026-07-15 13:10:38:688,51,78402,631.0,6343.06,34431,24815,32463,34431
2026-07-15 13:10:39:688,52,79068,666.0,6003.21,31791,21807,31759,31791
2026-07-15 13:10:40:688,53,79729,661.0,6044.76,29695,17295,22623,29695
2026-07-15 13:10:41:688,54,80419,690.0,5768.22,29951,15519,25071,29951
2026-07-15 13:10:42:688,55,81081,662.0,6080.78,26159,21695,26031,26159
2026-07-15 13:10:43:688,56,81714,633.0,6313.73,28367,25935,28367,28367
2026-07-15 13:10:44:688,57,82351,637.0,6264.95,29807,20495,29231,29807
2026-07-15 13:10:45:688,58,83006,655.0,6104.04,30287,20943,30271,30287
2026-07-15 13:10:46:688,59,83653,647.0,6186.18,35583,20207,35551,35583
2026-07-15 13:10:47:688,60,84298,645.0,6207.14,19919,17231,17375,19919
2026-07-15 13:10:48:688,61,84959,661.0,6053.18,34431,16991,34431,34431
2026-07-15 13:10:49:688,62,85608,649.0,6141.27,29439,20719,25983,29439
2026-07-15 13:10:50:688,63,86256,648.0,6141.33,34047,21887,27839,34047
2026-07-15 13:10:51:688,64,86896,640.0,6271.76,26863,21967,25439,26863
2026-07-15 13:10:52:688,65,87564,668.0,5999.84,21695,17263,21679,21695
2026-07-15 13:10:53:688,66,87971,407.0,9783.95,52447,41759,52447,52447
2026-07-15 13:10:54:688,67,88137,166.0,23810.65,64095,55359,64095,64095
2026-07-15 13:10:55:688,68,88295,158.0,25298.7,39967,38815,39967,39967
2026-07-15 13:10:56:688,69,88469,174.0,23257.08,38239,38143,38239,38239
2026-07-15 13:10:57:688,70,89114,645.0,6175.6,34975,18623,25183,34975
