run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,13.189373922003142,13.330708273999335,-34310.503318698,-34310.503318698,-34310.503318698,177.29076202800206,13.75297813799989,377.8897951539984,164.59326151799905,166.16069090300152,176.85977075900155,177.00744459799898
2,11.256313761005003,11.405960355004936,-34699.464563637,-34699.464563637,-34699.464563637,178.04014923200157,11.837754986001528,378.7389049900012,162.6457641060042,164.1618328320037,177.6026952550019,177.7505379610011
3,11.277909199001442,11.42545663400233,-35089.213897739,-35089.213897739,-35089.213897739,178.1550537400035,11.86823758600076,378.9083182329996,162.69181345400284,164.25907823000307,177.71296898699802,177.86302365099982
4,10.767216036998434,10.914720954999211,-35479.07054438,-35479.07054438,-35479.07054438,177.5167018889988,11.348083070995926,378.2168044959981,162.14898396699573,163.66525373499462,177.07378329299536,177.22170484599337
5,11.184754470006737,11.332565047006938,-35868.227913118,-35868.227913118,-35868.227913118,175.49285765800596,11.764419884006202,376.1625535530038,162.57898434900562,164.09537100400485,175.0552780270009,175.20106417100033
6,11.056032150998362,11.20408536100149,-36255.466434474,-36255.466434474,-36255.466434474,176.7604651349975,11.639487929001916,377.4158915289954,162.46897494600125,164.0378678959969,176.3250163900011,176.4755555829979
7,10.73701955499564,10.884395859997312,-36643.826876268,-36643.826876268,-36643.826876268,177.62139264299913,11.320949613997072,378.4421518509989,162.16681190500094,163.683159264001,177.1727507809992,177.3227045839958
8,13.35346097600268,13.490837921002822,-37033.230040659,-37033.230040659,-37033.230040659,177.7143947959994,13.930510714002594,378.3422628269982,164.7429406529991,166.2592788990005,177.27542969000206,177.4277136689998
9,10.819002226999146,10.968962712002394,-37422.646917453,-37422.646917453,-37422.646917453,175.3583341880003,11.411215227999492,375.9424872419986,162.2320310849973,163.74824568699842,174.92190484800085,175.0667646580041
10,11.082871739999973,11.232762757994351,-37809.663214949,-37809.663214949,-37809.663214949,177.54905942599726,11.660247214000265,378.17970677899575,162.48777663099463,164.00408112500008,177.10901882100006,177.25623423700017
