timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784078715,1,1349161,153330,,,
1784078716,2,1349517,153405,356,75,82.60
1784078717,3,1356620,154851,7103,1446,83.09
1784078718,4,1364457,156419,7837,1568,83.33
1784078719,5,1372425,157928,7968,1509,84.08
1784078720,6,1385107,160264,12682,2336,84.45
1784078721,7,1403227,163230,18120,2966,85.93
1784078722,8,1421780,166109,18553,2879,86.57
1784078723,9,1439271,168542,17491,2433,87.79
1784078724,10,1456693,170969,17422,2427,87.77
1784078725,11,1474462,173378,17769,2409,88.06
1784078726,12,1491962,175691,17500,2313,88.33
1784078727,13,1509505,178032,17543,2341,88.23
1784078728,14,1527790,180484,18285,2452,88.18
1784078729,15,1545626,182916,17836,2432,88.00
1784078730,16,1562333,185127,16707,2211,88.31
1784078731,17,1579852,187577,17519,2450,87.73
1784078732,18,1597866,190115,18014,2538,87.65
1784078733,19,1615229,192480,17363,2365,88.01
1784078734,20,1630302,194669,15073,2189,87.32
1784078735,21,1650435,197285,20133,2616,88.50
1784078736,22,1668298,199690,17863,2405,88.13
1784078737,23,1685173,201982,16875,2292,88.04
1784078738,24,1702502,204336,17329,2354,88.04
1784078739,25,1720612,206819,18110,2483,87.94
1784078740,26,1737379,209139,16767,2320,87.85
1784078741,27,1754486,211506,17107,2367,87.85
1784078742,28,1771589,213848,17103,2342,87.96
1784078744,30,1787887,216132,16298,2284,87.71
1784078745,31,1804186,218424,16299,2292,87.67
1784078746,32,1821514,220934,17328,2510,87.35
1784078747,33,1839178,223432,17664,2498,87.61
1784078748,34,1856621,225909,17443,2477,87.57
1784078749,35,1872863,228160,16242,2251,87.83
1784078750,36,1889495,230525,16632,2365,87.55
1784078751,37,1906115,232925,16620,2400,87.38
1784078752,38,1910912,233555,4797,630,88.39
1784078753,39,1916025,234232,5113,677,88.31
1784078754,40,1933465,236625,17440,2393,87.93
1784078755,41,1950709,239083,17244,2458,87.52
1784078756,42,1968427,241597,17718,2514,87.57
1784078757,43,1984593,243937,16166,2340,87.36
1784078758,44,2002191,246464,17598,2527,87.44
1784078759,45,2019783,248940,17592,2476,87.66
1784078760,46,2037412,251416,17629,2476,87.68
1784078761,47,2053453,253766,16041,2350,87.22
1784078762,48,2070948,256239,17495,2473,87.62
1784078763,49,2088734,258860,17786,2621,87.16
1784078764,50,2106022,261317,17288,2457,87.56
1784078765,51,2122330,263718,16308,2401,87.17
1784078766,52,2139011,266166,16681,2448,87.20
1784078767,53,2156192,268638,17181,2472,87.42
1784078768,54,2171697,270876,15505,2238,87.39
1784078769,55,2189473,273441,17776,2565,87.39
1784078770,56,2206176,275853,16703,2412,87.38
1784078771,57,2223589,278434,17413,2581,87.09
1784078772,58,2232888,279754,9299,1320,87.57
1784078773,59,2238689,280578,5801,824,87.56
1784078774,60,2244347,281401,5658,823,87.30
1784078775,61,2250159,282238,5812,837,87.41
1784078776,62,2256000,283028,5841,790,88.09
1784078777,63,2261741,283833,5741,805,87.70
1784078778,64,2267216,284621,5475,788,87.42
1784078779,65,2272405,285326,5189,705,88.04
