timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 03:35:29:566,1,609,609.0,6095.2,29743,22671,29663,29743
2026-07-15 03:35:30:566,2,1295,686.0,5818.71,13127,12455,12863,13127
2026-07-15 03:35:31:566,3,1993,698.0,5708.21,15639,13383,14311,15639
2026-07-15 03:35:32:566,4,2922,929.0,4316.75,13967,11495,13959,13967
2026-07-15 03:35:33:566,5,3827,905.0,4403.85,15335,10327,15335,15335
2026-07-15 03:35:34:566,6,5736,1909.0,2094.77,10711,7851,10215,10711
2026-07-15 03:35:35:566,7,7949,2213.0,1804.06,4931,4475,4871,4931
2026-07-15 03:35:36:566,8,10074,2125.0,1876.95,7955,7631,7939,7955
2026-07-15 03:35:37:566,9,12070,1996.0,2003.11,45279,7967,43359,45279
2026-07-15 03:35:38:566,10,14148,2078.0,1923.92,16271,8287,13111,16271
2026-07-15 03:35:39:566,11,16139,1991.0,2006.1800000000003,18303,10679,15167,18303
2026-07-15 03:35:40:566,12,18166,2027.0,1971.14,20079,8399,16863,20079
2026-07-15 03:35:41:566,13,20240,2074.0,1926.66,16359,9511,12375,16359
2026-07-15 03:35:42:566,14,22214,1974.0,2021.84,16543,9943,16495,16543
2026-07-15 03:35:43:566,15,24295,2081.0,1921.64,20015,10263,15095,20015
2026-07-15 03:35:44:566,16,26371,2076.0,1925.62,17199,8959,17119,17199
2026-07-15 03:35:45:566,17,28357,1986.0,2010.99,16751,8527,16735,16751
2026-07-15 03:35:46:566,18,30410,2053.0,1945.49,14871,8199,13943,14871
2026-07-15 03:35:47:566,19,32481,2071.0,1928.62,16783,9663,16767,16783
2026-07-15 03:35:48:566,20,34468,1987.0,1996.84,17007,9007,15503,17007
2026-07-15 03:35:49:566,21,36517,2049.0,1965.12,16103,9279,16023,16103
2026-07-15 03:35:50:566,22,38555,2038.0,1959.75,17743,10719,16015,17743
2026-07-15 03:35:51:566,23,40540,1985.0,2011.07,16231,9095,15983,16231
2026-07-15 03:35:52:566,24,42597,2057.0,1944.57,17087,9719,16247,17087
2026-07-15 03:35:53:566,25,44673,2076.0,1923.11,18623,8783,14335,18623
2026-07-15 03:35:54:566,26,46616,1943.0,2041.36,35839,7939,32991,35839
2026-07-15 03:35:56:272,27,48697,1219.81,1933.21,16007,8991,15431,16007
2026-07-15 03:35:57:272,28,50759,2062.0,1938.44,16071,7907,16015,16071
2026-07-15 03:35:58:272,29,52731,1972.0,2027.3800000000003,16055,10799,15167,16055
2026-07-15 03:35:59:272,30,54835,2104.0,1893.34,16087,7543,14447,16087
2026-07-15 03:36:00:272,31,56924,2089.0,1917.4,16831,9063,13543,16831
2026-07-15 03:36:01:272,32,58887,1963.0,2036.16,21759,8159,21695,21759
2026-07-15 03:36:02:272,33,61017,2130.0,1864.88,14031,5247,13983,14031
2026-07-15 03:36:03:272,34,61743,726.0,5517.37,24447,17967,21263,24447
2026-07-15 03:36:04:272,35,62048,305.0,13112.57,24335,21231,24335,24335
2026-07-15 03:36:05:272,36,62356,308.0,12953.47,22767,20831,22767,22767
2026-07-15 03:36:06:272,37,63296,940.0,4277.04,20303,17599,20255,20303
2026-07-15 03:36:07:272,38,65426,2130.0,1875.87,11751,6203,11143,11751
2026-07-15 03:36:08:272,39,67539,2113.0,1890.75,13031,7927,12519,13031
2026-07-15 03:36:09:272,40,69595,2056.0,1944.28,15191,8055,12903,15191
2026-07-15 03:36:10:272,41,71721,2126.0,1880.11,13719,6767,13703,13719
2026-07-15 03:36:11:272,42,73729,2008.0,1989.02,28623,6779,20159,28623
2026-07-15 03:36:12:272,43,74580,851.0,4666.7,21663,19263,21647,21663
2026-07-15 03:36:13:272,44,75292,712.0,5607.07,27935,15903,18063,27935
2026-07-15 03:36:14:272,45,76004,712.0,5658.98,24159,17071,24159,24159
2026-07-15 03:36:15:272,46,76719,715.0,5598.45,23631,14967,18799,23631
2026-07-15 03:36:16:272,47,77401,682.0,5851.83,24943,16095,24911,24943
2026-07-15 03:36:17:272,48,78068,667.0,5988.9,25919,21535,25583,25919
2026-07-15 03:36:18:272,49,78731,663.0,6032.38,25983,17263,25871,25983
2026-07-15 03:36:19:272,50,79390,659.0,6077.75,28047,21007,25167,28047
2026-07-15 03:36:20:272,51,80037,647.0,6188.66,25199,22751,25183,25199
2026-07-15 03:36:21:272,52,80696,659.0,6056.19,24623,20111,24623,24623
2026-07-15 03:36:22:272,53,81358,662.0,6041.06,24751,16375,24751,24751
2026-07-15 03:36:23:272,54,82023,665.0,6014.89,28863,19007,28783,28863
2026-07-15 03:36:24:272,55,82706,683.0,5850.75,29807,22367,29775,29807
2026-07-15 03:36:25:272,56,83397,691.0,5795.82,26127,16671,17167,26127
2026-07-15 03:36:26:272,57,84086,689.0,5791.55,24111,16959,23327,24111
2026-07-15 03:36:27:272,58,84756,670.0,5958.14,23839,19135,23775,23839
2026-07-15 03:36:28:272,59,85423,667.0,6020.63,25695,16447,25679,25695
2026-07-15 03:36:29:272,60,86066,643.0,6214.62,24447,16879,24063,24447
2026-07-15 03:36:30:272,61,86715,649.0,6160.95,21135,16783,21087,21135
2026-07-15 03:36:31:272,62,87354,639.0,6259.38,29935,19679,29151,29935
2026-07-15 03:36:32:272,63,88011,657.0,6084.43,25279,16231,25279,25279
2026-07-15 03:36:33:272,64,88681,670.0,5961.88,32271,18175,29855,32271
2026-07-15 03:36:34:272,65,89333,652.0,6088.92,32095,27103,31887,32095
2026-07-15 03:36:35:272,66,90016,683.0,5903.98,27007,15959,26191,27007
2026-07-15 03:36:36:272,67,90674,658.0,6075.81,29359,21679,29327,29359
2026-07-15 03:36:37:272,68,91102,428.0,9181.44,47871,35519,47871,47871
2026-07-15 03:36:38:272,69,91280,178.0,22867.03,53407,34943,53407,53407
2026-07-15 03:36:39:272,70,91453,173.0,22755.32,41823,41759,41823,41823
2026-07-15 03:36:40:272,71,91974,521.0,7799.18,34239,31903,33279,34239
2026-07-15 03:36:41:272,72,92624,650.0,6145.27,25391,16863,25311,25391
2026-07-15 03:36:42:272,73,93295,671.0,5966.14,26831,16191,26815,26831
2026-07-15 03:36:43:272,74,93915,620.0,6443.7,28079,22991,28063,28079
2026-07-15 03:36:44:272,75,94555,640.0,6130.21,19039,17023,19039,19039
2026-07-15 03:36:45:272,76,95223,668.0,6096.28,26831,21759,25711,26831
2026-07-15 03:36:46:272,77,95897,674.0,5948.69,23279,17119,20479,23279
2026-07-15 03:36:47:272,78,96598,701.0,5690.6,20031,15711,16559,20031
2026-07-15 03:36:48:272,79,97289,691.0,5795.44,17343,16815,17167,17343
2026-07-15 03:36:49:272,80,97974,685.0,5837.49,18143,16847,18095,18143
2026-07-15 03:36:50:272,81,98642,668.0,5945.68,25055,16623,25023,25055
2026-07-15 03:36:51:272,82,99295,653.0,6168.44,25119,15719,25071,25119
2026-07-15 03:36:52:272,83,99933,638.0,6258.68,25567,16911,21887,25567
2026-07-15 03:36:53:272,84,100566,633.0,6323.64,25119,17295,25087,25119
2026-07-15 03:36:54:272,85,101228,662.0,6032.84,23999,17455,23983,23999
2026-07-15 03:36:55:272,86,101893,665.0,6023.74,17247,16879,17215,17247
2026-07-15 03:36:56:272,87,102584,691.0,5758.84,22751,16231,22719,22751
2026-07-15 03:36:57:272,88,103277,693.0,5801.85,23583,16375,23375,23583
2026-07-15 03:36:58:272,89,103971,694.0,5757.19,16375,15879,16351,16375
2026-07-15 03:36:59:272,90,104642,671.0,5956.52,25327,17311,25311,25327
2026-07-15 03:37:00:272,91,105319,677.0,5905.57,18831,17279,18831,18831
2026-07-15 03:37:01:272,92,105975,656.0,6086.57,26223,17135,18463,26223
2026-07-15 03:37:02:272,93,106610,635.0,6309.24,27023,17871,27023,27023
2026-07-15 03:37:03:272,94,107244,634.0,6295.98,26575,16071,26543,26575
2026-07-15 03:37:04:272,95,107900,656.0,6098.29,18479,17919,18479,18479
2026-07-15 03:37:05:272,96,108554,654.0,6127.61,27391,18879,27343,27391
2026-07-15 03:37:06:272,97,109251,697.0,5691.78,24431,15503,23343,24431
2026-07-15 03:37:07:272,98,109946,695.0,5790.93,29167,17247,21663,29167
2026-07-15 03:37:08:272,99,110627,681.0,5883.41,24431,15279,15615,24431
2026-07-15 03:37:09:272,100,111309,682.0,5851.59,21407,16287,21407,21407
2026-07-15 03:37:10:272,101,111972,663.0,6034.33,25343,17391,25343,25343
2026-07-15 03:37:11:272,102,112296,324.0,12191.68,44927,35519,44927,44927
2026-07-15 03:37:12:272,103,112600,304.0,13278.54,39679,35935,39679,39679
2026-07-15 03:37:13:272,104,113293,693.0,5764.86,23631,14975,23615,23631
2026-07-15 03:37:14:272,105,113995,702.0,5709.79,15623,15511,15615,15623
2026-07-15 03:37:15:272,106,114672,677.0,5900.53,23743,15767,15895,23743
2026-07-15 03:37:16:272,107,115352,680.0,5880.09,21567,16287,21407,21567
2026-07-15 03:37:17:272,108,115989,637.0,6281.86,25535,16607,23887,25535
2026-07-15 03:37:18:272,109,116644,655.0,6103.33,27007,21199,27007,27007
2026-07-15 03:37:19:272,110,117295,651.0,6147.21,26175,18335,26159,26175
2026-07-15 03:37:20:272,111,117955,660.0,6050.4,25231,18399,21663,25231
2026-07-15 03:37:21:272,112,118617,662.0,6009.07,28639,18031,26255,28639
2026-07-15 03:37:22:272,113,119299,682.0,5901.83,28095,16991,28047,28095
2026-07-15 03:37:23:272,114,119994,695.0,5747.44,19183,15631,19183,19183
2026-07-15 03:37:24:272,115,120688,694.0,5776.3,26991,20495,26975,26991
2026-07-15 03:37:25:272,116,121362,674.0,5918.69,23231,17167,23151,23231
2026-07-15 03:37:26:272,117,122039,677.0,5916.87,25103,17263,25103,25103
2026-07-15 03:37:27:272,118,122708,669.0,5981.33,22447,17199,22415,22447
2026-07-15 03:37:28:272,119,123350,642.0,6223.0,24943,17183,18767,24943
2026-07-15 03:37:29:272,120,124006,656.0,6084.88,25039,19663,25039,25039
2026-07-15 03:37:30:272,121,124685,679.0,5890.11,22111,16527,22079,22111
2026-07-15 03:37:31:272,122,125359,674.0,5952.96,17439,17167,17439,17439
2026-07-15 03:37:32:272,123,126042,683.0,5853.33,29711,19855,22799,29711
2026-07-15 03:37:33:272,124,126729,687.0,5813.75,32111,18815,31887,32111
2026-07-15 03:37:34:272,125,127421,692.0,5769.9,24447,17055,22735,24447
2026-07-15 03:37:35:272,126,128101,680.0,5873.21,20159,16655,20159,20159
2026-07-15 03:37:36:272,127,128781,680.0,5890.45,17455,17327,17439,17455
2026-07-15 03:37:37:272,128,129455,674.0,5938.5,21631,16167,16991,21631
2026-07-15 03:37:38:272,129,130094,639.0,6260.86,28383,22431,28015,28383
2026-07-15 03:37:39:272,130,130744,650.0,6148.53,30671,21999,23439,30671
2026-07-15 03:37:40:272,131,131407,663.0,6029.39,27471,18815,27423,27471
2026-07-15 03:37:41:272,132,132076,669.0,5984.29,18975,17343,18847,18975
2026-07-15 03:37:42:272,133,132769,693.0,5767.61,28447,15871,28415,28447
2026-07-15 03:37:43:272,134,133246,477.0,8315.05,63455,32255,63455,63455
2026-07-15 03:37:44:272,135,133515,269.0,14992.12,42079,35263,42079,42079
2026-07-15 03:37:45:272,136,134155,640.0,6250.1,20495,17487,19375,20495
2026-07-15 03:37:46:272,137,134835,680.0,5890.14,20959,16295,17231,20959
2026-07-15 03:37:47:272,138,135528,693.0,5757.19,18703,16735,18095,18703
2026-07-15 03:37:48:272,139,136184,656.0,6091.71,25279,21487,25279,25279
2026-07-15 03:37:49:272,140,136880,696.0,5751.67,24255,14959,24255,24255
2026-07-15 03:37:50:272,141,137574,694.0,5764.86,28095,17439,24543,28095
2026-07-15 03:37:51:272,142,138270,696.0,5735.08,24911,18367,24863,24911
2026-07-15 03:37:52:272,143,138950,680.0,5893.91,29135,18015,19311,29135
2026-07-15 03:37:53:272,144,139626,676.0,5915.49,24911,17567,24895,24911
2026-07-15 03:37:54:272,145,140288,662.0,6031.03,25967,17391,25887,25967
2026-07-15 03:37:55:272,146,140936,648.0,6184.35,21103,16175,16295,21103
2026-07-15 03:37:56:272,147,141596,660.0,6028.47,24623,16639,22991,24623
2026-07-15 03:37:57:272,148,142267,671.0,5978.82,23759,16151,23759,23759
2026-07-15 03:37:58:272,149,142925,658.0,6078.38,29615,17599,26111,29615
2026-07-15 03:37:59:272,150,143630,705.0,5669.8,22031,15943,21999,22031
