timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784080883,1,82515,1594,,,
1784080884,2,82851,1669,336,75,81.75
1784080885,3,91572,3014,8721,1345,86.64
1784080886,4,98826,4132,7254,1118,86.65
1784080887,5,106153,5169,7327,1037,87.60
1784080888,6,113475,6185,7322,1016,87.81
1784080889,7,120574,7127,7099,942,88.29
1784080890,8,129628,8320,9054,1193,88.36
1784080891,9,139175,9541,9547,1221,88.66
1784080892,10,149603,10913,10428,1372,88.37
1784080893,11,171495,13621,21892,2708,88.99
1784080894,12,192908,16131,21413,2510,89.51
1784080895,13,211792,18228,18884,2097,90.01
1784080896,14,231902,20382,20110,2154,90.33
1784080897,15,251733,22453,19831,2071,90.54
1784080898,16,272084,24587,20351,2134,90.51
1784080899,17,291848,26730,19764,2143,90.22
1784080900,18,311133,28886,19285,2156,89.94
1784080901,19,331157,31037,20024,2151,90.30
1784080902,20,351196,33161,20039,2124,90.42
1784080903,21,369885,35224,18689,2063,90.06
1784080904,22,389584,37491,19699,2267,89.68
1784080905,23,409505,39703,19921,2212,90.01
1784080906,24,428234,41801,18729,2098,89.93
1784080907,25,448262,44090,20028,2289,89.74
1784080908,26,467561,46343,19299,2253,89.55
1784080909,27,486433,48546,18872,2203,89.55
1784080910,28,505636,50794,19203,2248,89.52
1784080911,29,524267,52982,18631,2188,89.49
1784080912,30,542598,55131,18331,2149,89.51
1784080913,31,561140,57343,18542,2212,89.34
1784080914,32,579570,59510,18430,2167,89.48
1784080915,33,597936,61688,18366,2178,89.40
1784080916,34,616103,63857,18167,2169,89.33
1784080917,35,634731,66092,18628,2235,89.29
1784080918,36,647220,67587,12489,1495,89.31
1784080919,37,650458,67900,3238,313,91.19
1784080920,38,653684,68240,3226,340,90.47
1784080921,39,656986,68582,3302,342,90.61
1784080922,40,676079,70851,19093,2269,89.38
1784080923,41,695129,73203,19050,2352,89.01
1784080924,42,714200,75526,19071,2323,89.14
1784080925,43,733719,77907,19519,2381,89.13
1784080926,44,752017,80156,18298,2249,89.05
1784080927,45,771541,82605,19524,2449,88.85
1784080928,46,790530,84968,18989,2363,88.93
1784080929,47,805366,86754,14836,1786,89.26
1784080930,48,812869,87638,7503,884,89.46
1784080931,49,819462,88411,6593,773,89.51
1784080932,50,827759,89476,8297,1065,88.62
1784080933,51,834142,90236,6383,760,89.36
1784080934,52,840399,90991,6257,755,89.23
1784080935,53,846576,91718,6177,727,89.47
1784080936,54,852684,92429,6108,711,89.57
1784080937,55,858862,93171,6178,742,89.28
1784080938,56,864898,93909,6036,738,89.11
1784080939,57,875227,95189,10329,1280,88.97
1784080940,58,881432,95927,6205,738,89.37
1784080941,59,887609,96675,6177,748,89.20
1784080942,60,893890,97455,6281,780,88.95
1784080943,61,900066,98203,6176,748,89.20
1784080944,62,906164,98947,6098,744,89.13
1784080945,63,911946,99691,5782,744,88.60
1784080946,64,917974,100442,6028,751,88.92
1784080947,65,924051,101208,6077,766,88.81
1784080948,66,928656,101747,4605,539,89.52
1784080949,67,936267,102705,7611,958,88.82
1784080950,68,942346,103460,6079,755,88.95
1784080951,69,946472,103929,4126,469,89.79
1784080952,70,948696,104179,2224,250,89.89
1784080953,71,950102,104329,1406,150,90.36
1784080954,72,951509,104467,1407,138,91.07
1784080955,73,957414,105168,5905,701,89.39
1784080956,74,963448,105911,6034,743,89.04
1784080957,75,969511,106656,6063,745,89.06
1784080958,76,975396,107385,5885,729,88.98
1784080959,77,981443,108141,6047,756,88.89
1784080960,78,987265,108853,5822,712,89.10
1784080961,79,993125,109555,5860,702,89.30
1784080962,80,997861,110079,4736,524,90.04
1784080963,81,1005418,110994,7557,915,89.20
1784080964,82,1011469,111727,6051,733,89.20
1784080965,83,1017644,112474,6175,747,89.21
1784080966,84,1024945,113403,7301,929,88.71
1784080967,85,1030922,114123,5977,720,89.25
1784080968,86,1036659,114815,5737,692,89.24
1784080969,87,1042590,115558,5931,743,88.87
1784080970,88,1048654,116288,6064,730,89.26
1784080971,89,1054666,117009,6012,721,89.29
1784080972,90,1060991,117775,6325,766,89.20
1784080973,91,1067150,118567,6159,792,88.61
1784080974,92,1073142,119294,5992,727,89.18
1784080976,94,1079324,120028,6182,734,89.39
1784080977,95,1085278,120717,5954,689,89.63
1784080978,96,1091271,121445,5993,728,89.17
1784080979,97,1097411,122180,6140,735,89.31
1784080980,98,1103572,122924,6161,744,89.23
1784080981,99,1109477,123668,5905,744,88.81
1784080982,100,1115700,124415,6223,747,89.28
1784080983,101,1121941,125205,6241,790,88.76
1784080984,102,1128153,125978,6212,773,88.93
1784080985,103,1134044,126762,5891,784,88.25
1784080986,104,1139709,127433,5665,671,89.41
1784080987,105,1141564,127646,1855,213,89.70
1784080988,106,1146265,128198,4701,552,89.49
1784080989,107,1152518,128971,6253,773,89.00
1784080990,108,1158790,129793,6272,822,88.41
1784080991,109,1164666,130532,5876,739,88.83
1784080992,110,1170688,131283,6022,751,88.91
1784080993,111,1176467,132035,5779,752,88.49
1784080994,112,1182343,132805,5876,770,88.41
1784080995,113,1188044,133542,5701,737,88.55
1784080996,114,1193878,134301,5834,759,88.49
1784080997,115,1199616,134982,5738,681,89.39
1784080998,116,1205602,135746,5986,764,88.68
1784080999,117,1211791,136555,6189,809,88.44
1784081000,118,1217880,137321,6089,766,88.83
1784081001,119,1223935,138094,6055,773,88.68
1784081002,120,1230021,138888,6086,794,88.46
1784081003,121,1235866,139621,5845,733,88.86
1784081004,122,1241553,140290,5687,669,89.47
1784081005,123,1247422,141040,5869,750,88.67
1784081006,124,1253181,141793,5759,753,88.44
1784081007,125,1259089,142512,5908,719,89.15
1784081008,126,1265038,143231,5949,719,89.22
1784081009,127,1270963,143987,5925,756,88.68
1784081010,128,1277129,144761,6166,774,88.85
1784081011,129,1283065,145527,5936,766,88.57
1784081012,130,1289081,146274,6016,747,88.95
1784081013,131,1294741,147014,5660,740,88.44
1784081014,132,1300627,147761,5886,747,88.74
1784081015,133,1306398,148474,5771,713,89.00
1784081016,134,1312407,149268,6009,794,88.33
1784081017,135,1318329,150025,5922,757,88.67
1784081018,136,1324258,150810,5929,785,88.31
1784081019,137,1326338,151060,2080,250,89.27
1784081020,138,1330753,151650,4415,590,88.21
1784081021,139,1336664,152447,5911,797,88.12
1784081022,140,1342588,153207,5924,760,88.63
1784081023,141,1348493,153963,5905,756,88.65
1784081024,142,1354490,154706,5997,743,88.98
1784081025,143,1360505,155494,6015,788,88.42
1784081026,144,1366775,156324,6270,830,88.31
1784081027,145,1372889,157107,6114,783,88.65
1784081028,146,1378854,157882,5965,775,88.50
1784081029,147,1384740,158618,5886,736,88.89
1784081030,148,1390594,159362,5854,744,88.72
1784081031,149,1396148,160077,5554,715,88.59
1784081032,150,1402121,160863,5973,786,88.37
1784081033,151,1407955,161609,5834,746,88.66
