timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 04:10:39:216,1,665,665.0,5587.67,11839,11727,11807,11839
2026-07-15 04:10:40:216,2,1383,718.0,5557.47,12287,12127,12271,12287
2026-07-15 04:10:41:216,3,2066,683.0,5837.7,25983,14823,25855,25983
2026-07-15 04:10:42:216,4,2773,707.0,5652.96,13431,12103,13359,13431
2026-07-15 04:10:43:216,5,3457,684.0,5846.94,16671,12511,16655,16671
2026-07-15 04:10:44:216,6,4265,808.0,4941.98,12991,11903,12103,12991
2026-07-15 04:10:45:216,7,5209,944.0,4228.31,15119,12103,12831,15119
2026-07-15 04:10:46:216,8,6937,1728.0,2313.68,14055,8311,13671,14055
2026-07-15 04:10:47:216,9,9167,2230.0,1792.04,6239,4623,5955,6239
2026-07-15 04:10:48:216,10,11347,2180.0,1833.21,7963,5711,7947,7963
2026-07-15 04:10:49:216,11,13413,2066.0,1933.86,17471,7899,15103,17471
2026-07-15 04:10:50:216,12,15563,2150.0,1857.71,19471,5959,15311,19471
2026-07-15 04:10:51:216,13,17666,2103.0,1898.3,12671,6083,10103,12671
2026-07-15 04:10:52:216,14,19783,2117.0,1888.79,10791,7943,10775,10791
2026-07-15 04:10:53:216,15,21856,2073.0,1925.73,12623,7899,12567,12623
2026-07-15 04:10:54:216,16,24019,2163.0,1847.24,11999,5827,11455,11999
2026-07-15 04:10:55:216,17,26225,2206.0,1812.56,11007,5175,10527,11007
2026-07-15 04:10:56:216,18,28314,2089.0,1912.05,21903,7947,21375,21903
2026-07-15 04:10:57:216,19,30445,2131.0,1873.9,13959,7667,13559,13959
2026-07-15 04:10:58:216,20,32620,2175.0,1838.21,11503,6143,10855,11503
2026-07-15 04:10:59:216,21,34756,2136.0,1869.97,12239,7871,9119,12239
2026-07-15 04:11:00:216,22,36830,2074.0,1926.71,13151,7939,12263,13151
2026-07-15 04:11:01:216,23,38963,2133.0,1873.22,13351,7855,11935,13351
2026-07-15 04:11:02:216,24,41150,2187.0,1825.6,12831,6419,12791,12831
2026-07-15 04:11:03:216,25,43180,2030.0,1967.97,16927,7995,13855,16927
2026-07-15 04:11:04:216,26,45305,2125.0,1881.16,15687,7895,12519,15687
2026-07-15 04:11:06:137,27,47474,1129.1,1842.23,12351,5827,12343,12351
2026-07-15 04:11:07:137,28,49602,2128.0,1877.15,18111,7695,15111,18111
2026-07-15 04:11:08:137,29,51739,2137.0,1868.83,14183,7911,14175,14183
2026-07-15 04:11:09:137,30,53912,2173.0,1838.84,12559,5983,12415,12559
2026-07-15 04:11:10:137,31,56088,2176.0,1835.93,12591,6243,12311,12591
2026-07-15 04:11:11:137,32,58127,2039.0,1959.17,12135,7967,12047,12135
2026-07-15 04:11:12:137,33,60232,2105.0,1896.82,12495,7899,10055,12495
2026-07-15 04:11:13:137,34,61677,1445.0,2755.12,19903,13671,14551,19903
2026-07-15 04:11:14:137,35,62067,390.0,10258.2,22975,19151,22975,22975
2026-07-15 04:11:15:137,36,62485,418.0,9555.6,25663,18559,25663,25663
