run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,12.09678228499979,12.247707841997908,218.52759046400024,220.88055367999914,221.23960039999656,221.7031858479968,12.69744695299596,423.14786352199735,219.26581608599372,220.58297909599787,178.6938210169974,178.98952696299966
2,11.456676970003173,11.610175239002274,217.7332517449977,220.00581860900274,220.3651369549989,220.84186975299963,12.040367727000557,422.3551887069989,218.4778895690033,219.74381598299806,177.65492069799802,177.95483460000105
3,13.577634414003114,13.72495091699966,219.55204912499903,221.85254922100285,222.21095998999954,222.66634386299847,14.156398354003613,424.0948953190018,220.29120277400216,221.60772830100177,180.1949347960035,180.49815493400092
4,12.700633013999322,13.841325639994466,203.97282540099695,207.4387952209945,208.60035444399546,209.7183359759947,14.298640880995663,410.87462582199805,204.95710563499597,206.72364257500158,175.4873020640007,175.76131013000122
5,11.06391782999708,11.215306503996544,201.97273035800026,205.0913694769988,205.4528740329988,205.9360446770006,11.652657763996103,407.4784821619978,203.0067789599998,204.77366410099785,177.8484670830003,178.1736509350012
6,11.067806273000315,11.21370040900365,203.21722639100335,206.38494490000448,206.940164053005,208.0032455680048,11.645483797001361,409.5017977680036,204.36106115200528,206.12791477900464,175.57752840900503,176.83717223200074
7,11.35895183699904,11.502242098998977,203.55569316699984,206.72077957100555,207.08299203099887,207.54983112700575,11.930116196002928,409.2217361990042,204.59937609400367,206.4662088910045,175.7868024740019,177.03263931100082
8,10.402478021002025,11.522576634997677,200.97129012500227,204.16234237900062,204.52437623700098,204.98314629700326,11.962376647999918,406.9490398380003,202.0283037909976,203.84490925799764,174.50331973200082,174.64780501500354
9,10.920668127000681,11.066814252000768,203.19462019899947,206.39304143100162,206.7482015409987,207.19744585199805,11.511609446002694,407.08563581199996,204.18833937399904,205.95502883099834,177.1318626430002,177.39899165899988
10,13.476810907995969,13.632231013994897,201.65357325999503,204.79697268899326,205.1760971249969,205.63434651799616,14.067907028998889,407.2135254679961,202.61528793699836,204.5328376769976,177.84196807199623,178.1077360929994
