timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784086538,0,2975,196,,,
1784086539,1,3334,271,359,75,82.72
1784086540,2,9810,1504,6476,1233,84.01
1784086541,3,11401,1785,1591,281,84.99
1784086542,4,13184,2093,1783,308,85.27
1784086543,5,14760,2344,1576,251,86.26
1784086544,6,16271,2579,1511,235,86.54
1784086545,7,19613,3231,3342,652,83.68
1784086546,8,25301,4320,5688,1089,83.93
1784086547,9,31113,5353,5812,1033,84.91
1784086548,10,36878,6361,5765,1008,85.12
1784086549,11,42712,7418,5834,1057,84.66
1784086550,12,48264,8392,5552,974,85.08
1784086551,13,53956,9414,5692,1022,84.78
1784086552,14,59865,10375,5909,961,86.01
1784086553,15,65662,11329,5797,954,85.87
1784086554,16,71242,12208,5580,879,86.39
1784086555,17,77124,13162,5882,954,86.04
1784086556,18,82961,14105,5837,943,86.09
1784086557,19,88839,15043,5878,938,86.24
1784086558,20,94780,15900,5941,857,87.39
1784086559,21,100561,16790,5781,890,86.66
1784086560,22,106314,17616,5753,826,87.44
1784086561,23,112341,18495,6027,879,87.27
1784086562,24,118179,19368,5838,873,86.99
1784086563,25,123786,20207,5607,839,86.98
1784086564,26,129818,21046,6032,839,87.79
1784086565,27,135756,21928,5938,882,87.07
1784086566,28,141684,22774,5928,846,87.51
1784086567,29,147820,23687,6136,913,87.05
1784086568,30,153685,24523,5865,836,87.52
1784086569,31,159470,25372,5785,849,87.20
1784086570,32,165302,26251,5832,879,86.90
1784086571,33,170931,27061,5629,810,87.42
1784086572,34,176804,27935,5873,874,87.05
1784086573,35,182583,28728,5779,793,87.93
1784086574,36,188097,29566,5514,838,86.81
1784086575,37,194159,30450,6062,884,87.27
1784086576,38,197482,30914,3323,464,87.75
1784086577,39,199372,31155,1890,241,88.69
1784086578,40,205210,31997,5838,842,87.40
1784086579,41,211379,32906,6169,909,87.16
1784086580,42,217198,33742,5819,836,87.44
1784086581,43,223162,34580,5964,838,87.68
1784086582,44,229152,35413,5990,833,87.79
1784086583,45,235020,36240,5868,827,87.65
1784086584,46,240797,37070,5777,830,87.44
1784086585,47,246760,37943,5963,873,87.23
1784086586,48,252621,38753,5861,810,87.86
1784086587,49,258536,39655,5915,902,86.77
1784086588,50,264561,40514,6025,859,87.52
1784086589,51,270598,41431,6037,917,86.81
1784086590,52,276497,42252,5899,821,87.78
1784086591,53,282500,43076,6003,824,87.93
1784086592,54,288662,43929,6162,853,87.84
1784086593,55,294314,44756,5652,827,87.24
1784086594,56,300380,45587,6066,831,87.95
1784086595,57,306252,46417,5872,830,87.62
1784086596,58,311912,47258,5660,841,87.06
