timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 05:35:39:317,1,525,525.0,6977.84,27775,25775,27599,27775
2026-07-15 05:35:40:317,2,683,158.0,25146.08,34495,34367,34495,34495
2026-07-15 05:35:41:317,3,838,155.0,25959.38,52607,43423,52607,52607
2026-07-15 05:35:42:317,4,1010,172.0,22996.18,58559,36607,58559,58559
2026-07-15 05:35:43:317,5,1161,151.0,26425.54,62079,61919,62079,62079
2026-07-15 05:35:44:317,6,1472,311.0,13096.42,35167,34911,35167,35167
2026-07-15 05:35:45:317,7,2135,663.0,6018.99,27711,24095,27615,27711
2026-07-15 05:35:46:317,8,2818,683.0,5850.6,25183,20495,25151,25183
2026-07-15 05:35:47:317,9,3486,668.0,5971.74,30799,20895,30767,30799
2026-07-15 05:35:48:317,10,4155,669.0,5970.12,23631,20847,23615,23631
2026-07-15 05:35:49:317,11,4829,674.0,5923.93,22415,18031,22399,22415
2026-07-15 05:35:50:317,12,5455,626.0,6388.64,65119,19935,62655,65119
2026-07-15 05:35:51:317,13,6151,696.0,5748.23,23695,19119,23599,23695
2026-07-15 05:35:52:317,14,6809,658.0,6068.33,29631,21343,29631,29631
2026-07-15 05:35:53:317,15,7453,644.0,6228.11,26255,21663,23583,26255
2026-07-15 05:35:54:317,16,8094,641.0,6209.62,31119,23471,25983,31119
2026-07-15 05:35:55:317,17,8779,685.0,5850.93,24063,19711,23391,24063
2026-07-15 05:35:56:317,18,9457,678.0,5894.45,31071,20687,31055,31071
2026-07-15 05:35:57:317,19,10135,678.0,5910.29,25823,20431,23071,25823
2026-07-15 05:35:58:317,20,10801,666.0,5996.99,25007,20959,23247,25007
2026-07-15 05:35:59:317,21,11494,693.0,5770.76,29487,19999,29455,29487
2026-07-15 05:36:00:317,22,12165,671.0,5955.55,29327,17631,29295,29327
2026-07-15 05:36:01:317,23,12856,691.0,5791.61,22255,18991,22111,22255
2026-07-15 05:36:02:317,24,13509,653.0,6117.04,26687,23775,25087,26687
2026-07-15 05:36:03:317,25,14180,671.0,5957.4,26863,24335,25439,26863
2026-07-15 05:36:04:317,26,14888,708.0,5645.76,23311,19423,22703,23311
2026-07-15 05:36:05:317,27,15568,680.0,5881.08,22351,18703,22335,22351
2026-07-15 05:36:06:317,28,16257,689.0,5804.48,32735,20079,32719,32735
2026-07-15 05:36:07:317,29,16943,686.0,5836.13,25343,20687,25343,25343
2026-07-15 05:36:08:317,30,17621,678.0,5891.19,30127,21903,30111,30127
2026-07-15 05:36:09:317,31,18294,673.0,5935.22,23087,17295,23055,23087
2026-07-15 05:36:10:317,32,18962,668.0,5979.63,28159,23359,28047,28159
2026-07-15 05:36:11:317,33,19653,691.0,5790.22,25327,21983,25327,25327
2026-07-15 05:36:12:317,34,20324,671.0,5962.04,42175,17999,32031,42175
2026-07-15 05:36:13:317,35,20976,652.0,6050.19,23983,19983,22735,23983
2026-07-15 05:36:14:317,36,21695,719.0,5602.95,26127,18287,22447,26127
2026-07-15 05:36:15:317,37,22192,497.0,7981.32,53823,46303,53823,53823
2026-07-15 05:36:16:317,38,22373,181.0,22173.59,33247,33183,33247,33247
2026-07-15 05:36:17:317,39,22939,566.0,7134.92,41407,26831,41279,41407
2026-07-15 05:36:18:317,40,23626,687.0,5823.18,29727,16687,29695,29727
2026-07-15 05:36:19:317,41,24312,686.0,5824.5,21503,15839,18543,21503
2026-07-15 05:36:20:317,42,24990,678.0,5905.44,31727,16943,31711,31727
2026-07-15 05:36:21:317,43,25699,709.0,5634.44,22047,18719,22047,22047
2026-07-15 05:36:22:317,44,26387,688.0,5809.86,22783,21551,22687,22783
2026-07-15 05:36:23:317,45,27060,673.0,5939.84,43999,19983,43935,43999
2026-07-15 05:36:24:317,46,27772,712.0,5616.92,19743,15919,17311,19743
2026-07-15 05:36:25:317,47,28454,682.0,5849.63,27839,22047,27807,27839
2026-07-15 05:36:26:317,48,29138,684.0,5859.56,24943,18751,22271,24943
2026-07-15 05:36:27:317,49,29843,705.0,5674.11,23839,14311,23807,23839
2026-07-15 05:36:28:317,50,30531,688.0,5806.77,21167,17887,20287,21167
2026-07-15 05:36:29:317,51,31226,695.0,5718.71,20271,17775,20255,20271
2026-07-15 05:36:30:317,52,31940,714.0,5632.08,22943,16087,22927,22943
2026-07-15 05:36:31:317,53,32642,702.0,5704.47,22879,17807,22863,22879
2026-07-15 05:36:32:317,54,33329,687.0,5817.11,28431,21231,28399,28431
2026-07-15 05:36:33:317,55,34013,684.0,5835.45,35903,20959,33055,35903
2026-07-15 05:36:34:317,56,34711,698.0,5734.9,23007,19967,22991,23007
2026-07-15 05:36:35:317,57,35396,685.0,5823.37,21871,17007,21791,21871
2026-07-15 05:36:36:317,58,36074,678.0,5902.45,29151,20191,26991,29151
2026-07-15 05:36:37:317,59,36748,674.0,5935.72,23279,17471,23279,23279
2026-07-15 05:36:38:317,60,37443,695.0,5744.11,21279,14647,20911,21279
2026-07-15 05:36:39:317,61,38111,668.0,5995.98,34463,20447,34335,34463
2026-07-15 05:36:40:317,62,38784,673.0,5935.53,24015,19535,22783,24015
2026-07-15 05:36:41:317,63,39441,657.0,6093.18,22031,19167,21215,22031
2026-07-15 05:36:42:317,64,40161,720.0,5557.96,20175,14399,20095,20175
2026-07-15 05:36:43:317,65,40869,708.0,5645.19,21903,17407,21871,21903
2026-07-15 05:36:44:317,66,41577,708.0,5645.56,21615,16703,21583,21615
2026-07-15 05:36:45:317,67,42294,717.0,5576.67,19359,15087,18143,19359
2026-07-15 05:36:46:317,68,42961,667.0,5981.7,24751,20479,22143,24751
2026-07-15 05:36:47:317,69,43606,645.0,6156.43,31663,26319,27423,31663
2026-07-15 05:36:48:317,70,43788,182.0,21954.47,50879,48319,50879,50879
2026-07-15 05:36:49:317,71,44393,605.0,6677.06,41055,27551,40991,41055
2026-07-15 05:36:50:317,72,45089,696.0,5741.73,22527,19055,22527,22527
2026-07-15 05:36:51:317,73,45786,697.0,5742.38,22463,18927,22463,22463
2026-07-15 05:36:52:317,74,46476,690.0,5795.12,20031,16023,19983,20031
2026-07-15 05:36:53:317,75,47188,712.0,5604.84,21679,18735,21663,21679
