timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784087633,1,82515,1594,,,
1784087634,2,82800,1669,285,75,79.17
1784087635,3,91550,2975,8750,1306,87.01
1784087636,4,98923,4123,7373,1148,86.53
1784087637,5,106330,5155,7407,1032,87.77
1784087638,6,113476,6166,7146,1011,87.61
1784087639,7,120486,7112,7010,946,88.11
1784087640,8,127611,8065,7125,953,88.20
1784087641,9,134768,8987,7157,922,88.59
1784087642,10,142769,9977,8001,990,88.99
1784087643,11,151990,11145,9221,1168,88.76
1784087644,12,170383,13458,18393,2313,88.83
1784087645,13,183927,14966,13544,1508,89.98
1784087646,14,209762,17923,25835,2957,89.73
1784087647,15,229038,20020,19276,2097,90.19
1784087648,16,246731,21906,17693,1886,90.37
1784087649,17,267775,24039,21044,2133,90.80
1784087650,18,287519,26128,19744,2089,90.43
1784087651,19,307373,28404,19854,2276,89.72
1784087652,20,326419,30512,19046,2108,90.03
1784087653,21,346209,32652,19790,2140,90.24
1784087654,22,365803,34821,19594,2169,90.03
1784087655,23,385531,37031,19728,2210,89.93
1784087656,24,404971,39199,19440,2168,89.97
1784087657,25,425017,41485,20046,2286,89.76
1784087658,26,450466,44386,25449,2901,89.77
1784087659,27,470339,46611,19873,2225,89.93
1784087660,28,488770,48733,18431,2122,89.68
1784087661,29,508406,50992,19636,2259,89.68
1784087662,30,528054,53282,19648,2290,89.56
1784087663,31,547239,55437,19185,2155,89.90
1784087664,32,564190,57385,16951,1948,89.69
1784087665,33,567362,57707,3172,322,90.78
1784087666,34,570375,58000,3013,293,91.14
1784087667,35,576973,58759,6598,759,89.68
1784087668,36,597019,61141,20046,2382,89.38
1784087669,37,615720,63325,18701,2184,89.54
1784087670,38,635266,65684,19546,2359,89.23
1784087671,39,655190,68093,19924,2409,89.21
1784087673,41,673876,70306,18686,2213,89.41
1784087674,42,693148,72696,19272,2390,88.97
1784087675,43,712846,75120,19698,2424,89.04
1784087676,44,732197,77523,19351,2403,88.95
1784087677,45,751919,79876,19722,2353,89.34
1784087678,46,770766,82159,18847,2283,89.20
1784087679,47,790288,84612,19522,2453,88.84
1784087680,48,808612,86873,18324,2261,89.02
1784087681,49,827860,89222,19248,2349,89.12
1784087682,50,846790,91590,18930,2368,88.88
1784087683,51,855279,92623,8489,1033,89.15
1784087684,52,861733,93442,6454,819,88.74
1784087685,53,868240,94220,6507,778,89.32
1784087686,54,874636,94980,6396,760,89.38
1784087687,55,881114,95748,6478,768,89.40
1784087688,56,887454,96518,6340,770,89.17
1784087689,57,893743,97267,6289,749,89.36
1784087690,58,899988,98001,6245,734,89.48
1784087691,59,905932,98699,5944,698,89.49
1784087692,60,911696,99346,5764,647,89.91
1784087693,61,917686,100068,5990,722,89.24
1784087694,62,923688,100790,6002,722,89.26
1784087695,63,930171,101548,6483,758,89.53
1784087696,64,936686,102335,6515,787,89.22
1784087697,65,943109,103133,6423,798,88.95
1784087698,66,949191,103887,6082,754,88.97
1784087699,67,953516,104384,4325,497,89.69
1784087700,68,955197,104557,1681,173,90.67
1784087701,69,957224,104761,2027,204,90.86
1784087702,70,959013,104949,1789,188,90.49
1784087703,71,960821,105139,1808,190,90.49
1784087704,72,965953,105732,5132,593,89.64
1784087705,73,972209,106481,6256,749,89.31
1784087706,74,978442,107241,6233,760,89.13
1784087707,75,984692,108000,6250,759,89.17
1784087708,76,990853,108757,6161,757,89.06
1784087709,77,996832,109498,5979,741,88.97
1784087710,78,1002774,110198,5942,700,89.46
1784087711,79,1008702,110920,5928,722,89.14
1784087712,80,1014798,111695,6096,775,88.72
