timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 06:00:53:241,1,631,631.0,5873.77,31391,12663,31167,31391
2026-07-15 06:00:54:241,2,1312,681.0,5876.26,13303,12519,13279,13303
2026-07-15 06:00:55:241,3,2011,699.0,5717.9,12399,12007,12391,12399
2026-07-15 06:00:56:241,4,2888,877.0,4545.3,15391,11695,12703,15391
2026-07-15 06:00:57:241,5,3784,896.0,4460.13,15807,10591,12927,15807
2026-07-15 06:00:58:241,6,5731,1947.0,2052.15,13887,6567,10783,13887
2026-07-15 06:00:59:241,7,7835,2104.0,1897.3,8703,4939,8679,8703
2026-07-15 06:01:00:241,8,9908,2073.0,1927.13,16911,5475,13791,16911
2026-07-15 06:01:01:241,9,11842,1934.0,2064.86,43711,5863,43519,43711
2026-07-15 06:01:02:241,10,13857,2015.0,1968.77,20575,8391,16927,20575
2026-07-15 06:01:03:241,11,15824,1967.0,2046.57,27151,10879,27087,27151
2026-07-15 06:01:04:241,12,17697,1873.0,2132.97,19983,12031,17455,19983
2026-07-15 06:01:05:241,13,19738,2041.0,1957.98,18271,7563,13839,18271
2026-07-15 06:01:06:241,14,21660,1922.0,2077.2,20751,10751,20543,20751
2026-07-15 06:01:07:241,15,23658,1998.0,1999.04,24783,9623,21391,24783
2026-07-15 06:01:08:241,16,25713,2055.0,1945.17,20287,6563,20207,20287
2026-07-15 06:01:09:241,17,27614,1901.0,2102.85,17087,8943,15639,17087
2026-07-15 06:01:10:241,18,29680,2066.0,1934.26,19439,8967,18335,19439
2026-07-15 06:01:11:241,19,31709,2029.0,1967.73,16359,8727,14855,16359
2026-07-15 06:01:12:241,20,33698,1989.0,2009.69,15679,8671,13711,15679
2026-07-15 06:01:13:241,21,35717,2019.0,1978.59,17071,9295,16071,17071
2026-07-15 06:01:14:241,22,37784,2067.0,1927.51,16975,8199,14095,16975
2026-07-15 06:01:15:242,23,39829,2045.0,1958.79,14231,7935,14007,14231
2026-07-15 06:01:16:241,24,41867,2038.0,1959.03,14895,8671,14095,14895
2026-07-15 06:01:17:241,25,43930,2063.0,1936.78,28127,9135,17807,28127
2026-07-15 06:01:18:241,26,45931,2001.0,1997.04,39071,8303,31903,39071
2026-07-15 06:01:19:242,27,47918,1987.0,2010.92,19983,9647,14999,19983
2026-07-15 06:01:20:241,28,49918,2000.0,1996.83,17343,8007,14463,17343
2026-07-15 06:01:21:241,29,51900,1982.0,2015.64,16895,7611,16159,16895
2026-07-15 06:01:22:241,30,53924,2024.0,1975.4,16191,8263,14983,16191
2026-07-15 06:01:23:241,31,55907,1983.0,2014.03,15999,9271,14631,15999
2026-07-15 06:01:24:241,32,57833,1926.0,2074.72,16175,8943,16095,16175
2026-07-15 06:01:25:241,33,59823,1990.0,2006.74,15807,8199,14911,15807
2026-07-15 06:01:26:242,34,61100,1277.0,3105.73,19647,15599,18591,19647
2026-07-15 06:01:27:241,35,61407,307.0,13089.98,22143,21263,22143,22143
2026-07-15 06:01:28:241,36,61715,308.0,12946.97,24047,19407,24047,24047
2026-07-15 06:01:29:242,37,62031,316.0,12679.34,21455,19615,21455,21455
2026-07-15 06:01:30:241,38,63934,1903.0,2108.79,20927,12519,20047,20927
2026-07-15 06:01:31:241,39,66033,2099.0,1905.16,14407,7215,12575,14407
2026-07-15 06:01:32:241,40,68067,2034.0,1964.98,9575,8003,9407,9575
2026-07-15 06:01:33:241,41,70162,2095.0,1908.39,14727,7971,10655,14727
2026-07-15 06:01:34:241,42,72316,2154.0,1854.07,11855,6323,11503,11855
2026-07-15 06:01:35:241,43,73405,1089.0,3672.92,14567,12983,14559,14567
2026-07-15 06:01:36:241,44,74061,656.0,6096.5,26991,17103,25663,26991
2026-07-15 06:01:37:241,45,74745,684.0,5837.77,25103,16319,25103,25103
2026-07-15 06:01:38:241,46,75426,681.0,5870.79,22559,18847,22543,22559
2026-07-15 06:01:39:241,47,76138,712.0,5611.97,17567,15975,17551,17567
2026-07-15 06:01:40:241,48,76846,708.0,5657.06,16135,15583,16023,16135
2026-07-15 06:01:41:241,49,77516,670.0,5962.89,24943,15295,24831,24943
2026-07-15 06:01:42:241,50,78170,654.0,6110.83,37055,18575,24895,37055
2026-07-15 06:01:43:241,51,78817,647.0,6189.02,27327,19871,27311,27327
2026-07-15 06:01:44:241,52,79467,650.0,6113.78,26655,23359,26639,26655
2026-07-15 06:01:45:241,53,80124,657.0,6128.8,24175,19695,23583,24175
2026-07-15 06:01:46:241,54,80782,658.0,6072.86,26959,17311,25663,26959
2026-07-15 06:01:47:241,55,81446,664.0,6022.62,35359,16079,25951,35359
2026-07-15 06:01:48:241,56,82127,681.0,5864.14,28175,17455,25423,28175
2026-07-15 06:01:49:241,57,82813,686.0,5836.17,28191,19839,28175,28191
2026-07-15 06:01:50:241,58,83480,667.0,5989.82,24111,20527,24015,24111
2026-07-15 06:01:51:241,59,84142,662.0,6039.8,22719,17615,22607,22719
2026-07-15 06:01:52:241,60,84794,652.0,6132.28,27967,16639,25167,27967
2026-07-15 06:01:53:241,61,85434,640.0,6261.91,26335,21375,26287,26335
2026-07-15 06:01:54:241,62,86096,662.0,6026.54,24767,19967,22767,24767
2026-07-15 06:01:55:241,63,86759,663.0,6044.89,22335,20271,22335,22335
2026-07-15 06:01:56:241,64,87421,662.0,6028.91,29407,19935,25055,29407
2026-07-15 06:01:57:241,65,88109,688.0,5818.53,26239,18719,24223,26239
2026-07-15 06:01:58:241,66,88779,670.0,5960.35,25567,22287,25247,25567
2026-07-15 06:01:59:241,67,89468,689.0,5809.06,21999,16639,17775,21999
2026-07-15 06:02:00:241,68,90071,603.0,6532.7,35743,27199,30351,35743
2026-07-15 06:02:01:241,69,90251,180.0,22250.34,35103,35039,35103,35103
2026-07-15 06:02:02:241,70,90438,187.0,21620.73,34687,34527,34687,34687
2026-07-15 06:02:03:241,71,90819,381.0,10472.45,52447,32735,52447,52447
2026-07-15 06:02:04:241,72,91498,679.0,5929.39,16863,16175,16847,16863
2026-07-15 06:02:05:241,73,92144,646.0,6186.61,24607,16735,24543,24607
2026-07-15 06:02:06:241,74,92768,624.0,6365.89,25231,16607,25215,25231
2026-07-15 06:02:07:241,75,93405,637.0,6311.23,24639,20767,24623,24639
2026-07-15 06:02:08:241,76,94061,656.0,6108.34,29311,17407,29119,29311
2026-07-15 06:02:09:241,77,94724,663.0,6017.89,16703,16431,16559,16703
2026-07-15 06:02:10:241,78,95388,664.0,6022.08,25711,22703,25711,25711
2026-07-15 06:02:11:241,79,96069,681.0,5842.11,25311,15607,25311,25311
2026-07-15 06:02:12:241,80,96756,687.0,5861.83,20623,18303,20543,20623
2026-07-15 06:02:13:241,81,97437,681.0,5844.53,22943,17999,22879,22943
2026-07-15 06:02:14:241,82,98111,674.0,5949.97,19231,16687,19199,19231
2026-07-15 06:02:15:241,83,98743,632.0,6335.36,28271,23071,25695,28271
2026-07-15 06:02:16:241,84,99388,645.0,6198.91,25055,20063,24975,25055
