t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
43390.958801151,0.0013500529967132024,1784087619.071223,,,,,,,,,,,,,,,0.0,30440386560,0,2908160,0,0.0,0.0,0.0,0.0,0.0,101017837,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,2.21,5.66,7.68,3310762158,2.19,5.62,7.55,3247137098
43391.959343648,1.0018925499971374,1784087620.071766,77362,0.0,59703296,0,0,,,,,,,,,,6.0,30399705088,0,5218304,0,446221.92594365205,2611831.089468349,0.0,0.0,0.0,101024208,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.99,5.51,7.63,3310779488,1.98,5.47,7.5,3247154412
43392.960249626,2.0027985279957647,1784087621.0726717,77362,99.9,59711488,0,0,0.0,0.0,,,,,,,,6.3,30399705088,0,5218304,0,0.0,0.0,0.0,0.0,0.0,101024290,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.99,5.51,7.63,3310779488,1.98,5.47,7.5,3247154412
43393.961007708,3.0035566099977586,1784087622.0734298,77362,99.9,59719680,0,0,0.0,0.0,,,,,,,,6.4,30397181952,0,5435392,0,0.0,40928.97248260084,0.0,0.0,0.0,101024461,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.63,5.33,7.58,3310779618,1.62,5.29,7.45,3247154541
43394.961870902,4.004419803997735,1784087623.074293,77362,99.9,59727872,0,0,0.0,0.0,,,,,,,,6.2,30397181952,0,5435392,0,0.0,0.0,0.0,0.0,0.0,101024519,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.63,5.33,7.58,3310779618,1.62,5.29,7.45,3247154541
43395.962664341,5.005213242999162,1784087624.0750864,77362,99.9,59736064,0,0,0.0,0.0,,,,,,,,6.3,30397124608,0,5447680,0,0.0,0.0,0.0,0.0,0.0,101024935,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.33,5.16,7.53,3310779618,1.32,5.12,7.4,3247154541
43396.963365863,6.005914764995396,1784087625.0757885,77362,105.9,489984000,0,0,0.0,0.0,,,,,,,,6.7,29953953792,0,5447680,0,0.0,0.0,0.0,0.0,0.0,101027860,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.33,5.16,7.53,3310779618,1.32,5.12,7.4,3247154541
43397.964449366,7.006998267999734,1784087626.0768723,77362,50.9,584798208,4096,733184,4091.5667751067217,732390.4527441032,,,,,,,,3.2,29851910144,0,5484544,0,4091.5667751067217,773306.1204951705,0.0,0.0,0.0,101028702,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.09,4.99,7.48,3310787627,1.08,4.95,7.35,3247162525
43398.965783998,8.008332899997185,1784087627.078207,77362,43.9,627707904,4096,13066240,0.0,12316617.84772005,,,,,,,,2.5,29811908608,0,5431296,0,0.0,11101727.279545736,0.0,0.0,0.0,101029531,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,1.09,4.99,7.48,3310793240,1.08,4.95,7.35,3247168118
43399.966913337,9.009462238995184,1784087628.0793364,77362,140.8,783400960,36864,16838656,32731.035565091475,3768160.469431156,,,,,,,,8.6,29662863360,0,5525504,0,32731.035565091475,2970341.477532051,0.0,0.0,0.0,101030424,0.0,0.0,0.0,0,0.0,0.0,0.0,3829989,0.0,0.0,0.0,3825936,0.89,4.82,7.43,3310801673,0.89,4.79,7.3,3247176520
