run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,10.87861089999933,11.030512067998643,11.465087784999923,111.46515302499756,111.56810730199868,113.7797460039983,227.09569464399829
2,11.302045137999812,11.451878655003384,11.884960936000425,111.88502675900236,111.99025089499992,114.2046327120006,218.8572454870009
3,10.868742899001518,11.01711498000077,11.45329994200074,111.45336406999922,111.55851939700005,113.77039262700055,227.01596367100137
4,10.982466056000703,11.130443789999845,11.567377236002358,111.56745194199902,111.67250199900081,113.8853862399992,229.48176827000134
5,10.996902173999842,11.148642342999665,11.57615054499911,111.57621264800036,111.68106425800215,113.89383638000072,225.20707323900206
6,13.17796167599954,13.337597592999373,13.77110488100152,113.77116801500233,113.87632647099963,116.08922645200073,231.66231018300095
7,10.323554724000132,11.46701501500138,11.903377586000715,111.90343859900167,112.00844338600291,114.22154509500251,229.71439144200122
8,12.542067112997756,12.689854459000344,13.988289709999663,113.98835072200018,114.09361175699814,116.30576260499947,231.83555950200025
9,10.312395775999903,10.45787139299864,11.758687571997143,111.75874867499806,111.86366658299812,114.0767114329974,229.4804635929977
10,12.542212372001813,12.693053499999223,14.11563427299916,114.11569838500145,114.22093384099935,116.43255549300011,236.43021502600095
