timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784064565,0,82515,1594,,,
1784064566,1,83243,1669,728,75,90.66
1784064567,2,105048,4278,21805,2609,89.31
1784064568,3,122021,6728,16973,2450,87.39
1784064569,4,139844,9076,17823,2348,88.36
1784064570,5,159513,11633,19669,2557,88.50
1784064571,6,181816,14335,22303,2702,89.19
1784064572,7,225456,19249,43640,4914,89.88
1784064573,8,269554,23898,44098,4649,90.46
1784064574,9,317636,29162,48082,5264,90.13
1784064575,10,365154,34288,47518,5126,90.26
1784064576,11,413828,39547,48674,5259,90.25
1784064577,12,462777,44993,48949,5446,89.99
1784064578,13,510720,50398,47943,5405,89.87
1784064579,14,560709,56109,49989,5711,89.75
1784064580,15,610136,61743,49427,5634,89.77
1784064581,16,657125,67313,46989,5570,89.40
1784064582,17,704423,72952,47298,5639,89.35
1784064583,18,752132,78635,47709,5683,89.36
1784064584,19,798549,84310,46417,5675,89.11
1784064585,20,846887,90235,48338,5925,89.08
1784064586,21,893000,95889,46113,5654,89.08
1784064587,22,940384,101775,47384,5886,88.95
1784064588,23,986723,107659,46339,5884,88.73
1784064589,24,1034696,113780,47973,6121,88.68
1784064590,25,1080842,119732,46146,5952,88.58
1784064591,26,1129846,126052,49004,6320,88.58
1784064592,27,1175133,132017,45287,5965,88.36
1784064593,28,1220393,137880,45260,5863,88.53
1784064594,29,1267040,144040,46647,6160,88.33
1784064595,30,1310060,149731,43020,5691,88.32
1784064596,31,1354969,155806,44909,6075,88.08
1784064597,32,1389347,160391,34378,4585,88.23
1784064598,33,1435847,166509,46500,6118,88.37
1784064599,34,1473066,171534,37219,5025,88.10
1784064600,35,1514497,177162,41431,5628,88.04
1784064601,36,1534411,179781,19914,2619,88.38
1784064602,37,1544021,181083,9610,1302,88.07
1784064603,38,1553449,182343,9428,1260,88.21
1784064604,39,1558970,183019,5521,676,89.09
1784064605,40,1564298,183686,5328,667,88.87
1784064606,41,1568961,184250,4663,564,89.21
1784064607,42,1573491,184804,4530,554,89.10
1784064608,43,1578125,185352,4634,548,89.42
1784064609,44,1583063,186001,4938,649,88.38
1784064610,45,1587883,186595,4820,594,89.03
1784064611,46,1593351,187298,5468,703,88.61
1784064612,47,1611276,189619,17925,2321,88.54
1784064613,48,1629021,192101,17745,2482,87.73
1784064614,49,1646437,194418,17416,2317,88.26
1784064615,50,1663874,196841,17437,2423,87.80
1784064616,51,1681326,199181,17452,2340,88.18
1784064617,52,1699115,201483,17789,2302,88.54
1784064619,54,1716254,203728,17139,2245,88.42
1784064620,55,1733583,206122,17329,2394,87.86
1784064621,56,1751321,208557,17738,2435,87.93
1784064622,57,1769553,211001,18232,2444,88.18
1784064623,58,1787431,213514,17878,2513,87.68
1784064624,59,1804272,215871,16841,2357,87.72
1784064625,60,1821571,218282,17299,2411,87.77
1784064626,61,1838709,220751,17138,2469,87.41
1784064627,62,1855838,223146,17129,2395,87.73
1784064628,63,1873910,225663,18072,2517,87.78
1784064629,64,1890963,227979,17053,2316,88.04
1784064630,65,1909041,230454,18078,2475,87.96
1784064631,66,1926772,232890,17731,2436,87.92
1784064632,67,1944323,235371,17551,2481,87.61
1784064633,68,1961579,237746,17256,2375,87.90
1784064634,69,1979314,240222,17735,2476,87.75
1784064635,70,1996144,242555,16830,2333,87.83
1784064636,71,2013915,245039,17771,2484,87.74
1784064637,72,2031943,247468,18028,2429,88.13
1784064638,73,2046042,249548,14099,2080,87.14
1784064639,74,2063764,251992,17722,2444,87.88
1784064640,75,2081076,254520,17312,2528,87.26
1784064641,76,2098625,257016,17549,2496,87.55
1784064642,77,2116161,259469,17536,2453,87.73
1784064643,78,2133459,261936,17298,2467,87.52
1784064644,79,2138880,262739,5421,803,87.10
1784064645,80,2143728,263381,4848,642,88.31
1784064646,81,2148757,264050,5029,669,88.26
1784064647,82,2154100,264784,5343,734,87.92
1784064648,83,2159150,265485,5050,701,87.81
1784064649,84,2174240,267599,15090,2114,87.71
1784064650,85,2191708,270017,17468,2418,87.84
1784064651,86,2209383,272523,17675,2506,87.58
1784064652,87,2226678,275030,17295,2507,87.34
1784064653,88,2244725,277739,18047,2709,86.95
1784064654,89,2262721,280250,17996,2511,87.76
1784064655,90,2280248,282759,17527,2509,87.48
1784064656,91,2298030,285256,17782,2497,87.69
1784064657,92,2315315,287777,17285,2521,87.27
1784064658,93,2332580,290272,17265,2495,87.37
1784064659,94,2349642,292688,17062,2416,87.60
1784064660,95,2366158,295046,16516,2358,87.51
1784064661,96,2384766,297782,18608,2736,87.18
1784064662,97,2402053,300267,17287,2485,87.43
1784064663,98,2419646,302919,17593,2652,86.90
1784064664,99,2437101,305499,17455,2580,87.12
1784064665,100,2453841,308022,16740,2523,86.90
1784064666,101,2472132,310669,18291,2647,87.36
1784064667,102,2489620,313136,17488,2467,87.64
1784064668,103,2505692,315441,16072,2305,87.46
1784064669,104,2519958,317502,14266,2061,87.38
1784064670,105,2533944,319611,13986,2109,86.90
1784064671,106,2549674,321880,15730,2269,87.39
1784064672,107,2566024,324285,16350,2405,87.18
1784064673,108,2582799,326803,16775,2518,86.95
1784064674,109,2600655,329456,17856,2653,87.06
1784064675,110,2617991,332100,17336,2644,86.77
1784064676,111,2633698,334440,15707,2340,87.03
1784064677,112,2650438,336869,16740,2429,87.33
1784064678,113,2666347,339192,15909,2323,87.26
1784064679,114,2679584,341119,13237,1927,87.29
1784064680,115,2685222,341926,5638,807,87.48
1784064681,116,2690644,342702,5422,776,87.48
1784064682,117,2695885,343473,5241,771,87.18
1784064683,118,2701459,344255,5574,782,87.70
1784064684,119,2712607,345797,11148,1542,87.85
1784064685,120,2731690,348003,19083,2206,89.64
1784064686,121,2761907,350391,30217,2388,92.68
1784064687,122,2797443,352746,35536,2355,93.78
1784064688,123,2841387,355113,43944,2367,94.89
1784064689,124,2892440,357418,51053,2305,95.68
1784064690,125,2948276,359711,55836,2293,96.06
1784064691,126,3011026,362155,62750,2444,96.25
1784064692,127,3090492,364616,79466,2461,97.00
1784064693,128,3155738,396428,65246,31812,67.22
1784064694,129,3176703,398914,20965,2486,89.40
1784064695,130,3193665,401510,16962,2596,86.73
1784064696,131,3209619,403856,15954,2346,87.18
1784064697,132,3226454,406390,16835,2534,86.92
1784064698,133,3241874,408760,15420,2370,86.68
