t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
20566.924728439,0.0009508010007266421,1784064795.0371501,,,,,,,,,,,,,,,0.0,30435397632,0,552960,0,0.0,0.0,0.12,0.08,0.02,40260654,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,4.13,9.45,10.64,1284167691,3.85,9.18,10.38,1260179312
20567.92530009,1.0015224519993353,1784064796.0377223,35897,0.0,57851904,3125248,0,,,,,,,,,,6.4,30393114624,0,561152,0,3123462.4695601594,0.0,0.12,0.08,0.02,40261984,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,4.13,9.45,10.64,1284168198,3.85,9.18,10.38,1260179819
20568.926321856,2.002544218001276,1784064797.0387437,35897,99.9,57860096,3125248,0,0.0,0.0,,,,,,,,6.3,30394793984,0,901120,0,0.0,0.0,0.1,0.08,0.02,40262222,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,3.38,9.14,10.57,1284168198,3.15,8.88,10.31,1260179819
20569.927218294,3.0034406560007483,1784064798.0396404,35897,99.9,57868288,3125248,0,0.0,0.0,,,,,,,,6.6,30393786368,0,901120,0,0.0,0.0,0.1,0.08,0.02,40262512,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,3.38,9.14,10.57,1284168198,3.15,8.88,10.31,1260179819
20570.92828257,4.004504931999691,1784064799.0407045,35897,99.9,57876480,3125248,0,0.0,0.0,,,,,,,,6.5,30395260928,0,901120,0,0.0,0.0,0.08,0.08,0.02,40263576,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.77,8.84,10.5,1284168198,2.58,8.59,10.24,1260179819
20571.929279877,5.005502239000634,1784064800.0417018,35897,99.9,57884672,3125248,0,0.0,0.0,,,,,,,,6.5,30396473344,0,901120,0,0.0,0.0,0.08,0.08,0.02,40263865,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.77,8.84,10.5,1284168198,2.58,8.59,10.24,1260179819
20572.930012636,6.006234997999854,1784064801.0424356,35897,117.9,550813696,33198080,0,30050811.99707527,0.0,,,,,,,,7.8,29907283968,0,901120,0,30050811.99707527,32744.006534541295,0.06,0.08,0.02,40266507,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.26,8.56,10.43,1284169227,2.11,8.31,10.17,1260180805
20573.930783755,7.007006117000856,1784064802.0432065,35897,40.0,616955904,86523904,733184,53284735.12827926,732619.0635196242,,,,,,,,2.6,29833486336,0,901120,0,53284735.12827926,757176.1271012876,0.06,0.08,0.02,40267363,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.26,8.56,10.43,1284181887,2.11,8.31,10.17,1260193359
20574.931584694,8.007807056001184,1784064803.0440068,35897,126.9,726188032,125218816,13099008,38663944.53891227,12355927.655655354,,,,,,,,8.3,29726232576,0,32768,0,38663944.53891227,11246799.99925171,0.05,0.07,0.02,40270161,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.03,8.31,10.36,1284199777,1.91,8.07,10.1,1260209958
20575.932362193,9.008584555002017,1784064804.0447845,35897,38.0,784764928,168304640,14282752,43052350.840238206,1182824.3552456356,,,,,,,,4.1,29663510528,0,909312,0,43052350.840238206,1088689.5449665713,0.05,0.07,0.02,40270642,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,2.03,8.31,10.36,1284202557,1.91,8.07,10.1,1260212718
20576.933023902,10.009246263998648,1784064805.0454462,35897,14.0,841596928,197976064,19140608,29651803.13509917,4854643.6386288805,,,,,,,,1.7,29611393024,0,1056768,327680,29651803.13509917,3733081.7861969136,0.04,0.07,0.02,40271501,0.0,0.0,0.0,0,0.0,0.0,0.0,371112,0.0,0.0,0.0,370612,1.66,8.04,10.29,1284224824,1.56,7.8,10.04,1260233990
