timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 22:41:45:774,1,635,635.0,5795.35,26255,12671,24975,26255
2026-07-14 22:41:46:774,2,1393,758.0,5249.11,13407,11855,12967,13407
2026-07-14 22:41:47:774,3,2126,733.0,5459.56,12887,11135,11439,12887
2026-07-14 22:41:48:774,4,3638,1512.0,2647.29,12295,8759,12111,12295
2026-07-14 22:41:49:774,5,5353,1715.0,2331.79,6747,5615,6323,6747
2026-07-14 22:41:50:774,6,6989,1636.0,2439.86,14895,8863,14039,14895
2026-07-14 22:41:51:774,7,8766,1777.0,2248.5,9119,5675,8215,9119
2026-07-14 22:41:52:774,8,10547,1781.0,2237.71,14071,5827,11815,14071
2026-07-14 22:41:53:774,9,12176,1629.0,2451.93,39263,11183,39231,39263
2026-07-14 22:41:54:774,10,13814,1638.0,2446.2,24431,12639,20367,24431
2026-07-14 22:41:55:774,11,15566,1752.0,2281.14,24335,11535,24303,24335
2026-07-14 22:41:56:774,12,17371,1805.0,2213.54,16247,10095,16215,16247
2026-07-14 22:41:57:774,13,19166,1795.0,2227.32,19055,10183,18159,19055
2026-07-14 22:41:58:774,14,21074,1908.0,2095.15,21359,8027,17391,21359
2026-07-14 22:41:59:774,15,22889,1815.0,2201.54,19439,12159,19231,19439
2026-07-14 22:42:00:774,16,24737,1848.0,2161.32,22383,11679,18303,22383
2026-07-14 22:42:01:774,17,26588,1851.0,2157.62,18671,8919,16231,18671
2026-07-14 22:42:02:774,18,28485,1897.0,2107.36,14263,10143,14231,14263
2026-07-14 22:42:03:774,19,30272,1787.0,2236.48,18623,11919,18063,18623
2026-07-14 22:42:04:774,20,32138,1866.0,2137.08,17007,9567,16263,17007
2026-07-14 22:42:05:774,21,34015,1877.0,2129.66,18559,9783,17039,18559
2026-07-14 22:42:06:774,22,35851,1836.0,2179.18,17695,9487,17359,17695
2026-07-14 22:42:07:774,23,37754,1903.0,2098.04,15775,8247,14239,15775
2026-07-14 22:42:08:774,24,39556,1802.0,2219.04,36191,11087,33855,36191
2026-07-14 22:42:09:774,25,41393,1837.0,2175.67,19231,9679,18175,19231
2026-07-14 22:42:10:774,26,43290,1897.0,2107.75,17775,8271,15791,17775
2026-07-14 22:42:11:774,27,45180,1890.0,2111.85,17791,9783,16207,17791
2026-07-14 22:42:12:774,28,47130,1950.0,2046.87,22367,7015,17711,22367
2026-07-14 22:42:13:774,29,49054,1924.0,2080.23,18335,8703,17807,18335
2026-07-14 22:42:14:774,30,50984,1930.0,2070.66,18479,9599,18031,18479
2026-07-14 22:42:15:775,31,52085,1101.0,3603.37,21519,18431,21423,21519
2026-07-14 22:42:16:774,32,52364,279.0,14393.43,24623,21967,24623,24623
2026-07-14 22:42:17:774,33,52646,282.0,14184.4,32159,21679,32159,32159
2026-07-14 22:42:18:774,34,53136,490.0,8184.32,27007,21071,27007,27007
2026-07-14 22:42:19:774,35,55060,1924.0,2076.69,13359,8059,12127,13359
2026-07-14 22:42:20:774,36,57050,1990.0,2006.43,18031,7727,14687,18031
2026-07-14 22:42:21:774,37,59021,1971.0,2029.52,18047,7899,13967,18047
2026-07-14 22:42:22:774,38,60914,1893.0,2109.59,14095,8051,13079,14095
2026-07-14 22:42:23:774,39,62911,1997.0,2001.57,15135,7507,14719,15135
2026-07-14 22:42:24:774,40,64893,1982.0,2008.87,13191,7995,11559,13191
2026-07-14 22:42:25:774,41,66812,1919.0,2090.31,15327,9487,15279,15327
2026-07-14 22:42:26:774,42,68747,1935.0,2065.15,17295,8743,16343,17295
2026-07-14 22:42:27:774,43,70754,2007.0,1991.49,13287,6751,13231,13287
2026-07-14 22:42:28:774,44,72114,1360.0,2940.35,18591,13319,18543,18591
2026-07-14 22:42:29:774,45,72864,750.0,5315.86,23359,17391,23343,23359
2026-07-14 22:42:30:774,46,73512,648.0,6182.43,28399,22207,28399,28399
2026-07-14 22:42:31:774,47,74194,682.0,5855.43,23135,21455,23135,23135
2026-07-14 22:42:32:774,48,74862,668.0,5987.29,23695,21183,23679,23695
2026-07-14 22:42:33:774,49,75510,648.0,6147.73,28479,22767,28463,28479
2026-07-14 22:42:34:774,50,76142,632.0,6358.23,32415,25119,32335,32415
2026-07-14 22:42:35:774,51,76763,621.0,6429.57,28127,23103,25407,28127
2026-07-14 22:42:36:774,52,77370,607.0,6596.66,33599,23583,29983,33599
2026-07-14 22:42:37:774,53,77952,582.0,6881.88,34623,23231,34591,34623
2026-07-14 22:42:38:774,54,78543,591.0,6676.75,29455,22703,29359,29455
2026-07-14 22:42:39:774,55,79190,647.0,6252.38,31535,21919,31519,31535
2026-07-14 22:42:40:774,56,79828,638.0,6270.05,27583,21919,27551,27583
2026-07-14 22:42:41:774,57,80448,620.0,6440.42,32767,24991,27775,32767
2026-07-14 22:42:42:774,58,81096,648.0,6174.46,31807,23599,31743,31807
2026-07-14 22:42:43:774,59,81759,663.0,6019.12,24511,19583,23791,24511
2026-07-14 22:42:44:774,60,82350,591.0,6783.73,36191,24623,36159,36191
2026-07-14 22:42:45:774,61,82962,612.0,6538.19,29567,24655,29567,29567
2026-07-14 22:42:46:774,62,83561,599.0,6682.26,30031,27711,30015,30031
2026-07-14 22:42:47:774,63,84185,624.0,6397.88,28511,24991,28511,28511
2026-07-14 22:42:48:774,64,84813,628.0,6362.63,30799,25071,28895,30799
2026-07-14 22:42:49:774,65,85362,549.0,7220.76,34623,31343,34527,34623
2026-07-14 22:42:50:774,66,85512,150.0,26840.43,36479,36447,36479,36479
2026-07-14 22:42:51:774,67,85662,150.0,26776.59,52799,46399,52799,52799
2026-07-14 22:42:52:774,68,85830,168.0,23536.5,43231,35391,43231,43231
2026-07-14 22:42:53:774,69,86427,597.0,6780.12,30831,29519,30831,30831
2026-07-14 22:42:54:774,70,87069,642.0,6219.97,23759,22447,23727,23759
2026-07-14 22:42:55:774,71,87721,652.0,6111.51,24911,23199,24863,24911
2026-07-14 22:42:56:774,72,88335,614.0,6523.64,32767,22687,26751,32767
2026-07-14 22:42:57:774,73,88953,618.0,6480.66,25823,23327,24447,25823
2026-07-14 22:42:58:774,74,89561,608.0,6576.86,36479,27311,31679,36479
2026-07-14 22:42:59:774,75,90161,600.0,6635.15,31807,23919,31807,31807
2026-07-14 22:43:00:774,76,90824,663.0,6069.37,30143,22527,29871,30143
2026-07-14 22:43:01:774,77,91455,631.0,6335.19,25391,23263,25359,25391
2026-07-14 22:43:02:774,78,92105,650.0,6142.97,33663,24111,31471,33663
2026-07-14 22:43:03:774,79,92769,664.0,6024.56,22911,20559,22895,22911
2026-07-14 22:43:04:774,80,93417,648.0,6176.82,25215,22975,25199,25215
2026-07-14 22:43:05:774,81,94050,633.0,6322.22,33567,23039,33535,33567
2026-07-14 22:43:06:774,82,94679,629.0,6344.02,26431,24239,25935,26431
2026-07-14 22:43:07:774,83,95281,602.0,6656.71,33247,23263,27695,33247
2026-07-14 22:43:08:774,84,95896,615.0,6495.58,32767,22959,32751,32767
2026-07-14 22:43:09:774,85,96510,614.0,6467.68,36543,25167,33599,36543
2026-07-14 22:43:10:774,86,97141,631.0,6366.43,26287,24943,26255,26287
2026-07-14 22:43:11:774,87,97788,647.0,6196.18,28607,23263,28575,28607
2026-07-14 22:43:12:774,88,98435,647.0,6184.97,24367,22399,24335,24367
2026-07-14 22:43:13:774,89,99077,642.0,6219.2,30847,22063,24863,30847
2026-07-14 22:43:14:774,90,99722,645.0,6202.16,24863,19855,24543,24863
2026-07-14 22:43:15:774,91,100346,624.0,6394.93,25103,24399,25087,25103
2026-07-14 22:43:16:774,92,100969,623.0,6446.86,27695,25583,27679,27695
2026-07-14 22:43:17:774,93,101590,621.0,6416.29,29599,19695,25039,29599
2026-07-14 22:43:18:774,94,102222,632.0,6338.24,25743,25135,25695,25743
2026-07-14 22:43:19:774,95,102859,637.0,6274.9,27391,23727,27039,27391
2026-07-14 22:43:20:774,96,103477,618.0,6423.56,31839,24447,31807,31839
2026-07-14 22:43:21:774,97,104140,663.0,6091.09,33823,20671,33791,33823
2026-07-14 22:43:22:774,98,104788,648.0,6105.43,25151,22543,25151,25151
2026-07-14 22:43:23:774,99,105430,642.0,6281.05,34719,24559,34655,34719
2026-07-14 22:43:24:774,100,105642,212.0,18654.42,59615,48639,59615,59615
2026-07-14 22:43:25:774,101,106166,524.0,7730.13,31855,28143,31839,31855
2026-07-14 22:43:26:774,102,106809,643.0,6219.6,25711,22559,25135,25711
2026-07-14 22:43:27:774,103,107435,626.0,6384.97,26895,23983,26863,26895
2026-07-14 22:43:28:774,104,108070,635.0,6253.92,27343,23583,27327,27343
2026-07-14 22:43:29:774,105,108717,647.0,6230.54,26895,22783,26879,26895
2026-07-14 22:43:30:774,106,109351,634.0,6299.83,27759,25343,27311,27759
2026-07-14 22:43:31:774,107,109976,625.0,6389.4,30559,23647,25855,30559
2026-07-14 22:43:32:774,108,110601,625.0,6375.56,36479,22767,27055,36479
2026-07-14 22:43:33:774,109,111221,620.0,6471.46,26527,23279,24575,26527
2026-07-14 22:43:34:774,110,111849,628.0,6376.15,31823,25103,27519,31823
2026-07-14 22:43:35:774,111,112479,630.0,6346.06,32207,24079,32159,32207
2026-07-14 22:43:36:774,112,113092,613.0,6511.25,30783,23999,30767,30783
2026-07-14 22:43:37:774,113,113741,649.0,6176.55,24559,21791,23983,24559
2026-07-14 22:43:38:774,114,114393,652.0,6137.91,26751,22671,25407,26751
2026-07-14 22:43:39:774,115,115042,649.0,6161.24,23839,19535,23839,23839
