run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,10.32187796299695,11.450649174999853,11.897182009997778,111.89720096499877,112.00007109399667,137.91676504499992,220.8440765799969
2,13.478078509000625,13.628992305002612,14.061211808002554,114.06124907599951,114.16651072199966,139.8699579080021,231.65005866700085
3,11.18705187500018,11.332387753998773,11.721418641998753,111.72149370400075,111.82458203699935,137.73733167500177,222.9023863049988
4,11.142387690997566,11.2940514969996,11.735610595998878,111.73567379999804,111.84066427699872,137.94632366099904,218.65957426299792
5,11.156193808998069,11.30588915899716,11.752924439999333,111.75298316599947,111.86337448599807,137.77044098199985,225.03696300199954
6,13.27650113799973,13.422816373000387,13.8673012069994,113.86736534599913,113.97274014600043,139.88157966699873,229.4390984599995
7,12.523936416000652,13.6488579020006,14.095855118001055,114.09591702100079,114.19876399799978,139.9084772999995,231.78953420900143
8,13.098527096997714,13.254157995001151,13.692211206998763,113.69227350599976,113.7952404179996,139.50478877099886,231.244508208998
9,13.268265722999786,13.417888618998404,13.840156405000016,113.84021946400026,113.9429122449983,139.65247737499885,229.22601424999812
10,13.131406122000044,13.278626194998651,13.714788238998153,113.7148510579973,113.81793077700058,139.5284115229988,231.31602009500057
