t_monotonic,t_since_run_start,timestamp_unix,event,details
31201.322385791,0.00043519500104594044,1784075429.434808,run_start,
31201.323752214,0.0018016180001723114,1784075429.4361744,source_vm_started,pid=54890
31201.425406389,0.10345579299973906,1784075429.5378284,source_qmp_ready,
31214.420478333,13.098527736998221,1784075442.5329003,source_ssh_ready,
31214.576109471,13.25415887499912,1784075442.6885316,source_postgres_ready,
31215.014142953,13.69219235700075,1784075443.1265655,benchmark_start,
31315.014225822,113.69227522599977,1784075543.1266487,destination_boot_start,
31315.014525418,113.69257482199828,1784075543.1269472,destination_process_started,pid=55086
31315.116037518,113.79408692200013,1784075543.2284596,destination_qmp_ready,
31315.118962812,113.79701221600044,1784075543.2313845,migration_started,
31340.223508759,138.90155816300103,1784075568.3359308,postcopy_requested,
31340.626530924,139.30458032800016,1784075568.7389529,postcopy_started,
31340.827305511,139.50535491499977,1784075568.9397275,migration_end,
31341.315895125,139.99394452900015,1784075569.4283175,source_terminate_requested,pid=54890
31341.407266653,140.08531605700045,1784075569.5196886,source_terminated,pid=54890
31432.722203432,231.4002528359997,1784075660.8346255,benchmark_end,
