timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 02:46:48:878,1,1352,1352.0,10751.65,33951,33439,33887,33951
2026-07-15 02:46:49:878,2,3007,1655.0,9675.18,22367,18159,20223,22367
2026-07-15 02:46:50:878,3,4758,1751.0,9127.01,24079,17359,22511,24079
2026-07-15 02:46:51:877,4,6480,1722.0,9283.0,18255,17663,18239,18255
2026-07-15 02:46:52:878,5,8686,2206.0,7244.14,19311,17535,19055,19311
2026-07-15 02:46:53:877,6,13251,4565.0,3505.12,50911,8903,50047,50911
2026-07-15 02:46:54:877,7,17878,4627.0,3445.61,24463,14847,22335,24463
2026-07-15 02:46:55:877,8,22618,4740.0,3378.09,27647,15127,18255,27647
2026-07-15 02:46:56:877,9,27633,5015.0,3189.8,23423,12863,21439,21535
2026-07-15 02:46:57:877,10,32437,4804.0,3322.65,24735,15015,21887,24735
2026-07-15 02:46:58:877,11,37319,4882.0,3279.63,36319,13551,19711,36319
2026-07-15 02:46:59:878,12,42567,5248.0,3043.58,24799,12559,23519,24719
2026-07-15 02:47:00:877,13,47651,5084.0,3144.63,21695,14127,18591,18639
2026-07-15 02:47:01:877,14,52839,5188.0,3089.17,23999,14079,17759,17823
2026-07-15 02:47:02:878,15,57866,5027.0,3178.07,20943,12343,20143,20863
2026-07-15 02:47:03:878,16,63147,5281.0,3019.71,21359,12295,18927,19775
2026-07-15 02:47:04:877,17,68405,5258.0,3047.15,21935,11103,18495,18639
2026-07-15 02:47:05:877,18,73367,4962.0,3226.87,22063,12935,17967,22063
2026-07-15 02:47:06:877,19,78728,5361.0,2980.68,25631,12135,18271,19135
2026-07-15 02:47:07:877,20,83783,5055.0,3165.59,19391,13959,18415,19151
2026-07-15 02:47:08:878,21,89158,5375.0,2967.58,18943,12039,17343,18383
2026-07-15 02:47:09:877,22,94666,5508.0,2884.84,20319,11047,16055,19023
