timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784073538,1,82515,1594,,,
1784073539,2,83195,1669,680,75,90.07
1784073540,3,105282,4331,22087,2662,89.24
1784073541,4,123167,6906,17885,2575,87.41
1784073542,5,140956,9263,17789,2357,88.30
1784073543,6,158853,11530,17897,2267,88.76
1784073544,7,176082,13582,17229,2052,89.36
1784073545,8,195932,15818,19850,2236,89.88
1784073546,9,220021,18481,24089,2663,90.05
1784073547,10,267656,23564,47635,5083,90.36
1784073548,11,317673,28980,50017,5416,90.23
1784073549,12,367830,34363,50157,5383,90.31
1784073550,13,417046,39803,49216,5440,90.05
1784073551,14,464984,45176,47938,5373,89.92
1784073552,15,515383,50848,50399,5672,89.88
1784073553,16,562984,56310,47601,5462,89.71
1784073554,17,613154,62123,50170,5813,89.62
1784073555,18,663884,68062,50730,5939,89.52
1784073556,19,711704,73854,47820,5792,89.20
1784073557,20,762003,79925,50299,6071,89.23
1784073558,21,807207,85536,45204,5611,88.96
1784073559,22,857786,91786,50579,6250,89.00
1784073560,23,908523,98127,50737,6341,88.89
1784073561,24,955118,104111,46595,5984,88.62
1784073562,25,1004524,110374,49406,6263,88.75
1784073564,27,1062606,117784,58082,7410,88.69
1784073565,28,1111489,124034,48883,6250,88.66
1784073566,29,1159954,130370,48465,6336,88.44
1784073567,30,1206859,136406,46905,6036,88.60
1784073568,31,1257301,143059,50442,6653,88.35
1784073569,32,1302440,149053,45139,5994,88.28
1784073570,33,1346131,154873,43691,5820,88.25
1784073571,34,1361742,156977,15611,2104,88.12
1784073572,35,1371894,158241,10152,1264,88.93
1784073573,36,1381676,159493,9782,1252,88.65
1784073574,37,1391804,160821,10128,1328,88.41
1784073575,38,1402244,162169,10440,1348,88.56
1784073576,39,1410291,163269,8047,1100,87.97
1784073577,40,1415462,163945,5171,676,88.44
1784073578,41,1420588,164569,5126,624,89.15
1784073579,42,1431807,166067,11219,1498,88.22
1784073580,43,1450308,168529,18501,2462,88.26
1784073581,44,1469652,171056,19344,2527,88.45
1784073582,45,1488658,173705,19006,2649,87.77
1784073583,46,1507972,176186,19314,2481,88.62
1784073584,47,1526222,178539,18250,2353,88.58
1784073585,48,1543825,180828,17603,2289,88.49
1784073586,49,1560751,183051,16926,2223,88.39
1784073587,50,1578953,185513,18202,2462,88.09
1784073588,51,1597658,188008,18705,2495,88.23
1784073589,52,1616495,190569,18837,2561,88.03
1784073590,53,1635438,193116,18943,2547,88.15
1784073591,54,1653158,195538,17720,2422,87.98
1784073592,55,1670985,198006,17827,2468,87.84
1784073593,56,1688057,200218,17072,2212,88.53
1784073594,57,1705555,202579,17498,2361,88.11
1784073595,58,1723884,205067,18329,2488,88.05
1784073596,59,1743042,207696,19158,2629,87.93
1784073597,60,1762231,210360,19189,2664,87.81
1784073598,61,1781012,212921,18781,2561,88.00
1784073599,62,1798174,215241,17162,2320,88.09
1784073600,63,1815930,217634,17756,2393,88.12
1784073601,64,1833945,220064,18015,2430,88.11
1784073602,65,1852250,222547,18305,2483,88.06
1784073603,66,1870980,225183,18730,2636,87.66
1784073604,67,1889928,227875,18948,2692,87.56
1784073605,68,1909172,230574,19244,2699,87.70
1784073606,69,1927635,233090,18463,2516,88.01
1784073607,70,1945387,235493,17752,2403,88.08
1784073608,71,1962532,237851,17145,2358,87.91
1784073609,72,1978586,240041,16054,2190,88.00
1784073610,73,1986017,241093,7431,1052,87.60
1784073611,74,1991654,241851,5637,758,88.15
1784073612,75,1997351,242600,5697,749,88.38
1784073613,76,2002451,243279,5100,679,88.25
1784073614,77,2008384,244087,5933,808,88.01
1784073615,78,2014334,244896,5950,809,88.03
1784073616,79,2031018,247172,16684,2276,88.00
1784073617,80,2048608,249615,17590,2443,87.81
1784073618,81,2066602,252104,17994,2489,87.85
1784073619,82,2085641,254758,19039,2654,87.77
1784073620,83,2104510,257411,18869,2653,87.67
1784073621,84,2123149,259992,18639,2581,87.84
1784073622,85,2141340,262579,18191,2587,87.55
1784073623,86,2159039,265072,17699,2493,87.65
1784073624,87,2176022,267486,16983,2414,87.55
1784073625,88,2193330,269961,17308,2475,87.49
1784073626,89,2211599,272579,18269,2618,87.47
1784073627,90,2230522,275277,18923,2698,87.52
1784073629,92,2249217,277901,18695,2624,87.69
1784073630,93,2268084,280536,18867,2635,87.75
1784073631,94,2285964,283121,17880,2585,87.37
1784073632,95,2303604,285629,17640,2508,87.55
1784073633,96,2320630,288068,17026,2439,87.47
1784073634,97,2337470,290531,16840,2463,87.24
1784073635,98,2355648,293163,18178,2632,87.35
1784073636,99,2374388,295850,18740,2687,87.46
1784073637,100,2393109,298605,18721,2755,87.17
1784073638,101,2411174,301237,18065,2632,87.28
1784073639,102,2428600,303793,17426,2556,87.21
1784073640,103,2445846,306291,17246,2498,87.35
1784073641,104,2462407,308750,16561,2459,87.07
1784073642,105,2479318,311227,16911,2477,87.22
1784073643,106,2496902,313806,17584,2579,87.21
1784073644,107,2515785,316506,18883,2700,87.49
1784073645,108,2534204,319279,18419,2773,86.91
1784073646,109,2550386,321560,16182,2281,87.65
1784073647,110,2564033,323556,13647,1996,87.24
1784073648,111,2570790,324588,6757,1032,86.75
1784073649,112,2576360,325394,5570,806,87.36
1784073650,113,2581849,326178,5489,784,87.50
1784073651,114,2587294,326905,5445,727,88.22
1784073652,115,2592813,327639,5519,734,88.26
1784073653,116,2602332,329016,9519,1377,87.36
1784073654,117,2620638,331549,18306,2533,87.84
1784073655,118,2644142,333898,23504,2349,90.91
1784073656,119,2675186,336195,31044,2297,93.11
1784073657,120,2709893,338396,34707,2201,94.04
1784073658,121,2751389,340587,41496,2191,94.98
1784073659,122,2800226,342990,48837,2403,95.31
1784073660,123,2908678,347515,108452,4525,95.99
1784073661,124,2982778,349886,74100,2371,96.90
1784073662,125,3057275,381726,74497,31840,70.06
1784073663,126,3075674,384208,18399,2482,88.11
1784073664,127,3092357,386572,16683,2364,87.59
1784073665,128,3108238,388868,15881,2296,87.37
1784073666,129,3125073,391324,16835,2456,87.27
1784073667,130,3142560,393979,17487,2655,86.82
1784073668,131,3159759,396567,17199,2588,86.92
1784073669,132,3177399,399321,17640,2754,86.50
1784073670,133,3193701,401748,16302,2427,87.04
1784073671,134,3210551,404328,16850,2580,86.72
1784073672,135,3226045,406724,15494,2396,86.61
1784073673,136,3241522,409134,15477,2410,86.53
1784073674,137,3257861,411558,16339,2424,87.08
1784073675,138,3274588,414096,16727,2538,86.83
1784073676,139,3291579,416756,16991,2660,86.46
1784073677,140,3308911,419471,17332,2715,86.46
1784073678,141,3325689,422046,16778,2575,86.69
1784073679,142,3341770,424512,16081,2466,86.70
1784073680,143,3357689,426978,15919,2466,86.59
1784073682,145,3373050,429324,15361,2346,86.75
1784073683,146,3389131,431818,16081,2494,86.57
1784073684,147,3401416,433729,12285,1911,86.54
1784073685,148,3408710,434904,7294,1175,86.13
1784073686,149,3415405,435902,6695,998,87.03
1784073687,150,3421929,436854,6524,952,87.27
1784073688,151,3428691,437864,6762,1010,87.00
1784073689,152,3435087,438885,6396,1021,86.23
1784073690,153,3450826,441249,15739,2364,86.94
1784073691,154,3468088,443883,17262,2634,86.76
1784073692,155,3485546,446533,17458,2650,86.82
1784073693,156,3502723,449280,17177,2747,86.21
1784073694,157,3520499,452092,17776,2812,86.34
1784073695,158,3537870,454736,17371,2644,86.79
1784073696,159,3554761,457351,16891,2615,86.59
1784073697,160,3570393,459795,15632,2444,86.48
1784073698,161,3586729,462330,16336,2535,86.57
1784073699,162,3602553,464889,15824,2559,86.08
1784073700,163,3619282,467545,16729,2656,86.30
1784073701,164,3636100,470206,16818,2661,86.34
1784073702,165,3653197,472924,17097,2718,86.28
1784073703,166,3669715,475573,16518,2649,86.18
1784073704,167,3685928,478067,16213,2494,86.67
1784073705,168,3701792,480586,15864,2519,86.30
1784073706,169,3717498,483148,15706,2562,85.98
1784073707,170,3733669,485913,16171,2765,85.40
1784073708,171,3749051,488426,15382,2513,85.96
1784073709,172,3766177,491044,17126,2618,86.74
1784073710,173,3782809,493684,16632,2640,86.30
1784073711,174,3799775,496420,16966,2736,86.11
1784073712,175,3816035,498945,16260,2525,86.56
1784073713,176,3832511,501561,16476,2616,86.30
1784073714,177,3848160,503982,15649,2421,86.60
1784073715,178,3863834,506524,15674,2542,86.05
1784073716,179,3879521,509050,15687,2526,86.13
1784073717,180,3896527,511868,17006,2818,85.78
1784073718,181,3913668,514587,17141,2719,86.31
1784073719,182,3931040,517392,17372,2805,86.10
1784073720,183,3945870,519743,14830,2351,86.32
1784073721,184,3952827,520824,6957,1081,86.55
1784073722,185,3960306,522041,7479,1217,86.01
1784073723,186,3966545,522993,6239,952,86.76
1784073724,187,3975383,524494,8838,1501,85.48
1784073725,188,3991677,527005,16294,2511,86.65
1784073726,189,4008646,529837,16969,2832,85.70
1784073727,190,4025713,532643,17067,2806,85.88
1784073728,191,4043519,535516,17806,2873,86.11
1784073729,192,4060194,538281,16675,2765,85.78
1784073730,193,4077166,541023,16972,2742,86.09
1784073731,194,4093670,543804,16504,2781,85.58
1784073732,195,4109978,546491,16308,2687,85.85
1784073733,196,4126309,549142,16331,2651,86.03
1784073734,197,4143047,551744,16738,2602,86.55
1784073735,198,4160279,554498,17232,2754,86.22
1784073736,199,4177095,557292,16816,2794,85.75
1784073737,200,4194102,560067,17007,2775,85.97
1784073738,201,4209986,562733,15884,2666,85.63
1784073739,202,4226486,565352,16500,2619,86.30
1784073740,203,4241964,567880,15478,2528,85.96
1784073741,204,4257755,570527,15791,2647,85.64
1784073742,205,4273703,573169,15948,2642,85.79
1784073743,206,4290507,575962,16804,2793,85.75
1784073744,207,4307562,578742,17055,2780,85.98
1784073745,208,4324559,581519,16997,2777,85.96
1784073746,209,4341738,584408,17179,2889,85.60
1784073747,210,4358082,586980,16344,2572,86.40
1784073748,211,4374538,589704,16456,2724,85.80
1784073749,212,4390069,592305,15531,2601,85.66
1784073750,213,4405684,594924,15615,2619,85.64
1784073751,214,4421580,597505,15896,2581,86.03
1784073752,215,4438439,600299,16859,2794,85.78
1784073753,216,4455477,603119,17038,2820,85.80
1784073754,217,4472800,605977,17323,2858,85.84
1784073755,218,4484506,607885,11706,1908,85.99
1784073756,219,4492519,609190,8013,1305,85.99
1784073757,220,4499228,610248,6709,1058,86.38
1784073758,221,4500484,610416,1256,168,88.20
