t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
29069.564649427,0.0009136939988820814,1784073297.677071,,,,,,,,,,,,,,,0.0,30431916032,0,2650112,0,0.0,0.0,0.0,0.06,0.01,63416097,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,4.33,9.36,10.85,2113595489,3.98,9.16,10.62,2070564480
29070.568419339,1.004683605999162,1784073298.680842,50852,0.0,63942656,3125248,0,,,,,,,,,,6.3,30384365568,0,1699840,0,3113510.340006215,930380.5472102452,0.0,0.05,0.01,63417027,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,3.54,9.05,10.78,2113595697,3.26,8.86,10.54,2070564686
29071.569460446,2.0057247129989264,1784073299.6818829,50852,100.9,63946752,3125248,0,0.0,0.0,,,,,,,,6.3,30385614848,0,1699840,0,0.0,0.0,0.0,0.05,0.01,63417078,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,3.54,9.05,10.78,2113595697,3.26,8.86,10.54,2070564686
29072.570369367,3.0066336339987174,1784073300.6827915,50852,98.9,63954944,3125248,0,0.0,0.0,,,,,,,,6.3,30388510720,0,1699840,0,0.0,0.0,0.0,0.05,0.01,63417239,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,2.9,8.75,10.7,2113595697,2.67,8.57,10.47,2070564686
29073.571004654,4.007268920999195,1784073301.6834373,50852,100.9,63963136,3125248,0,0.0,0.0,,,,,,,,6.3,30388768768,0,1699840,0,0.0,0.0,0.0,0.05,0.01,63417281,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,2.9,8.75,10.7,2113595697,2.67,8.57,10.47,2070564686
29074.571791404,5.0080556709981465,1784073302.6842134,50852,98.9,63971328,3125248,0,0.0,0.0,,,,,,,,6.3,30389407744,0,1699840,0,0.0,0.0,0.0,0.05,0.01,63417438,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,2.37,8.47,10.63,2113595697,2.18,8.29,10.4,2070564686
29075.572634367,6.008898633997887,1784073303.6850572,50852,123.9,563515392,33849344,0,30698218.537614834,0.0,,,,,,,,7.6,29880152064,0,1724416,0,30698218.537614834,32740.401053315378,0.0,0.05,0.01,63419889,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,2.37,8.47,10.63,2113598117,2.18,8.29,10.4,2070567099
29076.573363854,7.009628120998968,1784073304.6857872,50852,36.0,610533376,85741568,733184,51854396.89151874,732649.5416829943,,,,,,,,2.2,29832548352,0,1732608,0,51854396.89151874,757207.6268790723,0.0,0.05,0.01,63420755,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,1.94,8.19,10.56,2113614945,1.79,8.02,10.33,2070583892
29077.574147095,8.010411362000013,1784073305.6865695,50852,124.9,703025152,122925056,13066240,37154387.16060711,12323403.804867592,,,,,,,,7.7,29751844864,0,1748992,0,37154387.16060711,10788605.921498165,0.0,0.05,0.01,63421987,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,1.94,8.19,10.56,2113627561,1.79,8.02,10.33,2070595894
29078.57493726,9.011201526998775,1784073306.6873596,50852,39.0,751644672,167796736,14577664,44836251.96302316,1510230.6685856273,,,,,,,,2.3,29705564160,0,1748992,0,44836251.96302316,1211458.7477001238,0.0,0.04,0.01,63422394,0.0,0.0,0.0,0,0.0,0.0,0.0,1910856,0.0,0.0,0.0,1909385,1.59,7.92,10.48,2113632621,1.46,7.76,10.26,2070600911
