run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,10.757491819999814,10.894508629000484,11.299145429999953,161.29920696299996,161.40142721099983,179.28267460000006,330.39383852300034
2,13.072933771999487,13.220115514999634,13.64505745599945,163.64513554899895,163.74717277299897,181.02169420300015,345.70835092000016
3,13.36293693100015,13.514626734999183,13.945379207998485,163.94545431400002,164.04733074499927,181.32213242099897,344.00510855099856
4,12.511928150999665,12.654328161999729,14.000631070999589,164.00069296999936,164.10246149500017,181.17695226999967,346.9767577319999
5,13.237348926000777,13.384674027000074,13.823880635000023,163.82394744200064,163.9257269130012,181.19852548000017,344.10495942000125
6,13.24526478000007,13.392275971000345,13.821917876000953,163.82199278100052,163.92394905400033,181.19667629300056,346.14888671100016
7,10.931015652000497,11.079229926001062,11.519561945000532,161.5196218730016,161.62131902500005,178.89908355100124,343.76088125000024
8,11.319964805999916,11.46608437299983,11.894208019999496,161.89427065699965,161.9961582649994,179.06968447299914,346.2510114350007
9,11.161379198998475,11.307464501998766,11.742592294998758,161.74266625899872,161.84472408699912,179.11726359299973,342.00547018
10,10.754579657999784,10.89976093199948,11.329892849000316,161.3299523530004,161.4316758139994,178.90884584999912,344.21330987200054
