timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 20:06:57:435,1,647,647.0,5726.13,26367,16703,24495,26367
2026-07-14 20:06:58:435,2,1417,770.0,5192.09,14559,12327,14159,14559
2026-07-14 20:06:59:435,3,2176,759.0,5226.03,14615,12327,13911,14615
2026-07-14 20:07:00:435,4,2943,767.0,5248.6,15983,12895,15983,15983
2026-07-14 20:07:01:435,5,3692,749.0,5279.74,17775,12719,15095,17775
2026-07-14 20:07:02:435,6,4453,761.0,5281.99,14855,12663,14375,14855
2026-07-14 20:07:03:435,7,5505,1052.0,3808.67,15183,12863,15071,15183
2026-07-14 20:07:04:435,8,7153,1648.0,2425.68,15951,7899,15359,15951
2026-07-14 20:07:05:435,9,8938,1785.0,2237.9,7051,5615,6479,7051
2026-07-14 20:07:06:435,10,10728,1790.0,2231.87,6495,5735,6175,6495
2026-07-14 20:07:07:435,11,12281,1553.0,2574.0,59103,14039,57215,59103
2026-07-14 20:07:08:435,12,13851,1570.0,2542.11,23231,12199,22367,23231
2026-07-14 20:07:09:435,13,15566,1715.0,2332.6,21503,11943,20559,21503
2026-07-14 20:07:10:435,14,17197,1631.0,2451.21,26911,11991,23871,26911
2026-07-14 20:07:11:435,15,18916,1719.0,2292.9,22863,10855,22831,22863
2026-07-14 20:07:12:435,16,20791,1875.0,2160.09,20495,9359,19247,20495
2026-07-14 20:07:13:435,17,22597,1806.0,2212.32,21071,11927,20911,21071
2026-07-14 20:07:14:435,18,24347,1750.0,2269.56,21887,13799,19791,21887
2026-07-14 20:07:15:435,19,26214,1867.0,2152.18,18239,11343,16223,18239
2026-07-14 20:07:16:435,20,28050,1836.0,2178.17,18671,11263,17679,18671
2026-07-14 20:07:17:435,21,29868,1818.0,2194.94,18479,9543,14519,18479
2026-07-14 20:07:18:435,22,31747,1879.0,2129.65,18703,10935,16175,18703
2026-07-14 20:07:19:435,23,33636,1889.0,2114.6,20911,9287,20047,20911
2026-07-14 20:07:20:435,24,35466,1830.0,2184.45,32895,12935,31887,32895
2026-07-14 20:07:21:435,25,37329,1863.0,2143.62,15583,9783,15567,15583
2026-07-14 20:07:22:435,26,39152,1823.0,2188.83,22479,9663,16255,22479
2026-07-14 20:07:23:435,27,40945,1793.0,2232.08,18287,11063,16303,18287
2026-07-14 20:07:24:435,28,42788,1843.0,2167.93,18303,10167,16207,18303
2026-07-14 20:07:25:435,29,44595,1807.0,2210.61,21087,11055,17519,21087
2026-07-14 20:07:26:435,30,46367,1772.0,2256.24,20543,12535,17119,20543
2026-07-14 20:07:27:435,31,48037,1670.0,2372.81,24639,13943,16879,24639
2026-07-14 20:07:28:435,32,48322,285.0,14117.3,27711,22703,27711,27711
2026-07-14 20:07:29:435,33,48597,275.0,14426.61,23471,23167,23471,23471
2026-07-14 20:07:30:435,34,48875,278.0,14459.35,22479,20975,22479,22479
2026-07-14 20:07:31:435,35,50633,1758.0,2283.53,19599,14807,19231,19599
2026-07-14 20:07:32:435,36,52530,1897.0,2106.64,14303,9255,14215,14303
2026-07-14 20:07:33:435,37,54470,1940.0,2060.48,14111,9215,13879,14111
2026-07-14 20:07:34:435,38,56477,2007.0,1991.96,17087,7979,15087,17087
2026-07-14 20:07:35:435,39,58457,1980.0,2016.46,15423,8051,14303,15423
2026-07-14 20:07:36:435,40,60404,1947.0,2049.37,17855,8607,17423,17855
2026-07-14 20:07:37:435,41,62366,1962.0,2039.44,15135,8279,15007,15135
2026-07-14 20:07:38:435,42,64418,2052.0,1947.97,12935,5547,11151,12935
2026-07-14 20:07:39:435,43,66339,1921.0,2080.35,14511,9511,14111,14511
2026-07-14 20:07:40:435,44,68277,1938.0,2063.3,14959,8131,14927,14959
2026-07-14 20:07:41:435,45,70312,2035.0,1963.07,12503,8079,12295,12503
2026-07-14 20:07:42:435,46,71949,1637.0,2437.68,21135,12047,20463,21135
2026-07-14 20:07:43:435,47,72836,887.0,4516.23,23647,16495,21311,23647
2026-07-14 20:07:44:435,48,73531,695.0,5735.48,22463,18447,22447,22463
2026-07-14 20:07:45:435,49,74208,677.0,5914.62,22783,18831,21199,22783
2026-07-14 20:07:46:435,50,74888,680.0,5879.88,25535,21343,25471,25535
2026-07-14 20:07:47:435,51,75544,656.0,6108.76,30559,20911,28303,30559
2026-07-14 20:07:48:435,52,76214,670.0,5917.34,26559,22479,26383,26559
2026-07-14 20:07:49:435,53,76868,654.0,6145.77,26767,22095,25487,26767
2026-07-14 20:07:50:435,54,77447,579.0,6887.06,34399,23807,34271,34399
2026-07-14 20:07:51:435,55,78067,620.0,6489.08,30623,24303,30607,30623
2026-07-14 20:07:52:435,56,78683,616.0,6453.95,31759,24207,26223,31759
2026-07-14 20:07:53:435,57,79320,637.0,6304.05,32495,23967,32463,32495
2026-07-14 20:07:54:435,58,79958,638.0,6276.14,29583,27279,29535,29583
2026-07-14 20:07:55:435,59,80592,634.0,6296.2,29167,26591,28255,29167
2026-07-14 20:07:56:435,60,81230,638.0,6266.14,32895,23135,32863,32895
2026-07-14 20:07:57:435,61,81840,610.0,6566.04,30047,27023,29999,30047
2026-07-14 20:07:58:435,62,82424,584.0,6839.17,33727,26351,33695,33727
2026-07-14 20:07:59:435,63,83044,620.0,6452.21,33567,22815,33567,33567
2026-07-14 20:08:00:435,64,83639,595.0,6721.8,32895,26847,32863,32895
2026-07-14 20:08:01:435,65,84270,631.0,6342.63,35839,24255,35807,35839
2026-07-14 20:08:02:435,66,84514,244.0,16319.15,61983,35871,61983,61983
2026-07-14 20:08:03:435,67,84679,165.0,24139.33,39231,36991,39231,39231
2026-07-14 20:08:04:435,68,84846,167.0,24067.43,54495,50911,54495,54495
2026-07-14 20:08:05:435,69,85012,166.0,23919.71,45343,41727,45343,45343
2026-07-14 20:08:06:435,70,85531,519.0,7750.65,35871,31631,35871,35871
2026-07-14 20:08:07:435,71,86171,640.0,6273.07,26063,21375,25711,26063
2026-07-14 20:08:08:435,72,86796,625.0,6396.15,24767,23423,24703,24767
2026-07-14 20:08:09:435,73,87402,606.0,6585.94,25103,23743,25103,25103
2026-07-14 20:08:10:435,74,88026,624.0,6425.55,34751,22927,29775,34751
2026-07-14 20:08:11:435,75,88640,614.0,6507.13,26479,22319,26463,26479
2026-07-14 20:08:12:435,76,89269,629.0,6362.06,25023,22911,23503,25023
2026-07-14 20:08:13:435,77,89920,651.0,6147.66,29679,25583,29583,29679
