t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
8531.453757071,0.000954601999183069,1784052759.5661788,,,,,,,,,,,,,,,0.0,30453944320,0,1523712,0,0.0,0.0,0.0,0.0,0.0,17574452,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.78,6.47,6.56,433047514,2.78,6.38,6.43,427178216
8532.455060359,1.002257889998873,1784052760.5674827,16445,0.0,57798656,3125248,0,,,,,,,,,,6.5,30394851328,0,1826816,0,3121180.2032961743,0.0,0.0,0.0,0.0,17576149,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.28,6.26,6.51,433047694,2.28,6.17,6.39,427178396
8533.456064107,2.003261637999458,1784052761.5684862,16445,99.9,57806848,3125248,0,0.0,0.0,,,,,,,,6.5,30395863040,0,1826816,0,0.0,0.0,0.0,0.0,0.0,17576441,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,2.28,6.26,6.51,433047694,2.28,6.17,6.39,427178396
8534.457030915,3.0042284459996154,1784052762.569453,16445,98.9,57815040,3125248,0,0.0,0.0,,,,,,,,6.5,30397296640,0,2015232,0,0.0,0.0,0.0,0.0,0.0,17576869,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.86,6.05,6.47,433047694,1.86,5.97,6.35,427178396
8535.458059391,4.005256921998807,1784052763.5704813,16445,99.9,57823232,3125248,0,0.0,0.0,,,,,,,,6.5,30400720896,0,2039808,0,0.0,0.0,0.0,0.0,0.0,17577508,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.86,6.05,6.47,433047694,1.86,5.97,6.35,427178396
8536.459081215,5.006278745999225,1784052764.5715034,16445,99.9,57831424,3125248,0,0.0,0.0,,,,,,,,6.5,30402011136,0,2039808,0,0.0,0.0,0.0,0.0,0.0,17577912,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.53,5.85,6.42,433047694,1.52,5.78,6.3,427178396
8537.45984109,6.007038620999083,1784052765.5722637,16445,121.9,565440512,33783808,0,30635281.01584244,0.0,,,,,,,,7.7,29889150976,0,2048000,0,30635281.01584244,49114.67898331454,0.0,0.0,0.0,17579769,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.53,5.85,6.42,433048554,1.52,5.78,6.3,427179255
8538.460529715,7.007727245998467,1784052766.5729525,16445,35.0,616644608,85499904,733184,51680507.510547385,732679.4586082671,,,,,,,,2.3,29842833408,0,2256896,0,51680507.510547385,757238.5466063096,0.0,0.0,0.0,17580398,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.25,5.66,6.38,433064485,1.25,5.59,6.26,427195077
8539.461299617,8.008497147999151,1784052767.573722,16445,31.0,650964992,101216256,13524992,15704261.257838327,12781967.137927832,,,,,,,,2.1,29813239808,0,2072576,0,15704261.257838327,11193941.761842018,0.0,0.0,0.0,17581489,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.25,5.66,6.38,433080677,1.25,5.59,6.26,427211110
8540.462208027,9.009405557999344,1784052768.5746305,16445,145.9,806584320,194375680,18075648,93074873.8538245,4546525.890415012,,,,,,,,9.2,29655740416,0,1941504,131072,93074873.8538245,3016012.2243347107,0.0,0.0,0.0,17582559,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.2,5.51,6.34,433090628,1.2,5.44,6.22,427220364
8541.463260054,10.01045758500004,1784052769.5756822,16445,1.0,806584320,194375680,18075648,0.0,0.0,,,,,,,,0.3,29655605248,0,2072576,0,0.0,8183.390851866585,0.0,0.0,0.0,17583130,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.2,5.51,6.34,433090628,1.2,5.44,6.22,427220364
8542.464032542,11.011230072999751,1784052770.5764546,16445,2.0,806658048,194383872,18075648,8185.676663008309,0.0,,,,,,,,0.3,29656301568,0,2064384,0,8185.676663008309,0.0,0.0,0.0,0.0,17584207,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.98,5.33,6.3,433092128,0.98,5.26,6.18,427221848
8543.465026597,12.012224127998707,1784052771.5774496,16445,3.0,807034880,194711552,20054016,327354.59153185686,1976403.3463735858,,,,,,,,0.7,29647470592,0,2072576,0,327354.59153185686,1628589.0928709877,0.0,0.0,0.0,17584889,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.98,5.33,6.3,433101297,0.98,5.26,6.18,427230960
8544.466134439,13.013331969999854,1784052772.5785568,16445,3.0,807170048,194768896,20455424,57280.54220949184,400963.7954664429,,,,,,,,0.4,29645598720,0,2072576,0,57280.54220949184,310951.5148515271,0.0,0.0,0.0,17585567,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.8,5.15,6.25,433103003,0.8,5.09,6.14,427232629
8545.466953253,14.014150783999867,1784052773.5793767,16445,47.0,897622016,259571712,24166400,64749797.95893322,3707939.886909392,,,,,,,,3.2,29565870080,0,544768,0,64618833.194715664,4403690.196815128,0.0,0.0,0.0,17586745,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,0.8,5.15,6.25,433124686,0.8,5.09,6.14,427252091
8546.467783095,15.01498062599967,1784052774.580206,16445,71.9,975224832,299569152,34836480,39964275.96531228,10661232.861202097,,,,,,,,4.5,29498552320,0,544768,0,40078868.871306,4829272.466878493,0.0,0.0,0.0,17588232,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.74,5.18,6.25,433261063,1.74,5.12,6.14,427387214
8547.468519576,16.015717106998636,1784052775.5809424,16445,34.0,994099200,307601408,45297664,8026344.7496007625,10453485.206772232,,,,,,,,2.2,29480792064,0,548864,0,8034530.7207885245,5701528.93227632,0.0,0.0,0.0,17589680,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,1.74,5.18,6.25,433389713,1.74,5.12,6.14,427514630
8548.469405105,17.016602635998424,1784052776.5818284,16445,32.0,1021362176,315408384,55668736,7800068.812865864,10361896.24038634,,,,,,,,1.9,29447573504,0,679936,0,7800068.812865864,5610647.6088347845,0.0,0.0,0.0,17591271,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,3.78,5.44,6.3,433526318,3.78,5.37,6.18,427650064
8549.470169953,18.017367483998896,1784052777.5825927,16445,30.0,1042333696,323076096,66170880,7661851.847934196,10494117.59514064,,,,,,,,1.9,29429178368,0,282624,0,7661851.847934196,5930568.016910604,0.0,0.0,0.0,17592632,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,3.78,5.44,6.3,433655946,3.78,5.37,6.18,427778919
8550.47093349,19.018131020999135,1784052778.5833564,16445,30.0,1057013760,330117120,77795328,7035652.0193624105,11615579.07559658,,,,,,,,1.8,29414359040,0,286720,0,7027466.269485316,5942854.410770344,0.0,0.0,0.0,17594028,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,5.45,5.68,6.34,433791007,5.45,5.62,6.23,427912690
8551.471801215,20.018998745999852,1784052779.5842242,16445,36.0,1075888128,338948096,90935296,8823319.784833381,13128576.006375458,,,,,,,,2.3,29381808128,0,0,0,8831504.682592968,6989902.686686185,0.0,0.0,0.0,17595559,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,5.45,5.68,6.34,433915313,5.45,5.62,6.23,428035526
8552.472535599,21.019733129998713,1784052780.5849586,16445,39.0,1092665344,349913088,106352640,10956945.394625796,15406030.058039408,,,,,,,,2.0,29372952576,0,147456,131072,10956945.394625796,8243290.259535433,0.0,0.0,0.0,17597209,0.0,0.0,0.0,0,0.0,0.0,0.0,354048,0.0,0.0,0.0,353561,6.64,5.89,6.38,434043894,6.64,5.83,6.27,428162915
