run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,11.223177092999322,11.365280975000132,11.794444716999351,111.79452272900016,111.89638182499948,221.6477693020006,222.85119191400008
2,13.258843772000546,13.405967610000516,13.843174681000164,113.8432427480002,113.94577741300054,225.6918987829995,227.24566003899963
3,13.39213792299961,13.551405928001259,13.96861911400083,113.96868151700073,114.07110947900037,227.0179193189997,227.32350730399958
4,13.519443094999588,13.675489122999352,14.106810072998996,114.10687039799996,114.20939126699886,226.35357975099942,227.45528589899914
5,12.516709110999727,13.598026403000404,14.027246313000433,114.02730695699938,114.12969229400005,226.67569825400096,227.31221547899986
6,12.982476613999097,13.125919804999285,13.548076936998768,113.54813784499856,113.65064614099902,226.7866677080001,226.9307329459989
7,12.517811226998674,13.658926693000467,14.097860881998713,114.09791874799885,114.20047896199867,226.13652734899915,227.51215506100016
8,10.73532761000024,10.883646615000544,11.311516924000898,111.31157833700127,111.413989304001,201.00212622300023,223.23197494099986
9,10.772597821998716,10.920231430000058,11.353597506998995,111.3536587339986,111.45706197099935,225.8128494019984,226.85673638799926
10,11.27250354699936,11.427189026000633,11.843572223999217,111.8436409549995,111.9460120549993,222.4874852209996,223.05217837999953
