timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784057751,0,82515,1594,,,
1784057752,1,83243,1669,728,75,90.66
1784057753,2,107380,4630,24137,2961,89.07
1784057754,3,126983,7376,19603,2746,87.71
1784057755,4,146727,10003,19744,2627,88.26
1784057756,5,166568,12486,19841,2483,88.88
1784057757,6,186597,14866,20029,2380,89.38
1784057758,7,213412,17840,26815,2974,90.02
1784057759,8,258527,22734,45115,4894,90.21
1784057760,9,306436,27773,47909,5039,90.48
1784057761,10,353609,32863,47173,5090,90.26
1784057763,12,403830,38450,50221,5587,89.99
1784057764,13,452398,43850,48568,5400,89.99
1784057765,14,500857,49292,48459,5442,89.90
1784057766,15,548889,55025,48032,5733,89.34
1784057767,16,597535,60747,48646,5722,89.48
1784057768,17,646786,66593,49251,5846,89.39
1784057769,18,693920,72267,47134,5674,89.26
1784057770,19,741168,78016,47248,5749,89.15
1784057771,20,789174,83748,48006,5732,89.33
1784057772,21,836586,89582,47412,5834,89.04
1784057773,22,885688,95704,49102,6122,88.91
1784057774,23,933350,101710,47662,6006,88.81
1784057775,24,980826,107676,47476,5966,88.84
1784057776,25,1029296,113949,48470,6273,88.54
1784057777,26,1075367,119888,46071,5939,88.58
1784057778,27,1125378,126301,50011,6413,88.63
1784057779,28,1187274,134255,61896,7954,88.61
1784057780,29,1235947,140545,48673,6290,88.56
1784057781,30,1283746,146809,47799,6264,88.41
1784057782,31,1327312,152550,43566,5741,88.36
1784057783,32,1367677,157924,40365,5374,88.25
1784057784,33,1408166,163232,40489,5308,88.41
1784057785,34,1444540,168125,36374,4893,88.14
1784057786,35,1484438,173522,39898,5397,88.08
1784057787,36,1516550,177730,32112,4208,88.41
1784057788,37,1527081,179107,10531,1377,88.44
1784057789,38,1537298,180416,10217,1309,88.64
1784057790,39,1544898,181450,7600,1034,88.02
1784057791,40,1550919,182192,6021,742,89.03
1784057792,41,1556028,182848,5109,656,88.62
1784057793,42,1561078,183534,5050,686,88.04
1784057794,43,1566208,184220,5130,686,88.20
1784057795,44,1571117,184792,4909,572,89.56
1784057796,45,1576225,185459,5108,667,88.45
1784057797,46,1581226,186053,5001,594,89.38
1784057798,47,1595197,187839,13971,1786,88.67
1784057799,48,1613104,190265,17907,2426,88.07
1784057800,49,1630256,192541,17152,2276,88.28
1784057801,50,1648381,194933,18125,2392,88.34
1784057802,51,1666312,197386,17931,2453,87.97
1784057803,52,1685134,199888,18822,2502,88.27
1784057804,53,1703663,202345,18529,2457,88.29
1784057805,54,1721701,204813,18038,2468,87.96
1784057806,55,1739440,207200,17739,2387,88.14
1784057807,56,1757498,209623,18058,2423,88.17
1784057808,57,1775312,212083,17814,2460,87.87
1784057809,58,1793033,214472,17721,2389,88.12
