timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 21:24:03:862,1,1372,1372.0,10570.62,35999,30175,35871,35999
2026-07-14 21:24:04:862,2,3003,1631.0,9812.67,24607,17967,22031,24607
2026-07-14 21:24:05:862,3,4677,1674.0,9589.21,25663,18223,22399,25663
2026-07-14 21:24:06:862,4,6527,1850.0,8606.84,33887,17679,22959,33887
2026-07-14 21:24:07:862,5,8400,1873.0,8503.89,34783,17743,19615,34783
2026-07-14 21:24:08:862,6,12084,3684.0,4378.5,40319,14751,39423,40319
2026-07-14 21:24:09:862,7,16518,4434.0,3610.59,35135,15791,33375,35135
2026-07-14 21:24:10:862,8,21060,4542.0,3488.58,28015,14911,23919,28015
2026-07-14 21:24:11:862,9,26038,4978.0,3232.09,23087,14423,20127,23087
2026-07-14 21:24:12:862,10,30950,4912.0,3259.4,22623,13895,18703,22623
2026-07-14 21:24:13:862,11,35976,5026.0,3170.0,24751,13999,20671,24671
2026-07-14 21:24:14:862,12,41238,5262.0,3054.19,20015,12255,19087,20015
2026-07-14 21:24:15:862,13,46126,4888.0,3268.56,23055,14351,22895,23055
2026-07-14 21:24:16:862,14,51386,5260.0,3041.41,20863,11623,16735,18367
2026-07-14 21:24:17:862,15,56449,5063.0,3157.47,24783,12767,21967,23023
2026-07-14 21:24:18:862,16,61517,5068.0,3150.43,23695,14527,18367,23487
2026-07-14 21:24:19:862,17,66981,5464.0,2930.73,17503,11255,16447,17439
2026-07-14 21:24:20:862,18,71929,4948.0,3226.13,20207,14991,19455,20207
2026-07-14 21:24:21:862,19,77277,5348.0,2993.66,21839,12951,17599,17663
2026-07-14 21:24:22:862,20,82501,5224.0,3055.26,18319,13191,17855,18303
2026-07-14 21:24:23:862,21,87679,5178.0,3057.85,26127,12255,20799,24319
2026-07-14 21:24:24:862,22,93248,5569.0,2904.53,20095,10783,19007,19087
2026-07-14 21:24:25:862,23,98501,5253.0,3037.48,22271,14039,18367,19151
2026-07-14 21:24:26:862,24,103802,5301.0,3023.71,41087,12231,40255,41055
2026-07-14 21:24:28:827,25,109381,2840.63,2865.35,18607,11007,16495,17263
2026-07-14 21:24:29:827,26,114428,5047.0,3161.05,26783,14351,22047,25199
2026-07-14 21:24:30:827,27,120100,5672.0,2816.81,18527,9871,16399,17199
2026-07-14 21:24:31:827,28,125171,5071.0,3165.28,21775,14095,17183,18671
2026-07-14 21:24:32:827,29,130764,5593.0,2857.24,25231,11199,16543,22127
2026-07-14 21:24:33:827,30,135886,5122.0,3126.06,40479,15759,21455,38559
2026-07-14 21:24:34:827,31,140514,4628.0,3435.81,39039,17599,31727,39039
2026-07-14 21:24:35:827,32,141665,1151.0,13887.36,68799,23471,56959,68799
2026-07-14 21:24:36:827,33,142819,1154.0,13864.41,81023,32895,79743,81023
2026-07-14 21:24:37:827,34,143998,1179.0,13631.23,43903,25135,34751,43903
2026-07-14 21:24:38:827,35,145143,1143.86,13807.08,53535,27775,47775,53535
2026-07-14 21:24:39:827,36,146226,1084.08,14716.01,50623,44511,44895,50623
2026-07-14 21:24:40:827,37,146794,568.0,28397.33,80127,38079,53663,80127
2026-07-14 21:24:41:827,38,147377,583.0,27216.66,63967,50687,60127,63967
2026-07-14 21:24:42:827,39,147919,542.0,29779.41,105215,56095,80063,105215
2026-07-14 21:24:43:827,40,148488,569.0,27973.33,103167,53023,90431,103167
2026-07-14 21:24:44:827,41,150284,1796.0,8846.23,71743,37503,46655,71743
2026-07-14 21:24:45:827,42,152461,2177.0,7431.84,71231,24207,58687,71231
2026-07-14 21:24:46:827,43,154603,2142.0,7515.31,35679,26911,32655,35679
2026-07-14 21:24:47:827,44,156689,2086.0,7651.27,27951,22367,25439,27951
2026-07-14 21:24:48:827,45,158711,2022.0,7928.74,42623,27087,38591,42623
2026-07-14 21:24:49:827,46,160788,2077.0,7668.26,41503,25295,35199,41503
2026-07-14 21:24:50:827,47,162901,2113.0,7586.48,45087,24351,31471,45087
2026-07-14 21:24:51:827,48,165141,2240.0,7128.87,34751,23279,28927,34751
2026-07-14 21:24:52:827,49,167330,2189.0,7336.24,39839,24447,34591,39839
2026-07-14 21:24:53:827,50,169522,2192.0,7283.02,38111,25247,33087,38111
2026-07-14 21:24:54:827,51,171610,2088.0,7689.4,44255,23503,28831,44255
2026-07-14 21:24:55:827,52,173638,2028.0,7732.67,61951,25215,50719,61951
2026-07-14 21:24:56:827,53,175682,2044.0,7921.41,49919,30463,37887,49919
2026-07-14 21:24:57:827,54,177740,2058.0,7813.88,38143,28191,37183,38143
2026-07-14 21:24:58:827,55,180015,2275.0,7049.32,25903,20607,25791,25903
2026-07-14 21:24:59:827,56,182232,2217.0,7200.21,31423,26783,29631,31423
2026-07-14 21:25:00:827,57,184395,2163.0,7396.92,49727,23855,35359,49727
2026-07-14 21:25:01:827,58,186510,2115.0,7558.42,42623,23871,41055,42623
2026-07-14 21:25:02:827,59,188563,2053.0,7774.12,38719,24431,30559,38719
2026-07-14 21:25:03:827,60,190553,1990.0,8070.07,29295,22815,29215,29295
2026-07-14 21:25:04:827,61,192700,2147.0,7452.84,44511,27279,35327,44511
2026-07-14 21:25:05:827,62,194857,2157.0,7401.12,45887,24927,30479,45887
2026-07-14 21:25:06:827,63,197140,2283.0,7018.31,35263,22847,30511,35263
2026-07-14 21:25:07:827,64,199339,2199.0,7229.96,28607,22255,27135,28607
2026-07-14 21:25:08:827,65,201506,2167.0,7418.69,54815,27695,42623,54815
2026-07-14 21:25:09:827,66,203387,1881.0,8472.98,36895,26175,29583,36895
2026-07-14 21:25:10:827,67,205150,1763.0,9069.98,50239,29295,38975,50239
2026-07-14 21:25:11:827,68,207315,2165.0,7437.23,40095,22863,37343,40095
2026-07-14 21:25:12:827,69,209575,2260.0,7059.26,48351,24383,36255,48351
2026-07-14 21:25:13:827,70,211788,2213.0,7223.5,43327,24383,33151,43327
2026-07-14 21:25:14:827,71,214016,2228.0,7172.04,46591,23855,29103,46591
2026-07-14 21:25:15:827,72,215187,1171.0,13404.35,75775,36543,67455,75775
2026-07-14 21:25:16:827,73,215776,589.0,27692.28,70527,53951,70079,70527
2026-07-14 21:25:17:827,74,216384,608.0,26144.1,57279,41407,46687,57279
2026-07-14 21:25:18:827,75,216987,603.0,26440.72,81023,55583,80319,81023
2026-07-14 21:25:19:827,76,217587,600.0,26513.59,85951,60767,83199,85951
2026-07-14 21:25:20:827,77,218198,611.0,26379.22,64191,52575,60607,64191
