t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
12563.467435155,0.0013192179994803155,1784056791.5798569,,,,,,,,,,,,,,,0.0,30459752448,0,1282048,0,0.0,0.0,0.15,0.04,0.0,25982219,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,3.51,6.35,8.12,770561077,3.27,6.17,7.91,758364935
12564.468135243,1.002019305999056,1784056792.5805573,23282,0.0,59981824,3125248,0,,,,,,,,,,6.3,30413557760,0,1290240,0,3123061.5820644605,0.0,0.12,0.04,0.0,25983613,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,2.87,6.14,8.07,770561197,2.67,5.97,7.85,758365051
12565.469140599,2.0030246619990066,1784056793.5815625,23282,100.9,59990016,3125248,0,0.0,0.0,,,,,,,,6.6,30411710464,0,1290240,0,0.0,0.0,0.12,0.04,0.0,25984494,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,2.87,6.14,8.07,770561197,2.67,5.97,7.85,758365051
12566.469842324,3.003726386999915,1784056794.5822644,23282,99.9,59998208,3125248,0,0.0,0.0,,,,,,,,6.6,30411829248,0,2699264,0,0.0,0.0,0.1,0.04,0.0,25984909,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,2.35,5.94,8.01,770561197,2.19,5.78,7.8,758365051
12567.470822428,4.004706490999524,1784056795.5832446,23282,98.9,60006400,3125248,0,0.0,0.0,,,,,,,,6.5,30411886592,0,2711552,0,0.0,0.0,0.1,0.04,0.0,25985137,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,2.35,5.94,8.01,770561197,2.19,5.78,7.8,758365051
12568.471815065,5.005699127999833,1784056796.5842373,23282,99.9,60014592,3125248,0,0.0,0.0,,,,,,,,6.8,30391287808,0,2867200,0,0.0,0.0,0.08,0.04,0.0,25986003,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.92,5.75,7.96,770561197,1.79,5.59,7.75,758365051
12569.472687587,6.006571649999387,1784056797.585111,23282,119.9,550825984,33652736,0,30500875.315281764,0.0,,,,,,,,7.5,29902499840,0,2875392,0,30500875.315281764,45016.72191977719,0.08,0.04,0.0,25987789,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.92,5.75,7.96,770564762,1.79,5.59,7.75,758368494
12570.473707019,7.007591081999635,1784056798.5861301,23282,38.0,593813504,86020096,733184,52314029.40436326,732437.3299476749,,,,,,,,2.5,29868482560,0,2883584,0,52314029.40436326,756988.3019012283,0.06,0.04,0.0,25988547,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.57,5.56,7.9,770576491,1.46,5.4,7.69,758380199
12571.47446767,8.008351732998563,1784056799.58689,23282,31.0,635072512,102227968,14000128,16195552.836556694,13256860.156079639,,,,,,,,2.1,29822676992,0,2904064,0,16195552.836556694,11063072.862575876,0.06,0.04,0.0,25989447,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.57,5.56,7.9,770589038,1.46,5.4,7.69,758392371
12572.475325972,9.009210034999342,1784056800.587748,23282,143.9,793395200,194379776,17620992,92072781.74720907,3617758.8703232654,,,,,,,,9.2,29661310976,0,2904064,0,92072781.74720907,2819723.8253990156,0.05,0.03,0.0,25990761,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.47,5.41,7.85,770599511,1.38,5.26,7.65,758402704
12573.475943131,10.009827193998717,1784056801.588365,23282,2.0,793460736,196034560,17620992,1653763.3650564179,0.0,,,,,,,,0.4,29662502912,0,2904064,0,1653763.3650564179,0.0,0.05,0.03,0.0,25991034,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.47,5.41,7.85,770606009,1.38,5.26,7.65,758409114
12574.476463994,11.010348056999646,1784056802.588886,23282,2.0,793534464,196042752,17620992,8187.735311614778,0.0,,,,,,,,0.3,29662670848,0,2904064,0,8187.735311614778,0.0,0.04,0.03,0.0,25991507,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.2,5.23,7.8,770607587,1.13,5.09,7.59,758410680
12575.477143039,12.01102710199848,1784056803.5895653,23282,3.0,793706496,196399104,19869696,356110.1851597338,2247178.0649734926,,,,,,,,0.6,29662560256,0,2904064,0,356110.1851597338,1813296.6899512883,0.04,0.03,0.0,25991856,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,1.2,5.23,7.8,770616129,1.13,5.09,7.59,758419083
12576.477866056,13.011750118999771,1784056804.5902882,23282,21.0,811540480,206929920,21286912,10523207.542038985,1416192.0690569773,,,,,,,,1.4,29643575296,0,3153920,0,10523207.542038985,1186981.7919841716,0.03,0.03,0.0,25993121,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.98,5.06,7.75,770624264,0.92,4.92,7.54,758425858
12577.478628464,14.012512526998762,1784056805.5910516,23282,95.9,992043008,299302912,27803648,92302619.74437906,6511771.373417307,,,,,,,,6.2,29474217984,0,2908160,0,92302619.74437906,4432588.559026362,0.03,0.03,0.0,25995212,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.98,5.06,7.75,770697916,0.92,4.92,7.54,758496160
12578.479575503,15.013459566000165,1784056806.5919988,23282,70.9,1050783744,327401472,44310528,28071974.745070018,16491262.131579034,,,,,,,,4.3,29392883712,0,2908160,0,28071974.745070018,12043122.693110943,0.02,0.03,0.0,25997275,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,3.52,5.39,7.8,770992858,3.29,5.22,7.59,758787649
12579.480526816,16.014410878999115,1784056807.5929494,23282,59.9,1113698304,352411648,60776448,24986406.107073296,16450270.643700402,,,,,,,,4.2,29339566080,0,2842624,0,24978221.8928227,11969413.341498427,0.02,0.03,0.0,25999191,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,3.52,5.39,7.8,771264858,3.29,5.22,7.59,759056683
12580.481293904,17.015177966999545,1784056808.593717,23282,71.9,1185001472,376602624,76660736,24172433.616231803,15872112.692811875,,,,,,,,4.3,29275942912,0,2908160,0,24115133.570409376,11693302.208190698,0.02,0.03,0.0,26001236,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,7.59,6.06,7.92,771518122,7.4,5.9,7.71,759305789
12581.482170663,18.0160547259984,1784056809.5945935,23282,72.9,1235333120,400273408,92274688,23650048.607060365,15600274.319106093,,,,,,,,4.9,29229875200,0,2904064,0,23715527.198116425,11471030.670633363,0.02,0.03,0.0,26003038,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,7.59,6.06,7.92,771784053,7.4,5.9,7.71,759568259
12582.482901908,19.01678597099999,1784056810.595325,23282,81.9,1304563712,443260928,120037376,42956108.56032755,27742401.50756552,,,,,,,,4.7,29167648768,0,2904064,0,42931550.518273056,20088478.400580052,0.01,0.03,0.0,26005631,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,10.75,6.68,8.04,772027468,10.59,6.52,7.83,759807391
12583.483650885,20.017534947999593,1784056811.5960734,23282,104.9,1377312768,535158784,194224128,91829078.13258398,74131229.41421647,,,,,,,,6.2,29092229120,0,2994176,0,91853635.73950122,62785615.01844527,0.01,0.03,0.0,26009007,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,10.75,6.68,8.04,772238385,10.59,6.52,7.83,760010495
12584.484507772,21.01839183499942,1784056812.5969305,23282,104.9,1444962304,610086912,271990784,74863978.03047034,77700075.81514841,,,,,,,,6.5,29023072256,0,2920448,0,74831238.08490407,66548031.85663797,0.01,0.02,0.0,26012804,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,12.42,7.12,8.12,772425340,12.11,6.93,7.91,760189806
12585.485269075,22.019153137998728,1784056813.597692,23282,93.9,1491173376,665690112,339509248,55560901.31918144,67467101.09358284,,,,,,,,5.9,28968542208,0,2887680,0,55577272.85548176,56399942.554572396,0.01,0.02,0.0,26015936,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,12.42,7.12,8.12,772587173,12.11,6.93,7.91,760345740
12586.486015661,23.019899723998606,1784056814.5984387,23282,99.9,1531138048,712007680,418480128,46283013.74990219,78911965.43138611,,,,,,,,6.2,28922257408,0,2502656,0,46258456.08431151,65515758.85167,0.01,0.02,0.0,26019320,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,12.89,7.37,8.17,772739148,12.64,7.19,7.96,760492363
12587.486761559,24.020645621998483,1784056815.5991843,23282,93.9,1569185792,759869440,496230400,47826086.617649935,77692321.4528225,,,,,,,,5.9,28864282624,0,2457600,0,47867016.08843954,64234711.45720138,0.01,0.02,0.0,26022498,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,12.89,7.37,8.17,772897320,12.64,7.19,7.96,760645961
12588.487673817,25.02155787999982,1784056816.6000967,23282,96.9,1609150464,806785024,572833792,46872823.89135992,76533573.6350806,,,,,,,,6.1,28841832448,0,2461696,0,46872823.89135992,61547692.624939166,0.01,0.02,0.0,26025810,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,13.27,7.62,8.21,773054325,13.06,7.45,8.0,760797606
