run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,11.143880102001276,11.29085740499977,11.717080375001387,111.71712465200108,111.81950350400075,213.720239581,213.03432167200117
2,10.997778168999503,11.135763493999548,11.537590285000988,111.53765628200017,111.64070922800056,213.50365699600115,213.21057533100065
3,13.436264259000382,13.576315031999911,13.979419932999008,113.97949536600026,114.08215294799993,215.95373933799965,215.34355449599934
4,13.472721247999289,13.614268408000498,14.02127523099989,114.02133663399945,114.12393735899968,216.18859628800055,215.56519568399926
5,13.365183448999232,13.506473018998804,13.906881281998722,113.90695151,114.00987882299887,216.68689340199853,215.48246405499958
6,11.24835071599955,11.384326905999842,11.79833447999954,111.79841596400001,111.90123500199843,214.1809009789995,213.084834588999
7,12.510783761999846,13.641832074999911,14.042401613000038,114.04247647400007,114.14517191200139,216.6705782980007,215.57546994800032
8,13.482840734001002,13.627524568000808,14.025600330000088,114.02566472400031,114.12837019300059,216.2456376099999,215.43523574400024
9,13.163880676998815,13.305450644998928,13.705189583999527,113.7052640059992,113.80775238199931,216.28796062499896,215.2230047739995
10,13.411749392000274,13.55265775800035,13.95443287300077,113.95451128000059,114.05725441700088,216.18934401300066,215.46632363400022
