timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784059579,1,82515,1594,,,
1784059580,2,83243,1669,728,75,90.66
1784059581,3,259170,67789,175927,66120,72.68
1784059582,4,543006,170056,283836,102267,73.51
1784059583,5,835073,275592,292067,105536,73.46
1784059584,6,1134762,384166,299689,108574,73.41
1784059585,7,1441732,494171,306970,110005,73.62
1784059586,8,1830661,635085,388929,140914,73.40
1784059587,9,2314276,810509,483615,175424,73.38
1784059588,10,2825507,995525,511231,185016,73.43
1784059589,11,3342678,1182253,517171,186728,73.47
1784059590,12,3862513,1369725,519835,187472,73.49
1784059591,13,4386417,1559108,523904,189383,73.45
1784059592,14,4911253,1748967,524836,189859,73.43
1784059593,15,5434499,1937468,523246,188501,73.52
1784059594,16,5958071,2125843,523572,188375,73.54
1784059595,17,7004618,2503267,1046547,377424,73.49
1784059596,18,7529937,2693399,525319,190132,73.42
1784059597,19,8054249,2883106,524312,189707,73.43
1784059598,20,8576768,3072050,522519,188944,73.44
1784059599,21,9101882,3261683,525114,189633,73.47
1784059600,22,9624918,3451546,523036,189863,73.37
1784059601,23,10150066,3641161,525148,189615,73.47
1784059602,24,10676416,3830974,526350,189813,73.50
1784059603,25,11199844,4020549,523428,189575,73.41
1784059604,26,11720265,4208503,520421,187954,73.47
1784059605,27,12243953,4397838,523688,189335,73.45
1784059606,28,12769840,4587174,525887,189336,73.53
1784059607,29,13296009,4777504,526169,190330,73.44
1784059608,30,13822153,4967859,526144,190355,73.43
1784059609,31,14348384,5157663,526231,189804,73.49
1784059610,32,14868171,5345123,519787,187460,73.49
1784059611,33,15394566,5534455,526395,189332,73.55
1784059612,34,15920357,5723851,525791,189396,73.52
1784059613,35,16446623,5914012,526266,190161,73.46
1784059614,36,16969645,6102289,523022,188277,73.53
1784059615,37,17496920,6292489,527275,190200,73.49
1784059616,38,18023340,6483504,526420,191015,73.38
1784059617,39,18549844,6673451,526504,189947,73.49
1784059618,40,19075876,6862626,526032,189175,73.55
1784059619,41,19602671,7053286,526795,190660,73.43
1784059620,42,20130617,7243339,527946,190053,73.53
1784059621,43,20657462,7433197,526845,189858,73.51
1784059622,44,21184912,7622882,527450,189685,73.55
1784059623,45,21712448,7812865,527536,189983,73.52
1784059624,46,22239932,8002456,527484,189591,73.56
1784059625,47,22766976,8192899,527044,190443,73.46
1784059626,48,23293439,8383871,526463,190972,73.38
1784059627,49,23821647,8573730,528208,189859,73.56
1784059628,50,24349955,8763781,528308,190051,73.54
1784059629,51,24877080,8954299,527125,190518,73.45
1784059630,52,25404616,9144866,527536,190567,73.46
1784059631,53,25932739,9335754,528123,190888,73.45
1784059633,55,26461349,9525579,528610,189825,73.58
1784059634,56,26988880,9716500,527531,190921,73.43
1784059635,57,27516583,9907044,527703,190544,73.47
1784059636,58,28045520,10096974,528937,189930,73.58
1784059637,59,28574601,10288060,529081,191086,73.47
1784059638,60,29102854,10478874,528253,190814,73.46
1784059639,61,29631018,10669477,528164,190603,73.48
1784059640,62,30155530,10859072,524512,189595,73.45
1784059641,63,30682749,11048260,527219,189188,73.59
1784059642,64,31203900,11236416,521151,188156,73.47
1784059643,65,31732555,11427324,528655,190908,73.47
1784059644,66,32260572,11618406,528017,191082,73.43
1784059645,67,32785986,11808143,525414,189737,73.47
1784059646,68,33310642,11997650,524656,189507,73.46
1784059647,69,33844027,12189812,533385,192162,73.51
1784059648,70,34378386,12382444,534359,192632,73.50
1784059649,71,34908480,12574245,530094,191801,73.43
1784059650,72,35438127,12766101,529647,191856,73.41
1784059651,73,35969723,12957780,531596,191679,73.50
1784059652,74,36501486,13149800,531763,192020,73.47
1784059653,75,37030346,13340983,528860,191183,73.45
1784059654,76,37560001,13532387,529655,191404,73.46
1784059655,77,38088354,13723213,528353,190826,73.47
1784059656,78,39149609,14106337,1061255,383124,73.47
1784059657,79,39680870,14298379,531261,192042,73.45
1784059658,80,40208884,14489456,528014,191077,73.43
1784059659,81,40738940,14680835,530056,191379,73.47
1784059660,82,41268385,14872577,529445,191742,73.41
1784059661,83,41797874,15064387,529489,191810,73.41
1784059662,84,42329040,15255668,531166,191281,73.52
1784059663,85,42859325,15447214,530285,191546,73.46
1784059664,86,43389400,15638746,530075,191532,73.46
1784059665,87,43919061,15829928,529661,191182,73.48
1784059666,88,44447275,16020617,528214,190689,73.48
1784059667,89,44976650,16211493,529375,190876,73.50
1784059668,90,45506068,16402962,529418,191469,73.44
1784059669,91,46034606,16594091,528538,191129,73.44
1784059670,92,46565564,16785460,530958,191369,73.51
1784059671,93,47088919,16974588,523355,189128,73.46
