timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-14 22:06:19:812,1,53718,53718.0,265.9,19055,1253,4923,18895
2026-07-14 22:06:20:812,2,149956,96238.0,165.13,10143,544,4171,7195
2026-07-14 22:06:21:812,3,248658,98702.0,161.13,9031,613,4463,7943
2026-07-14 22:06:22:812,4,351392,102734.0,154.86,7595,766,3101,6091
2026-07-14 22:06:23:812,5,454251,102859.0,154.64,9279,1092,4543,6883
2026-07-14 22:06:24:812,6,585047,130796.0,121.6,9711,743,3223,7487
2026-07-14 22:06:25:812,7,748782,163735.0,96.95,33183,229,721,4093
2026-07-14 22:06:26:812,8,922213,173431.0,91.54,6099,190,615,2649
2026-07-14 22:06:27:812,9,1097984,175771.0,90.22,9007,172,562,3703
2026-07-14 22:06:28:812,10,1274754,176770.0,89.8,7195,164,544,3553
2026-07-14 22:06:29:812,11,1452801,178047.0,89.11,7003,162,505,1676
2026-07-14 22:06:30:812,12,1631287,178486.0,88.87,6719,160,459,1753
2026-07-14 22:06:31:812,13,1809414,178127.0,89.07,5387,161,464,1381
2026-07-14 22:06:32:812,14,1987421,178007.0,89.15,3069,164,471,1348
2026-07-14 22:06:33:812,15,2164804,177383.0,89.47,26271,174,575,2981
2026-07-14 22:06:34:812,16,2343306,178502.0,88.9,2951,166,530,1319
2026-07-14 22:06:35:812,17,2521632,178326.0,88.96,6675,172,529,1351
2026-07-14 22:06:36:812,18,2700226,178594.0,88.87,1912,159,460,1217
2026-07-14 22:06:37:812,19,2877935,177709.0,89.26,4419,181,556,1870
2026-07-14 22:06:38:812,20,3056406,178471.0,88.9,2957,158,479,1373
2026-07-14 22:06:39:812,21,3234637,178231.0,89.02,6767,160,523,2022
2026-07-14 22:06:40:812,22,3413185,178548.0,88.87,6687,158,521,1207
2026-07-14 22:06:41:812,23,3592214,179029.0,88.65,2835,165,490,1262
2026-07-14 22:06:42:812,24,3770234,178020.0,89.09,13647,164,514,1337
2026-07-14 22:06:43:812,25,3947834,177600.0,89.35,5683,195,519,1542
2026-07-14 22:06:44:812,26,4125656,177822.0,89.22,5603,175,579,2291
2026-07-14 22:06:45:812,27,4304658,179002.0,88.68,6955,158,493,1923
2026-07-14 22:06:46:812,28,4483233,178575.0,88.81,10359,158,457,1401
2026-07-14 22:06:47:812,29,4662231,178998.0,88.63,5427,160,445,1207
2026-07-14 22:06:48:812,30,4841399,179168.0,88.54,2835,158,448,1220
2026-07-14 22:06:49:812,31,5017955,176556.0,89.86,16655,183,490,2503
2026-07-14 22:06:50:812,32,5196774,178819.0,88.73,10343,161,533,1354
2026-07-14 22:06:51:812,33,5375439,178665.0,88.79,10599,160,476,1277
2026-07-14 22:06:52:813,34,5554586,179147.0,88.62,10383,158,444,1205
2026-07-14 22:06:53:812,35,5732195,177609.0,89.28,10543,192,523,1132
2026-07-14 22:06:54:812,36,5911630,179435.0,88.45,2191,157,491,1287
2026-07-14 22:06:55:812,37,6090686,179056.0,88.57,4183,158,506,1201
2026-07-14 22:06:56:812,38,6269741,179055.0,88.61,2803,174,532,1150
2026-07-14 22:06:57:812,39,6448655,178914.0,88.68,10863,161,532,1206
2026-07-14 22:06:58:812,40,6627741,179086.0,88.6,4051,157,472,1244
2026-07-14 22:06:59:812,41,6807190,179449.0,88.41,2523,159,463,1231
2026-07-14 22:07:00:812,42,6986335,179145.0,88.57,8055,167,505,1041
2026-07-14 22:07:01:812,43,7165563,179228.0,88.54,2719,179,542,1127
2026-07-14 22:07:02:812,44,7344919,179356.0,88.4,3661,157,495,1639
2026-07-14 22:07:03:812,45,7523918,178999.0,88.63,6691,158,493,1480
2026-07-14 22:07:04:812,46,7703191,179273.0,88.5,2711,157,491,1100
2026-07-14 22:07:05:813,47,7882553,179362.0,88.5,13303,159,522,1141
2026-07-14 22:07:06:812,48,8061845,179292.0,88.44,2205,157,498,1136
2026-07-14 22:07:07:812,49,8241369,179524.0,88.37,2049,156,498,1090
2026-07-14 22:07:08:812,50,8420876,179507.0,88.39,2779,162,479,1139
2026-07-14 22:07:09:812,51,8600255,179379.0,88.47,3345,163,504,1264
2026-07-14 22:07:10:812,52,8779855,179600.0,88.31,3255,157,440,1148
2026-07-14 22:07:11:812,53,8959393,179538.0,88.37,3055,161,541,942
2026-07-14 22:07:12:812,54,9139004,179611.0,88.33,3375,161,481,1083
2026-07-14 22:07:13:812,55,9318444,179440.0,88.41,3925,170,460,1533
2026-07-14 22:07:14:812,56,9497997,179553.0,88.36,2503,156,465,1250
2026-07-14 22:07:15:812,57,9677899,179902.0,88.18,3081,156,443,1115
2026-07-14 22:07:16:812,58,9857652,179753.0,88.26,2075,155,438,997
2026-07-14 22:07:17:812,59,10037381,179729.0,88.3,2661,161,480,1136
2026-07-14 22:07:18:812,60,10215810,178429.0,88.88,2805,175,538,1162
2026-07-14 22:07:19:812,61,10394596,178786.0,88.72,2421,157,561,1051
2026-07-14 22:07:20:812,62,10571865,177269.0,89.5,3291,186,510,1215
2026-07-14 22:07:21:812,63,10751692,179827.0,88.25,2817,157,405,1161
2026-07-14 22:07:22:812,64,10931408,179716.0,88.26,2749,156,450,1045
2026-07-14 22:07:23:812,65,11110340,178932.0,88.66,2123,157,492,1123
2026-07-14 22:07:24:812,66,11288517,178177.0,89.06,8183,163,504,2445
2026-07-14 22:07:25:812,67,11469614,181097.0,87.57,2819,159,440,1124
2026-07-14 22:07:26:812,68,11651408,181794.0,87.26,3081,156,448,1123
2026-07-14 22:07:27:812,69,11831840,180432.0,87.93,2175,155,459,1144
2026-07-14 22:07:28:812,70,12012172,180332.0,87.99,2799,156,468,963
2026-07-14 22:07:29:812,71,12192875,180703.0,87.78,2757,155,448,998
2026-07-14 22:07:30:812,72,12373742,180867.0,87.73,2811,155,430,950
2026-07-14 22:07:31:812,73,12554004,180262.0,88.03,2773,161,441,664
2026-07-14 22:07:32:812,74,12734310,180306.0,87.96,2181,157,454,755
2026-07-14 22:07:33:812,75,12913897,179587.0,88.35,3899,178,488,1237
2026-07-14 22:07:34:812,76,13094039,180142.0,88.07,2779,163,478,1045
2026-07-14 22:07:35:812,77,13274677,180638.0,87.82,2797,156,452,960
2026-07-14 22:07:36:812,78,13455270,180593.0,87.85,2585,159,456,1104
2026-07-14 22:07:37:812,79,13634969,179699.0,88.3,2004,157,519,950
2026-07-14 22:07:38:812,80,13815150,180181.0,88.04,2339,159,501,1032
2026-07-14 22:07:39:812,81,13995442,180292.0,88.0,1921,174,470,947
2026-07-14 22:07:40:812,82,14175632,180190.0,88.04,1661,161,472,864
2026-07-14 22:07:41:812,83,14356149,180517.0,87.89,4535,157,481,913
2026-07-14 22:07:42:812,84,14536539,180390.0,87.95,2883,157,489,1154
2026-07-14 22:07:43:812,85,14717045,180506.0,87.92,2505,156,459,1169
2026-07-14 22:07:44:812,86,14897023,179978.0,88.12,7515,160,500,1231
2026-07-14 22:07:45:812,87,15076680,179657.0,88.3,2147,157,533,930
2026-07-14 22:07:46:812,88,15256604,179924.0,88.18,2845,157,518,1168
2026-07-14 22:07:47:812,89,15436723,180119.0,88.06,2321,156,449,945
2026-07-14 22:07:48:812,90,15616666,179943.0,88.16,2887,156,447,1044
2026-07-14 22:07:49:812,91,15797101,180435.0,87.96,2125,170,485,829
2026-07-14 22:07:50:812,92,15975041,177940.0,89.14,2351,180,527,865
2026-07-14 22:07:51:812,93,16155214,180173.0,88.06,3073,175,489,854
2026-07-14 22:07:52:812,94,16334634,179420.0,88.43,2677,158,480,926
2026-07-14 22:07:53:812,95,16513894,179260.0,88.51,2225,172,459,985
2026-07-14 22:07:54:812,96,16692796,178902.0,88.7,3007,162,477,1048
2026-07-14 22:07:55:812,97,16872987,180191.0,88.01,2735,160,466,1025
2026-07-14 22:07:56:812,98,17053894,180907.0,87.69,3369,158,423,1127
2026-07-14 22:07:57:812,99,17234498,180604.0,87.85,2799,155,428,1166
2026-07-14 22:07:58:812,100,17414406,179908.0,88.15,4279,161,458,1148
2026-07-14 22:07:59:813,101,17576465,162059.0,98.14,5915,192,637,2547
2026-07-14 22:08:00:813,102,17735225,158760.0,100.0,2875,191,537,1555
2026-07-14 22:08:01:812,103,17892464,157239.0,100.84,6355,193,671,2555
2026-07-14 22:08:02:812,104,18052099,159635.0,99.45,2755,184,562,1347
2026-07-14 22:08:03:812,105,18210441,158342.0,100.27,6003,208,629,2749
2026-07-14 22:08:04:812,106,18370599,160158.0,99.12,3015,176,487,1176
2026-07-14 22:08:05:812,107,18529023,158424.0,100.22,4819,187,636,2445
2026-07-14 22:08:06:813,108,18689060,160037.0,99.24,3059,190,525,941
2026-07-14 22:08:07:812,109,18847069,158009.0,100.42,3193,208,623,1791
2026-07-14 22:08:08:812,110,19006287,159218.0,99.7,2073,188,572,1162
2026-07-14 22:08:09:812,111,19165357,159070.0,99.79,3587,181,604,1785
2026-07-14 22:08:10:812,112,19323895,158538.0,100.13,6159,212,571,1734
2026-07-14 22:08:11:812,113,19483343,159448.0,99.56,2969,193,544,1138
2026-07-14 22:08:12:812,114,19640057,156714.0,101.31,5967,187,665,2457
2026-07-14 22:08:13:812,115,19799028,158971.0,99.86,2995,182,618,1346
2026-07-14 22:08:14:812,116,19957192,158164.0,100.35,6011,189,658,1955
2026-07-14 22:08:15:812,117,20116187,158995.0,99.85,3161,183,603,1136
2026-07-14 22:08:16:812,118,20273792,157605.0,100.72,5179,185,649,2085
2026-07-14 22:08:17:812,119,20433648,159856.0,99.31,2337,197,546,1266
2026-07-14 22:08:18:812,120,20591471,157823.0,100.58,4567,184,651,3005
2026-07-14 22:08:19:812,121,20750979,159508.0,99.53,3819,198,571,960
