t_monotonic,t_since_run_start,timestamp_unix,event,details
15794.156890889,0.00032989700048347004,1784060022.2693133,run_start,
15794.157614863,0.0010538709993852535,1784060022.2700367,source_vm_started,pid=28509
15794.259017269,0.10245627699987381,1784060022.3714395,source_qmp_ready,
15807.568311194,13.411750201999894,1784060035.6807332,source_ssh_ready,
15807.70921978,13.552658787999462,1784060035.8216417,source_postgres_ready,
15808.110975855,13.954414862999329,1784060036.223398,benchmark_start,
15908.111074732,113.95451374000004,1784060136.2234974,destination_boot_start,
15908.111453609,113.95489261700095,1784060136.2238755,destination_process_started,pid=28688
15908.213101876,114.05654088399933,1784060136.3255239,destination_qmp_ready,
15908.215858581,114.05929758899947,1784060136.3282802,migration_started,
16009.767642922,215.61108192999927,1784060237.8800652,benchmark_end,
16010.346395091,216.18983409900102,1784060238.4588175,migration_end,
16011.769386015,217.61282502299946,1784060239.8818078,source_terminate_requested,pid=28509
16011.833192645,217.67663165299928,1784060239.9456148,source_terminated,pid=28509
