t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
15566.025356769,0.0008625119990028907,1784059794.1377788,,,,,,,,,,,,,,,0.0,30444920832,0,946176,0,0.0,0.0,0.0,0.0,0.0,30673273,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.43,894394780,0.0,0.05,0.37,878109692
15567.02649256,1.0019983029997093,1784059795.138915,28170,0.0,59904000,3125248,0,,,,,,,,,,6.5,30410502144,0,946176,0,3121702.39850889,0.0,0.0,0.0,0.0,30675292,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.43,894394984,0.0,0.05,0.37,878109895
15568.02747321,2.0029789529999107,1784059796.1398952,28170,99.9,66629632,3125248,0,0.0,0.0,,,,,,,,6.5,30396358656,0,1212416,0,0.0,0.0,0.0,0.0,0.0,30675591,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.43,894394984,0.0,0.05,0.37,878109895
15569.028234662,3.003740404999917,1784059797.140657,28170,99.9,66637824,3125248,0,0.0,0.0,,,,,,,,6.5,30395068416,0,1212416,0,0.0,0.0,0.0,0.0,0.0,30676650,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.43,894394984,0.0,0.05,0.37,878109895
15570.028979683,4.004485425999519,1784059798.1414015,28170,99.9,66646016,3125248,0,0.0,0.0,,,,,,,,6.3,30393516032,0,1212416,0,0.0,0.0,0.0,0.0,0.0,30676933,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.42,894394984,0.0,0.05,0.36,878109895
15571.02995846,5.005464202999065,1784059799.142381,28170,99.9,66654208,3125248,0,0.0,0.0,,,,,,,,6.7,30386839552,0,1212416,0,0.0,0.0,0.0,0.0,0.0,30677769,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.42,894394984,0.0,0.05,0.36,878109895
15572.030812518,6.006318260999251,1784059800.143236,28170,120.9,555220992,33312768,0,30161760.107480504,0.0,,,,,,,,7.6,29890854912,0,1212416,0,30161760.107480504,32740.038108527006,0.0,0.0,0.0,30680589,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.42,894395794,0.0,0.05,0.36,878110703
15573.031712244,7.007217986998512,1784059801.144135,28170,37.0,612323328,86507520,733184,53146934.32141,732524.9282769223,,,,,,,,2.4,29840486400,0,1146880,262144,53146934.32141,757078.836487322,0.0,0.0,0.0,30681346,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.06,0.42,894402474,0.0,0.05,0.36,878117362
15574.032644589,8.008150331999786,1784059802.145067,28170,30.0,647110656,102387712,13656064,15865399.973641356,12910842.640401982,,,,,,,,2.2,29807910912,0,1179648,0,15865399.973641356,11298521.879603762,0.0,0.0,0.0,30682696,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.05,0.42,894412332,0.0,0.05,0.36,878126681
15575.033757182,9.009262924999348,1784059803.1461797,28170,141.8,790614016,194314240,17301504,91824364.85447374,3641388.616516581,,,,,,,,9.2,29662375936,0,1245184,0,91824364.85447374,2831281.935538735,0.0,0.0,0.0,30684159,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.05,0.42,894417316,0.0,0.05,0.36,878131563
15576.034941112,10.010446854999827,1784059804.1473634,28170,1.0,790614016,195969024,17301504,1652827.1683298068,0.0,,,,,,,,0.3,29663723520,0,1245184,0,1652827.1683298068,0.0,0.0,0.0,0.0,30684531,0.0,0.0,0.0,0,0.0,0.0,0.0,371111,0.0,0.0,0.0,370611,0.0,0.05,0.41,894423797,0.0,0.04,0.35,878137970
