timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 11:50:45:575,1,647,647.0,5659.58,21023,18223,20959,21023
2026-07-15 11:50:46:575,2,1344,697.0,5728.64,21519,16847,19375,21519
2026-07-15 11:50:47:575,3,2001,657.0,6078.91,21855,18879,21599,21855
2026-07-15 11:50:48:575,4,2651,650.0,6152.46,23423,17183,23423,23423
2026-07-15 11:50:49:575,5,3293,642.0,6213.12,33631,20783,33567,33631
2026-07-15 11:50:50:575,6,3970,677.0,5904.83,26351,17359,22671,26351
2026-07-15 11:50:51:575,7,4646,676.0,5897.02,22367,18383,20351,22367
2026-07-15 11:50:52:575,8,5375,729.0,5493.27,27951,16023,27871,27951
2026-07-15 11:50:53:575,9,6091,716.0,5570.0,22415,17471,22415,22415
2026-07-15 11:50:54:575,10,6828,737.0,5426.39,22447,20575,22431,22447
2026-07-15 11:50:55:575,11,7540,712.0,5618.77,21423,17839,21423,21423
2026-07-15 11:50:56:575,12,8235,695.0,5760.2,27503,20287,23999,27503
2026-07-15 11:50:57:575,13,8922,687.0,5812.27,22831,18943,22815,22831
2026-07-15 11:50:58:575,14,9588,666.0,6007.61,29151,22079,24415,29151
2026-07-15 11:50:59:575,15,10256,668.0,5983.18,23263,21887,23183,23263
2026-07-15 11:51:00:575,16,10912,656.0,6096.86,27887,19791,23631,27887
2026-07-15 11:51:01:575,17,11622,710.0,5629.67,28719,16847,28687,28719
2026-07-15 11:51:02:575,18,12339,717.0,5576.08,23295,17727,23199,23295
2026-07-15 11:51:03:575,19,13069,730.0,5476.35,23199,17343,20639,23199
2026-07-15 11:51:04:575,20,13790,721.0,5541.97,27151,20607,27119,27151
2026-07-15 11:51:05:575,21,14513,723.0,5487.46,24559,20959,24559,24559
2026-07-15 11:51:06:575,22,15220,707.0,5678.51,17599,16591,17599,17599
2026-07-15 11:51:07:575,23,15932,712.0,5641.81,24287,17167,24287,24287
2026-07-15 11:51:08:575,24,16605,673.0,5937.17,25583,22191,25551,25583
2026-07-15 11:51:09:575,25,17284,679.0,5885.8,23167,20447,23167,23167
2026-07-15 11:51:10:575,26,17957,673.0,5906.86,24415,18783,23119,24415
2026-07-15 11:51:11:575,27,18617,660.0,6090.42,25231,20255,25215,25231
2026-07-15 11:51:12:575,28,19336,719.0,5568.55,23999,20031,23263,23999
2026-07-15 11:51:13:575,29,20053,717.0,5570.48,24335,16719,24271,24335
2026-07-15 11:51:14:575,30,20774,721.0,5525.59,22367,19871,22351,22367
2026-07-15 11:51:15:575,31,20956,182.0,21950.27,44575,38847,44575,44575
2026-07-15 11:51:16:575,32,21247,291.0,13796.38,53055,33343,53055,53055
2026-07-15 11:51:17:575,33,21879,632.0,6328.0,25759,20911,25471,25759
2026-07-15 11:51:18:575,34,22568,689.0,5757.64,26543,16559,20623,26543
2026-07-15 11:51:19:575,35,23290,722.0,5573.94,22959,17615,20879,22959
2026-07-15 11:51:20:575,36,24013,723.0,5533.72,29535,18703,27247,29535
2026-07-15 11:51:21:575,37,24739,726.0,5522.03,27615,17439,27471,27615
2026-07-15 11:51:22:575,38,25453,714.0,5598.5,49151,17791,49119,49151
2026-07-15 11:51:23:575,39,26150,697.0,5730.75,22511,20511,22495,22511
2026-07-15 11:51:24:575,40,26835,685.0,5820.94,24159,16879,23727,24159
