timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 11:47:27:151,1,676,676.0,5521.55,29311,11527,29087,29311
2026-07-15 11:47:28:151,2,1401,725.0,5513.16,11967,11735,11927,11967
2026-07-15 11:47:29:151,3,2122,721.0,5534.76,12023,11911,12023,12023
2026-07-15 11:47:30:151,4,2814,692.0,5762.04,12175,12015,12159,12175
2026-07-15 11:47:31:151,5,3496,682.0,5859.73,17439,12215,17407,17439
2026-07-15 11:47:32:151,6,4231,735.0,5433.16,14719,12119,12167,14719
2026-07-15 11:47:33:151,7,5147,916.0,4364.89,15439,11823,12375,15439
2026-07-15 11:47:34:151,8,6058,911.0,4387.23,12655,11983,12615,12655
2026-07-15 11:47:35:151,9,7844,1786.0,2237.77,13855,7975,13799,13855
2026-07-15 11:47:36:151,10,10066,2222.0,1797.11,5955,4451,5151,5955
2026-07-15 11:47:37:151,11,11980,1914.0,2087.79,42687,8027,42655,42687
2026-07-15 11:47:38:151,12,13969,1989.0,2003.74,17055,10055,15735,17055
2026-07-15 11:47:39:151,13,16075,2106.0,1901.58,17055,5999,15607,17055
2026-07-15 11:47:40:151,14,18137,2062.0,1937.98,17279,8663,15351,17279
2026-07-15 11:47:41:151,15,20152,2015.0,1982.18,20351,9855,20351,20351
2026-07-15 11:47:42:151,16,22248,2096.0,1906.06,17631,7787,17343,17631
2026-07-15 11:47:43:151,17,24169,1921.0,2078.73,17183,9447,15007,17183
2026-07-15 11:47:44:151,18,26223,2054.0,1946.28,16959,7987,16559,16959
2026-07-15 11:47:45:151,19,28305,2082.0,1917.5,19631,8975,16607,19631
2026-07-15 11:47:46:151,20,30304,1999.0,1996.76,15759,7967,15751,15759
2026-07-15 11:47:47:151,21,32320,2016.0,1978.46,16911,9007,16367,16911
2026-07-15 11:47:48:151,22,34356,2036.0,1965.1,18143,9199,17791,18143
2026-07-15 11:47:49:151,23,36341,1985.0,2015.96,16071,7963,14615,16071
2026-07-15 11:47:50:151,24,38295,1954.0,2043.34,36191,9599,34527,36191
2026-07-15 11:47:52:016,25,40316,1083.65,1978.77,14255,8591,13919,14255
2026-07-15 11:47:53:016,26,42207,1891.0,2110.84,16159,10663,16127,16159
2026-07-15 11:47:54:016,27,44307,2100.0,1903.13,16575,5287,16495,16575
2026-07-15 11:47:55:016,28,46390,2083.0,1918.56,14943,7911,14471,14943
2026-07-15 11:47:56:016,29,48424,2034.0,1962.0,17887,8031,17407,17887
2026-07-15 11:47:57:016,30,50499,2075.0,1921.92,15863,9167,15679,15863
2026-07-15 11:47:58:016,31,52548,2049.0,1954.05,16623,7919,14959,16623
2026-07-15 11:47:59:016,32,53099,551.0,7231.93,22831,21695,22687,22831
2026-07-15 11:48:00:016,33,53403,304.0,13115.4,22047,18959,22047,22047
2026-07-15 11:48:01:016,34,53720,317.0,12636.42,23935,20735,23935,23935
2026-07-15 11:48:02:016,35,55564,1844.0,2179.27,23663,15447,22271,23663
2026-07-15 11:48:03:016,36,57733,2169.0,1842.9,11007,6151,10983,11007
