timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784109611,0,2975,196,,,
1784109612,1,3334,271,359,75,82.72
1784109615,4,11770,2017,8436,1746,82.85
1784109616,5,16993,3075,5223,1058,83.16
1784109617,6,22866,4212,5873,1137,83.78
1784109618,7,25082,4607,2216,395,84.87
1784109619,8,26522,4823,1440,216,86.96
1784109620,9,27980,5040,1458,217,87.04
1784109621,10,29481,5262,1501,222,87.12
1784109622,11,31005,5494,1524,232,86.79
1784109623,12,32451,5693,1446,199,87.90
1784109624,13,34079,5974,1628,281,85.28
1784109625,14,35602,6194,1523,220,87.38
1784109626,15,37127,6443,1525,249,85.96
1784109627,16,38713,6671,1586,228,87.43
1784109628,17,40219,6870,1506,199,88.33
1784109629,18,41797,7102,1578,232,87.18
1784109630,19,44599,7564,2802,462,85.85
1784109631,20,50934,8692,6335,1128,84.89
1784109632,21,57186,9736,6252,1044,85.69
1784109633,22,63360,10769,6174,1033,85.67
1784109634,23,69296,11720,5936,951,86.19
1784109635,24,75234,12721,5938,1001,85.57
1784109636,25,81065,13684,5831,963,85.83
1784109637,26,86917,14641,5852,957,85.95
1784109638,27,92826,15556,5909,915,86.59
1784109639,28,98756,16478,5930,922,86.54
1784109640,29,104923,17451,6167,973,86.37
1784109641,30,111353,18384,6430,933,87.33
1784109642,31,117815,19358,6462,974,86.90
1784109643,32,124088,20359,6273,1001,86.24
1784109644,33,130235,21253,6147,894,87.30
1784109645,34,136171,22120,5936,867,87.26
1784109646,35,141886,22981,5715,861,86.91
1784109647,36,147662,23867,5776,886,86.70
1784109648,37,153639,24762,5977,895,86.98
1784109649,38,159608,25654,5969,892,87.00
1784109650,39,165498,26488,5890,834,87.60
1784109651,40,171545,27351,6047,863,87.51
1784109652,41,178049,28278,6504,927,87.53
1784109653,42,184282,29150,6233,872,87.73
1784109654,43,190611,30042,6329,892,87.65
1784109655,44,196742,30910,6131,868,87.60
1784109656,45,202132,31686,5390,776,87.41
1784109657,46,208395,32613,6263,927,87.11
1784109658,47,214231,33427,5836,814,87.76
1784109659,48,219974,34259,5743,832,87.35
1784109660,49,225933,35144,5959,885,87.07
1784109661,50,231715,35987,5782,843,87.28
1784109662,51,233304,36176,1589,189,89.37
1784109663,52,238435,36873,5131,697,88.04
1784109664,53,244498,37742,6063,869,87.46
1784109665,54,250601,38611,6103,869,87.54
1784109666,55,256472,39518,5871,907,86.62
1784109667,56,262539,40369,6067,851,87.70
1784109668,57,268482,41208,5943,839,87.63
1784109669,58,274809,42133,6327,925,87.24
1784109670,59,281268,43005,6459,872,88.11
1784109671,60,287261,43898,5993,893,87.03
1784109672,61,293473,44791,6212,893,87.43
1784109673,62,299639,45669,6166,878,87.54
1784109674,63,305578,46517,5939,848,87.51
1784109675,64,311438,47316,5860,799,88.00
1784109676,65,317680,48232,6242,916,87.20
1784109677,66,323501,49064,5821,832,87.49
1784109678,67,329493,49913,5992,849,87.59
1784109679,68,335556,50731,6063,818,88.11
1784109680,69,341914,51644,6358,913,87.44
1784109681,70,348183,52492,6269,848,88.08
1784109682,71,354073,53328,5890,836,87.57
1784109683,72,360176,54206,6103,878,87.42
1784109684,73,365899,55040,5723,834,87.28
1784109685,74,371764,55894,5865,854,87.29
1784109686,75,377740,56785,5976,891,87.02
1784109687,76,383733,57575,5993,790,88.35
