timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784111162,0,82515,1594,,,
1784111163,1,82871,1669,356,75,82.60
1784111164,2,91472,2981,8601,1312,86.76
1784111165,3,98685,4090,7213,1109,86.67
1784111166,4,106387,5220,7702,1130,87.21
1784111167,5,116354,6625,9967,1405,87.65
1784111168,6,137674,9587,21320,2962,87.80
1784111169,7,158981,12276,21307,2689,88.79
1784111170,8,181058,14953,22077,2677,89.19
1784111171,9,200852,17184,19794,2231,89.87
1784111172,10,221079,19390,20227,2206,90.17
1784111173,11,240818,21469,19739,2079,90.47
1784111174,12,259897,23457,19079,1988,90.56
1784111175,13,279941,25640,20044,2183,90.18
1784111176,14,299094,27814,19153,2174,89.81
1784111177,15,319223,30032,20129,2218,90.07
1784111178,16,338847,32222,19624,2190,89.96
1784111179,17,357764,34308,18917,2086,90.07
1784111180,18,377329,36476,19565,2168,90.02
1784111181,19,396943,38680,19614,2204,89.90
1784111182,20,416232,40830,19289,2150,89.97
1784111183,21,435503,42957,19271,2127,90.06
1784111184,22,454848,45176,19345,2219,89.71
1784111185,23,473967,47386,19119,2210,89.64
1784111186,24,493628,49606,19661,2220,89.85
1784111188,26,520874,52721,27246,3115,89.74
1784111189,27,539669,54920,18795,2199,89.53
1784111190,28,559019,57227,19350,2307,89.35
1784111191,29,578331,59536,19312,2309,89.32
1784111192,30,597032,61755,18701,2219,89.39
1784111193,31,615762,64001,18730,2246,89.29
1784111194,32,634749,66319,18987,2318,89.12
1784111195,33,642142,67234,7393,915,88.99
1784111196,34,645266,67590,3124,356,89.77
1784111197,35,648328,67933,3062,343,89.93
1784111198,36,657729,69046,9401,1113,89.41
1784111199,37,677374,71396,19645,2350,89.32
1784111200,38,696034,73627,18660,2231,89.32
1784111201,39,715504,76019,19470,2392,89.06
1784111202,40,730173,77722,14669,1703,89.60
1784111203,41,753426,80550,23253,2828,89.16
1784111204,42,773224,82939,19798,2389,89.23
1784111205,43,785767,84496,12543,1557,88.96
1784111206,44,794477,85568,8710,1072,89.04
1784111207,45,802910,86565,8433,997,89.43
1784111208,46,809331,87329,6421,764,89.37
1784111209,47,815719,88089,6388,760,89.37
1784111210,48,822149,88879,6430,790,89.06
1784111211,49,828560,89673,6411,794,88.98
1784111212,50,834557,90425,5997,752,88.86
1784111213,51,840668,91177,6111,752,89.04
1784111214,52,846889,91937,6221,760,89.11
1784111215,53,853043,92686,6154,749,89.15
1784111216,54,859088,93401,6045,715,89.42
1784111217,55,865089,94148,6001,747,88.93
1784111218,56,871553,94937,6464,789,89.12
1784111219,57,877992,95708,6439,771,89.31
1784111220,58,884344,96477,6352,769,89.20
1784111221,59,890268,97163,5924,686,89.62
1784111222,60,896323,97895,6055,732,89.21
1784111223,61,902570,98645,6247,750,89.28
1784111224,62,908684,99410,6114,765,88.88
1784111225,63,914669,100174,5985,764,88.68
1784111226,64,920646,100901,5977,727,89.16
1784111227,65,926921,101650,6275,749,89.34
1784111228,66,933260,102432,6339,782,89.02
1784111229,67,937160,102936,3900,504,88.56
1784111230,68,938902,103121,1742,185,90.40
1784111231,69,940829,103339,1927,218,89.84
1784111232,70,944302,103718,3473,379,90.16
1784111233,71,950416,104453,6114,735,89.27
1784111234,72,956467,105201,6051,748,89.00
1784111235,73,962447,105948,5980,747,88.90
1784111236,74,968365,106698,5918,750,88.75
1784111237,75,974414,107447,6049,749,88.98
1784111238,76,980596,108197,6182,750,89.18
1784111239,77,986899,108974,6303,777,89.03
1784111240,78,993216,109776,6317,802,88.73
1784111241,79,999593,110532,6377,756,89.40
1784111242,80,1005643,111293,6050,761,88.83
1784111243,81,1011782,112069,6139,776,88.78
1784111244,82,1017816,112823,6034,754,88.89
1784111245,83,1023913,113571,6097,748,89.07
1784111246,84,1029946,114291,6033,720,89.34
1784111247,85,1036026,115006,6080,715,89.48
1784111248,86,1042255,115765,6229,759,89.14
1784111249,87,1048309,116507,6054,742,89.08
1784111250,88,1054717,117321,6408,814,88.73
1784111251,89,1060863,118071,6146,750,89.12
1784111252,90,1066982,118845,6119,774,88.77
1784111253,91,1073093,119604,6111,759,88.95
1784111254,92,1078894,120330,5801,726,88.88
1784111255,93,1084979,121048,6085,718,89.45
1784111256,94,1090778,121770,5799,722,88.93
1784111257,95,1096925,122564,6147,794,88.56
1784111258,96,1102949,123287,6024,723,89.28
1784111259,97,1109227,124090,6278,803,88.66
1784111260,98,1115450,124853,6223,763,89.08
1784111261,99,1121482,125622,6032,769,88.69
1784111262,100,1127251,126354,5769,732,88.74
1784111263,101,1131619,126850,4368,496,89.80
1784111264,102,1133456,127051,1837,201,90.14
1784111265,103,1139191,127761,5735,710,88.98
1784111266,104,1145474,128513,6283,752,89.31
1784111267,105,1151704,129305,6230,792,88.72
1784111268,106,1157899,130110,6195,805,88.50
1784111270,108,1163845,130855,5946,745,88.87
1784111271,109,1169715,131568,5870,713,89.17
1784111272,110,1175630,132325,5915,757,88.65
1784111273,111,1181605,133058,5975,733,89.07
1784111274,112,1187589,133820,5984,762,88.70
1784111275,113,1193438,134553,5849,733,88.86
1784111276,114,1199574,135311,6136,758,89.00
1784111277,115,1205602,136078,6028,767,88.71
1784111278,116,1211924,136864,6322,786,88.94
1784111279,117,1217929,137610,6005,746,88.95
1784111280,118,1223784,138338,5855,728,88.94
1784111281,119,1229700,139094,5916,756,88.67
1784111282,120,1235744,139889,6044,795,88.38
1784111283,121,1241722,140701,5978,812,88.04
1784111284,122,1247592,141469,5870,768,88.43
1784111285,123,1253528,142239,5936,770,88.52
1784111286,124,1259690,143063,6162,824,88.20
1784111287,125,1265670,143815,5980,752,88.83
1784111288,126,1271838,144585,6168,770,88.90
1784111289,127,1277675,145344,5837,759,88.49
1784111290,128,1283569,146069,5894,725,89.05
1784111291,129,1289382,146793,5813,724,88.92
1784111292,130,1295396,147530,6014,737,89.08
1784111293,131,1301441,148331,6045,801,88.30
1784111294,132,1307597,149097,6156,766,88.93
