t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
68667.029591661,0.0007824420026736334,1784112895.1420135,,,,,,,,,,,,,,,0.0,28934152192,0,1003520,122880,0.0,0.0,0.0,0.0,0.0,131563977,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,2.0,5.06,6.22,3920200863,2.0,5.04,6.16,3847246544
68668.030413515,1.0016042960050981,1784112896.1428363,111434,0.0,59805696,0,0,,,,,,,,,,6.1,28892876800,0,2895872,0,0.0,2795270.6955909687,0.0,0.0,0.0,131567765,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.64,4.9,6.18,3920214354,1.64,4.87,6.11,3847259705
68669.031436006,2.0026267869980074,1784112897.1438582,111434,99.9,59813888,0,0,0.0,0.0,,,,,,,,6.5,28891185152,0,3600384,0,0.0,0.0,0.0,0.0,0.0,131567829,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.64,4.9,6.18,3920214354,1.64,4.87,6.11,3847259705
68670.032190729,3.003381510003237,1784112898.1446128,111434,100.9,59822080,0,0,0.0,0.0,,,,,,,,6.4,28892364800,0,3600384,0,0.0,0.0,0.0,0.0,0.0,131567998,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.34,4.74,6.14,3920214354,1.34,4.71,6.07,3847259705
68671.032982032,4.004172813001787,1784112899.1454048,111434,98.9,59830272,0,0,0.0,0.0,,,,,,,,6.8,28898398208,0,4018176,0,0.0,0.0,0.0,0.0,0.0,131568258,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.34,4.74,6.14,3920214354,1.34,4.71,6.07,3847259705
68672.033914342,5.005105122996611,1784112900.1463366,111434,99.9,59838464,0,0,0.0,0.0,,,,,,,,6.4,28898398208,0,4018176,0,0.0,0.0,0.0,0.0,0.0,131568423,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.1,4.58,6.1,3920214354,1.1,4.56,6.03,3847259705
68673.034666774,6.005857554991962,1784112901.1470895,111434,114.9,548827136,0,0,0.0,0.0,,,,,,,,7.4,28407320576,0,4374528,0,0.0,32743.362846159136,0.0,0.0,0.0,131570041,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,1.1,4.58,6.1,3920214758,1.1,4.56,6.03,3847260093
68674.035438535,7.006629315990722,1784112902.1478612,111434,46.0,601931776,0,733184,0.0,732618.5935425379,,,,,,,,2.9,28352786432,0,4538368,0,0.0,769454.1652849001,0.0,0.0,0.0,131570669,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,0.9,4.43,6.05,3920219681,0.9,4.41,5.99,3847264930
68675.036208926,8.007399706999422,1784112903.1486313,111434,120.9,690470912,0,13152256,0.0,12409511.823668687,,,,,,,,7.8,28254666752,0,4763648,0,0.0,11103893.660162646,0.0,0.0,0.0,131572395,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,0.9,4.43,6.05,3920223865,0.9,4.41,5.99,3847268122
68676.037013425,9.008204205994844,1784112904.1494358,111434,36.0,739024896,0,15265792,0.0,2111837.0292314896,,,,,,,,2.3,28207370240,0,4763648,0,0.0,1121401.8333516049,0.0,0.0,0.0,131573065,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,0.73,4.28,6.01,3920226411,0.73,4.26,5.95,3847270644
