run,ssh_ready,postgres_ready,standby_ready,promotion_start,promotion_done,benchmark_resume,benchmark_start,benchmark_end,shutdown_request,shutdown_finished,ssh2_ready,postgres2_ready
1,12.073369815996557,12.223468142001366,-38198.913628964,-38198.913628964,-38198.913628964,176.97940469499736,12.655119976996502,377.64612271400256,163.7419198409989,165.30932708199543,176.53520192200085,176.68149885899766
2,11.101397560996702,11.249075672996696,-38587.53211808,-38587.53211808,-38587.53211808,177.78076182599762,11.690182398997422,378.3626075680004,162.7399552709976,164.25641003200144,177.34624107000127,177.4941258799954
3,10.995822124998085,11.143099572997016,-38976.877108041,-38976.877108041,-38976.877108041,175.22288678999757,11.575579363001452,375.9882191479992,162.63809471699642,164.20423237900104,174.79046366600232,174.93740781900124
4,11.308621877004043,11.465513088005537,-39363.799163528,-39363.799163528,-39363.799163528,176.00595324900496,11.905415134002396,376.6959930150042,162.9143274340022,164.53076225400582,175.56770472000062,175.71327439300512
5,11.430757617999916,11.571798401993874,-39751.442817761,-39751.442817761,-39751.442817761,177.96632591199887,12.001665188996412,378.6001475429948,163.0393171179967,164.60575009699824,177.5265755329965,177.67544866899698
6,11.23274821400264,11.379271063000488,-40141.035211242,-40141.035211242,-40141.035211242,175.5640484989999,11.828183908000938,376.23672081300174,162.88502955700096,164.45203563199902,175.12747433500044,175.27334870900086
7,10.801681691998965,10.961433950003993,-40528.228837817,-40528.228837817,-40528.228837817,177.17411997800082,11.390837876002479,377.8693107880026,162.4324262700029,163.99964736900438,176.73789839700476,176.8849063020025
8,13.39550157100166,13.535462195999571,-40917.044657013,-40917.044657013,-40917.044657013,177.8245323250012,13.959284762997413,378.4357229649977,165.0133677979975,166.58037648099707,177.39476537299925,177.53873813700193
9,12.657021742001234,12.797206949995598,-41306.417839845,-41306.417839845,-41306.417839845,180.5734495209981,14.197946187996422,381.2595471309978,165.26950653499807,166.83568963899597,180.13695453800028,180.28969028899883
10,10.849305973002629,11.011672703003569,-41698.664574199,-41698.664574199,-41698.664574199,177.94051232100173,11.445235450002656,378.62155436899775,162.46385294100037,164.0305765180019,177.51311610999983,177.65534029599803
