timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784082439,0,23747,780,,,
1784082440,1,24134,832,387,52,88.15
1784082441,2,30611,1780,6477,948,87.23
1784082442,3,36259,2656,5648,876,86.57
1784082443,4,43402,3722,7143,1066,87.01
1784082444,5,51172,4842,7770,1120,87.40
1784082445,6,59158,5937,7986,1095,87.94
1784082446,7,67415,7080,8257,1143,87.84
1784082447,8,84236,9287,16821,2207,88.40
1784082448,9,100767,11334,16531,2047,88.98
1784082449,10,118050,13471,17283,2137,89.00
1784082450,11,136010,15539,17960,2068,89.67
1784082451,12,151574,17286,15564,1747,89.91
1784082452,13,167438,19004,15864,1718,90.23
1784082453,14,185112,20820,17674,1816,90.68
1784082454,15,202936,22666,17824,1846,90.62
1784082455,16,220343,24509,17407,1843,90.43
1784082456,17,238085,26479,17742,1970,90.01
1784082457,18,256319,28532,18234,2053,89.88
1784082458,19,273786,30451,17467,1919,90.10
1784082459,20,291741,32361,17955,1910,90.39
1784082460,21,309996,34364,18255,2003,90.11
1784082461,22,327944,36402,17948,2038,89.80
1784082462,23,345562,38382,17618,1980,89.90
1784082463,24,363743,40389,18181,2007,90.06
1784082464,25,380924,42334,17181,1945,89.83
1784082465,26,398303,44306,17379,1972,89.81
1784082467,28,428142,47776,29839,3470,89.58
1784082468,29,446590,49927,18448,2151,89.56
1784082469,30,464044,51963,17454,2036,89.55
1784082470,31,481228,54044,17184,2081,89.20
1784082471,32,498862,56055,17634,2011,89.76
1784082472,33,516275,58072,17413,2017,89.62
1784082473,34,527095,59477,10820,1405,88.51
1784082474,35,551119,62250,24024,2773,89.65
1784082475,36,557221,62970,6102,720,89.45
1784082476,37,560240,63309,3019,339,89.90
1784082477,38,563235,63598,2995,289,91.20
1784082478,39,570692,64461,7457,863,89.63
1784082479,40,588935,66628,18243,2167,89.38
1784082480,41,607222,68813,18287,2185,89.33
1784082481,42,625170,70969,17948,2156,89.28
1784082482,43,643946,73187,18776,2218,89.44
1784082483,44,661965,75395,18019,2208,89.08
1784082484,45,680753,77650,18788,2255,89.28
1784082485,46,698828,79920,18075,2270,88.84
