timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 05:28:24:673,1,656,656.0,5615.74,14815,12303,13303,14815
2026-07-15 05:28:25:673,2,1370,714.0,5623.21,12751,12295,12591,12751
2026-07-15 05:28:26:673,3,2067,697.0,5715.12,16799,14207,16783,16799
2026-07-15 05:28:27:673,4,2774,707.0,5644.71,12199,12015,12151,12199
2026-07-15 05:28:28:673,5,3638,864.0,4630.51,14647,11639,14631,14647
2026-07-15 05:28:29:673,6,4582,944.0,4222.22,12111,10351,12095,12111
2026-07-15 05:28:30:673,7,5578,996.0,4017.93,18431,10031,18367,18431
2026-07-15 05:28:31:673,8,6570,992.0,4025.06,13191,10247,12079,13191
2026-07-15 05:28:32:673,9,7807,1237.0,3235.86,12287,10015,11911,12287
2026-07-15 05:28:33:673,10,10064,2257.0,1769.83,5779,4595,5751,5779
2026-07-15 05:28:34:673,11,12133,2069.0,1930.63,13887,7943,10631,13887
2026-07-15 05:28:35:673,12,14262,2129.0,1876.57,14215,7927,13823,14215
2026-07-15 05:28:36:673,13,16363,2101.0,1901.03,21007,6131,20991,21007
2026-07-15 05:28:37:673,14,18503,2140.0,1867.24,12935,6215,10839,12935
2026-07-15 05:28:38:673,15,20606,2103.0,1892.86,10727,6163,10639,10727
2026-07-15 05:28:39:673,16,22711,2105.0,1905.7,12159,5987,12007,12159
2026-07-15 05:28:40:673,17,24793,2082.0,1909.57,14295,7799,13871,14295
2026-07-15 05:28:41:673,18,26879,2086.0,1919.84,14119,7955,10831,14119
2026-07-15 05:28:42:673,19,29028,2149.0,1863.46,10327,7907,10311,10327
2026-07-15 05:28:43:673,20,31154,2126.0,1879.84,13703,7907,13695,13703
2026-07-15 05:28:44:673,21,33282,2128.0,1877.13,13311,7939,11079,13311
2026-07-15 05:28:45:673,22,35406,2124.0,1881.19,13903,7883,13271,13903
2026-07-15 05:28:46:673,23,37552,2146.0,1860.75,13775,7919,11935,13775
2026-07-15 05:28:47:673,24,39645,2093.0,1909.28,16879,7943,13791,16879
2026-07-15 05:28:49:795,26,41774,1002.83,1874.91,13559,7927,13063,13559
2026-07-15 05:28:50:795,27,43024,1250.0,3198.72,23071,15543,19775,23071
2026-07-15 05:28:51:795,28,43413,389.0,10286.19,23135,19183,23135,23135
2026-07-15 05:28:52:795,29,44876,1463.0,2730.79,18831,13815,18751,18831
2026-07-15 05:28:53:795,30,47055,2179.0,1834.44,10879,5847,10015,10879
2026-07-15 05:28:54:795,31,49133,2078.0,1922.23,12911,7967,10695,12911
2026-07-15 05:28:55:795,32,51272,2139.0,1868.21,10503,7899,10415,10503
2026-07-15 05:28:56:795,33,53443,2171.0,1837.6,24303,5695,13823,24303
2026-07-15 05:28:57:795,34,55644,2201.0,1816.33,9967,5723,9951,9967
2026-07-15 05:28:58:795,35,57799,2155.0,1854.22,10319,7499,10271,10319
2026-07-15 05:28:59:795,36,59896,2097.0,1905.55,10911,8575,10599,10911
2026-07-15 05:29:00:795,37,62050,2154.0,1855.44,10415,6063,10031,10415
2026-07-15 05:29:01:795,38,64151,2101.0,1901.24,12023,7927,11471,12023
2026-07-15 05:29:02:795,39,66383,2232.0,1790.57,13439,4795,12879,13439
2026-07-15 05:29:03:795,40,68542,2159.0,1850.45,13871,6051,12159,13871
2026-07-15 05:29:04:795,41,70645,2103.0,1900.6,13943,7867,13839,13943
2026-07-15 05:29:05:795,42,72774,2129.0,1877.78,16687,6139,13759,16687
2026-07-15 05:29:06:795,43,74926,2152.0,1856.65,12007,6111,11975,12007
2026-07-15 05:29:07:795,44,77053,2127.0,1879.75,11919,7903,11799,11919
2026-07-15 05:29:08:795,45,79206,2153.0,1855.35,12303,6139,12287,12303
2026-07-15 05:29:09:795,46,81368,2162.0,1844.27,12191,5919,12175,12191
2026-07-15 05:29:10:795,47,83440,2072.0,1933.25,13503,7927,13351,13503
2026-07-15 05:29:11:795,48,85595,2155.0,1852.91,10359,6075,10223,10359
2026-07-15 05:29:12:795,49,87739,2144.0,1859.2,17151,7755,15639,17151
2026-07-15 05:29:13:795,50,89924,2185.0,1836.06,13623,6103,11831,13623
2026-07-15 05:29:14:795,51,92054,2130.0,1876.41,16311,7907,11943,16311
2026-07-15 05:29:15:795,52,94231,2177.0,1835.87,12335,7427,12327,12335
2026-07-15 05:29:16:795,53,96384,2153.0,1855.7,12103,6995,9295,12103
2026-07-15 05:29:17:795,54,98522,2138.0,1870.72,11759,7911,11687,11759
2026-07-15 05:29:18:795,55,100664,2142.0,1865.44,15127,7979,15095,15127
2026-07-15 05:29:19:795,56,102782,2118.0,1879.15,10959,7871,10919,10959
2026-07-15 05:29:20:795,57,104952,2170.0,1848.85,12279,7527,12159,12279
2026-07-15 05:29:21:795,58,107123,2171.0,1840.99,12111,6207,12031,12111
2026-07-15 05:29:22:795,59,109268,2145.0,1862.28,10047,6831,8807,10047
2026-07-15 05:29:23:795,60,110165,897.0,4447.98,18303,13999,18303,18303
2026-07-15 05:29:24:795,61,110474,309.0,12936.64,26719,24767,26719,26719
2026-07-15 05:29:25:795,62,110680,206.0,19339.94,40255,28991,40255,40255
2026-07-15 05:29:26:795,63,110881,201.0,19884.08,32287,32239,32287,32287
2026-07-15 05:29:27:795,64,111045,164.0,24237.32,33055,33055,33055,33055
2026-07-15 05:29:28:795,65,111486,441.0,9189.34,31087,26831,31087,31087
2026-07-15 05:29:29:795,66,112130,644.0,6196.33,18031,16159,17951,18031
2026-07-15 05:29:30:795,67,112831,701.0,5720.48,16215,15495,16199,16215
2026-07-15 05:29:31:795,68,113506,675.0,5925.87,25071,15879,25071,25071
2026-07-15 05:29:32:795,69,114208,702.0,5632.9,20111,14335,20111,20111
2026-07-15 05:29:33:795,70,114890,682.0,5925.64,26271,16087,26271,26271
2026-07-15 05:29:34:795,71,115576,686.0,5817.2,20927,14535,19455,20927
2026-07-15 05:29:35:795,72,116244,668.0,5999.64,16815,15471,16767,16815
2026-07-15 05:29:36:795,73,116926,682.0,5853.49,20751,14999,20735,20751
2026-07-15 05:29:37:795,74,117608,682.0,5868.35,21983,14927,21919,21983
2026-07-15 05:29:38:795,75,118260,652.0,6135.54,17503,15303,16959,17503
2026-07-15 05:29:39:795,76,118941,681.0,5879.51,23871,15303,23743,23871
2026-07-15 05:29:40:795,77,119620,679.0,5884.47,23119,16199,23119,23119
2026-07-15 05:29:41:795,78,120291,671.0,5947.82,26127,17023,21631,26127
2026-07-15 05:29:42:795,79,120954,663.0,6049.95,27231,17743,20159,27231
2026-07-15 05:29:43:795,80,121658,704.0,5665.28,20543,16671,20527,20543
2026-07-15 05:29:44:795,81,122336,678.0,5830.44,21295,16351,20111,21295
2026-07-15 05:29:45:795,82,123026,690.0,5860.81,23919,15063,23903,23919
2026-07-15 05:29:46:795,83,123710,684.0,5857.98,24559,15095,24511,24559
2026-07-15 05:29:47:795,84,124396,686.0,5825.77,16591,14327,16575,16591
2026-07-15 05:29:48:795,85,125076,680.0,5875.43,21327,15071,18863,21327
2026-07-15 05:29:49:795,86,125775,699.0,5733.4,24863,14647,24799,24863
2026-07-15 05:29:50:795,87,126466,691.0,5778.03,21055,16943,20943,21055
2026-07-15 05:29:51:795,88,127146,680.0,5881.56,27087,14431,27055,27087
2026-07-15 05:29:52:795,89,127857,711.0,5629.38,14783,13423,14783,14783
2026-07-15 05:29:53:795,90,128556,699.0,5675.88,16863,13719,14911,16863
2026-07-15 05:29:54:795,91,129240,684.0,5847.81,21103,14551,21087,21103
2026-07-15 05:29:55:795,92,129911,671.0,6000.01,17935,16031,17919,17935
2026-07-15 05:29:56:795,93,130598,687.0,5816.77,22735,16143,22719,22735
2026-07-15 05:29:57:795,94,131252,654.0,6121.15,24527,19263,24511,24527
2026-07-15 05:29:58:795,95,131927,675.0,5916.11,19135,15183,15695,19135
2026-07-15 05:29:59:795,96,132207,280.0,14273.76,47295,32591,47295,47295
2026-07-15 05:30:00:795,97,132857,650.0,6166.51,26511,20703,26495,26511
2026-07-15 05:30:01:795,98,133552,695.0,5748.05,17183,14631,17167,17183
2026-07-15 05:30:02:795,99,134232,680.0,5887.98,21327,15527,21311,21327
2026-07-15 05:30:03:795,100,134951,719.0,5560.11,16847,11911,15007,16847
2026-07-15 05:30:04:795,101,135609,658.0,6067.8,18639,15383,17567,18639
2026-07-15 05:30:05:795,102,136296,687.0,5826.77,16927,14727,16815,16927
2026-07-15 05:30:06:795,103,136971,675.0,5928.04,24991,16543,19471,24991
2026-07-15 05:30:07:795,104,137655,684.0,5841.31,25663,14951,25631,25663
2026-07-15 05:30:08:795,105,138337,682.0,5874.72,16343,14159,14431,16343
2026-07-15 05:30:09:795,106,139023,686.0,5814.98,31247,14871,31231,31247
2026-07-15 05:30:10:795,107,139721,698.0,5724.46,23167,14615,23119,23167
2026-07-15 05:30:11:795,108,140435,714.0,5610.3,16335,14871,16311,16335
2026-07-15 05:30:12:795,109,141129,694.0,5755.78,22031,14063,22031,22031
2026-07-15 05:30:13:795,110,141831,702.0,5699.77,14479,14119,14439,14479
2026-07-15 05:30:14:795,111,142507,676.0,5922.0,20575,16351,20559,20575
2026-07-15 05:30:15:795,112,143185,678.0,5839.9,18863,14655,18799,18863
2026-07-15 05:30:16:795,113,143871,686.0,5859.4,22943,13751,22927,22943
2026-07-15 05:30:17:795,114,144556,685.0,5842.79,22063,14639,21983,22063
2026-07-15 05:30:18:795,115,145256,700.0,5695.78,13471,12911,13471,13471
2026-07-15 05:30:19:795,116,145921,665.0,6054.06,21775,15431,18287,21775
2026-07-15 05:30:20:795,117,146609,688.0,5801.84,15807,14975,15799,15807
2026-07-15 05:30:21:795,118,147288,679.0,5895.27,18175,14823,15279,18175
2026-07-15 05:30:22:795,119,147983,695.0,5761.99,23167,14927,23167,23167
2026-07-15 05:30:23:795,120,148661,678.0,5895.86,21231,14863,20927,21231
2026-07-15 05:30:24:795,121,149364,703.0,5685.71,16815,14951,15831,16815
2026-07-15 05:30:25:795,122,150043,679.0,5879.89,20447,15111,20431,20447
2026-07-15 05:30:26:795,123,150726,683.0,5872.32,20591,14839,20559,20591
2026-07-15 05:30:27:795,124,151402,676.0,5898.16,21567,17247,21407,21567
2026-07-15 05:30:28:795,125,152081,679.0,5908.43,22175,16415,21535,22175
2026-07-15 05:30:29:795,126,152754,673.0,5935.3,24927,16335,24879,24927
2026-07-15 05:30:30:795,127,153393,639.0,6161.57,21391,16895,21391,21391
2026-07-15 05:30:31:795,128,153706,313.0,12936.01,28799,24831,28799,28799
2026-07-15 05:30:32:795,129,153974,268.0,14836.07,29631,27135,29631,29631
2026-07-15 05:30:33:795,130,154624,650.0,6202.74,23695,18735,23615,23695
2026-07-15 05:30:34:795,131,155321,697.0,5740.18,21935,14959,21903,21935
2026-07-15 05:30:35:795,132,156020,699.0,5711.84,21935,17983,21919,21935
2026-07-15 05:30:36:795,133,156720,700.0,5724.14,21951,15191,21903,21951
2026-07-15 05:30:37:795,134,157426,706.0,5655.34,15039,14511,15031,15039
2026-07-15 05:30:38:795,135,158115,689.0,5814.36,16431,15663,16415,16431
2026-07-15 05:30:39:795,136,158825,710.0,5633.38,20879,14279,14591,20879
2026-07-15 05:30:40:795,137,159523,698.0,5728.26,21647,13943,21599,21647
2026-07-15 05:30:41:795,138,160231,708.0,5598.92,14671,12031,12503,14671
2026-07-15 05:30:42:795,139,160912,681.0,5924.81,24143,14423,20351,24143
2026-07-15 05:30:43:795,140,161607,695.0,5756.26,21311,15991,17199,21311
2026-07-15 05:30:44:795,141,162297,690.0,5790.53,17151,14735,17135,17151
2026-07-15 05:30:45:795,142,162964,667.0,5994.69,16039,14999,16039,16039
2026-07-15 05:30:46:795,143,163646,682.0,5866.18,18159,14687,18047,18159
2026-07-15 05:30:47:795,144,164336,690.0,5794.46,17519,15855,17247,17519
2026-07-15 05:30:48:795,145,165040,704.0,5676.86,15599,14767,15583,15599
2026-07-15 05:30:49:795,146,165727,687.0,5818.77,18175,15687,18175,18175
2026-07-15 05:30:50:795,147,166419,692.0,5787.51,14711,13583,14703,14711
2026-07-15 05:30:51:795,148,167104,685.0,5840.62,17391,14015,16271,17391
2026-07-15 05:30:52:795,149,167781,677.0,5895.49,17583,16383,17567,17583
2026-07-15 05:30:53:795,150,168465,684.0,5840.07,17151,14839,17151,17151
2026-07-15 05:30:54:795,151,169153,688.0,5819.72,21535,14559,15991,21535
2026-07-15 05:30:55:795,152,169832,679.0,5845.32,21135,14263,21071,21135
2026-07-15 05:30:56:795,153,170522,690.0,5817.42,15303,14903,15287,15303
2026-07-15 05:30:57:795,154,171209,687.0,5842.8,16719,14463,16495,16719
2026-07-15 05:30:58:795,155,171914,705.0,5666.53,15903,15207,15895,15903
2026-07-15 05:30:59:795,156,172611,697.0,5739.07,22751,14679,21007,22751
2026-07-15 05:31:00:795,157,173318,707.0,5657.39,20223,16247,20175,20223
2026-07-15 05:31:01:795,158,174042,724.0,5526.88,14743,14383,14647,14743
2026-07-15 05:31:02:795,159,174717,675.0,5915.08,19903,16175,19903,19903
2026-07-15 05:31:03:795,160,175419,702.0,5704.74,22495,14647,22479,22495
2026-07-15 05:31:04:795,161,175733,314.0,12698.38,36575,31007,36575,36575
2026-07-15 05:31:05:795,162,176424,691.0,5797.97,24591,13775,21535,24591
2026-07-15 05:31:06:795,163,177125,701.0,5706.08,16863,15183,16703,16863
2026-07-15 05:31:07:795,164,177824,699.0,5727.87,14847,14695,14839,14847
2026-07-15 05:31:08:795,165,178534,710.0,5624.25,15023,14247,15015,15023
2026-07-15 05:31:09:795,166,179257,723.0,5548.75,14815,12103,14815,14815
2026-07-15 05:31:10:795,167,179934,677.0,5886.16,20431,14783,16495,20431
2026-07-15 05:31:11:795,168,180630,696.0,5761.99,21759,14719,21711,21759
2026-07-15 05:31:12:795,169,181315,685.0,5826.71,19471,15087,15871,19471
2026-07-15 05:31:13:795,170,181994,679.0,5885.56,22047,16351,22047,22047
2026-07-15 05:31:14:795,171,182691,697.0,5745.83,16239,14239,16231,16239
2026-07-15 05:31:15:795,172,183358,667.0,5997.11,16135,15439,16127,16135
2026-07-15 05:31:16:795,173,184042,684.0,5847.4,15047,14639,15047,15047
2026-07-15 05:31:17:795,174,184752,710.0,5622.62,23919,15479,17711,23919
2026-07-15 05:31:18:795,175,185454,702.0,5706.4,17727,15231,17695,17727
2026-07-15 05:31:19:795,176,186153,699.0,5717.35,20031,15023,19999,20031
2026-07-15 05:31:20:795,177,186853,700.0,5721.37,15247,14879,15239,15247
2026-07-15 05:31:21:795,178,187528,675.0,5916.89,23695,14743,23679,23695
2026-07-15 05:31:22:795,179,188220,692.0,5784.4,16231,14495,16231,16231
2026-07-15 05:31:23:795,180,188930,710.0,5609.94,24111,14071,24095,24111
2026-07-15 05:31:24:795,181,189615,685.0,5855.6,20847,14039,20847,20847
2026-07-15 05:31:25:795,182,190310,695.0,5752.39,15959,14767,15903,15959
2026-07-15 05:31:26:795,183,190982,672.0,5941.29,39647,19519,39583,39647
2026-07-15 05:31:27:795,184,191685,703.0,5699.88,17199,15103,15959,17199
2026-07-15 05:31:28:795,185,192394,709.0,5642.15,19407,14055,19327,19407
2026-07-15 05:31:29:795,186,193107,713.0,5606.2,16879,12575,16863,16879
2026-07-15 05:31:30:795,187,193813,706.0,5667.42,16087,14159,16079,16087
2026-07-15 05:31:31:795,188,194521,708.0,5645.44,22383,13407,20127,22383
2026-07-15 05:31:32:795,189,195190,669.0,5973.86,21023,17007,20975,21023
2026-07-15 05:31:33:795,190,195889,699.0,5722.86,16911,14887,15639,16911
2026-07-15 05:31:34:795,191,196564,675.0,5920.85,16879,14575,16863,16879
2026-07-15 05:31:35:795,192,197202,638.0,6266.05,17311,16239,17247,17311
2026-07-15 05:31:36:795,193,197564,362.0,11068.65,28767,25727,28767,28767
2026-07-15 05:31:37:795,194,198245,681.0,5866.23,20799,17359,20783,20799
2026-07-15 05:31:38:795,195,198952,707.0,5653.16,18191,13439,16151,18191
2026-07-15 05:31:39:795,196,199658,706.0,5669.11,15367,14607,15367,15367
2026-07-15 05:31:40:795,197,200364,706.0,5670.05,15575,14951,15559,15575
2026-07-15 05:31:41:795,198,201042,678.0,5886.55,16375,14831,15119,16375
2026-07-15 05:31:42:795,199,201733,691.0,5792.74,21983,14783,21791,21983
2026-07-15 05:31:43:795,200,202413,680.0,5883.71,24543,19007,24271,24543
