timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784084157,1,1348639,176135,,,
1784084158,2,1349078,176135,439,0,100.00
1784084159,3,1356816,176988,7738,853,90.07
1784084160,4,1363220,177882,6404,894,87.75
1784084161,5,1369645,178656,6425,774,89.25
1784084162,6,1375857,179423,6212,767,89.01
1784084163,7,1381870,180185,6013,762,88.75
1784084164,8,1388148,180987,6278,802,88.67
1784084165,9,1395862,181920,7714,933,89.21
1784084166,10,1404401,182941,8539,1021,89.32
1784084167,11,1422447,185262,18046,2321,88.60
1784084168,12,1441169,187760,18722,2498,88.23
1784084169,13,1458632,190318,17463,2558,87.22
1784084170,14,1475577,192694,16945,2376,87.70
1784084171,15,1493338,195086,17761,2392,88.13
1784084172,16,1510773,197450,17435,2364,88.06
1784084173,17,1527558,199818,16785,2368,87.64
1784084174,18,1544781,202250,17223,2432,87.63
1784084175,19,1562449,204613,17668,2363,88.20
1784084176,20,1580173,206976,17724,2363,88.24
1784084177,21,1597125,209343,16952,2367,87.75
1784084178,22,1614416,211747,17291,2404,87.79
1784084179,23,1631859,214175,17443,2428,87.78
1784084180,24,1649442,216640,17583,2465,87.70
1784084181,25,1667473,219171,18031,2531,87.69
1784084182,26,1684963,221689,17490,2518,87.42
1784084184,28,1702118,224090,17155,2401,87.72
1784084185,29,1718654,226408,16536,2318,87.71
1784084186,30,1721974,226828,3320,420,88.77
1784084187,31,1727264,227564,5290,736,87.79
1784084188,32,1744835,230009,17571,2445,87.78
1784084189,33,1761491,232372,16656,2363,87.58
1784084190,34,1778025,234642,16534,2270,87.93
1784084191,35,1794662,236929,16637,2287,87.91
1784084192,36,1810986,239193,16324,2264,87.82
1784084193,37,1826916,241512,15930,2319,87.29
1784084194,38,1843184,243741,16268,2229,87.95
1784084195,39,1859221,246108,16037,2367,87.14
1784084196,40,1874769,248259,15548,2151,87.85
1784084197,41,1891051,250561,16282,2302,87.61
1784084198,42,1915194,254092,24143,3531,87.24
1784084199,43,1931344,256432,16150,2340,87.34
1784084200,44,1951318,259310,19974,2878,87.41
1784084201,45,1967566,261647,16248,2337,87.43
1784084202,46,1983973,263949,16407,2302,87.70
1784084203,47,2003413,266834,19440,2885,87.08
1784084204,48,2019410,269142,15997,2308,87.39
1784084205,49,2035591,271438,16181,2296,87.57
1784084206,50,2052248,273841,16657,2403,87.39
1784084207,51,2068547,276185,16299,2344,87.43
1784084208,52,2085043,278590,16496,2405,87.28
1784084209,53,2101507,280953,16464,2363,87.45
1784084210,54,2118415,283386,16908,2433,87.42
1784084211,55,2134915,285812,16500,2426,87.18
1784084212,56,2151520,288188,16605,2376,87.48
1784084213,57,2168878,290677,17358,2489,87.46
1784084214,58,2185658,293069,16780,2392,87.52
1784084215,59,2201900,295428,16242,2359,87.32
1784084216,60,2219220,297917,17320,2489,87.44
1784084217,61,2232597,299915,13377,1998,87.00
1784084218,62,2236135,300374,3538,459,88.52
1784084219,63,2238055,300622,1920,248,88.56
1784084220,64,2239844,300856,1789,234,88.43
1784084221,65,2241440,301067,1596,211,88.32
1784084222,66,2245014,301528,3574,461,88.57
1784084223,67,2250393,302269,5379,741,87.89
1784084224,68,2255833,303023,5440,754,87.83
1784084225,69,2261235,303799,5402,776,87.44
1784084226,70,2266787,304620,5552,821,87.12
1784084227,71,2272387,305425,5600,805,87.43
1784084228,72,2278081,306204,5694,779,87.97
1784084229,73,2283650,306991,5569,787,87.62
1784084230,74,2289263,307779,5613,788,87.69
1784084231,75,2294691,308560,5428,781,87.42
1784084232,76,2300142,309335,5451,775,87.55
1784084233,77,2305549,310109,5407,774,87.48
