timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 05:06:07:998,1,638,638.0,5859.51,18831,12631,18719,18831
2026-07-15 05:06:08:998,2,1341,703.0,5689.3,14631,12191,13263,14631
2026-07-15 05:06:09:998,3,2206,865.0,4617.2,12375,11487,12375,12375
2026-07-15 05:06:10:998,4,3158,952.0,4195.24,11543,10455,11519,11543
2026-07-15 05:06:11:998,5,4130,972.0,4103.15,12023,10119,11935,12023
2026-07-15 05:06:12:998,6,6280,2150.0,1856.4,8055,4807,8019,8055
2026-07-15 05:06:13:998,7,8423,2143.0,1863.92,10887,4899,7995,10887
2026-07-15 05:06:14:998,8,10527,2104.0,1898.68,13215,7883,13079,13215
2026-07-15 05:06:15:998,9,12443,1916.0,2084.45,49983,9335,49055,49983
2026-07-15 05:06:16:998,10,14508,2065.0,1935.1,25151,9359,16783,25151
2026-07-15 05:06:17:998,11,16538,2030.0,1959.41,17039,8007,16991,17039
2026-07-15 05:06:18:998,12,18623,2085.0,1924.05,18399,10335,16703,18399
2026-07-15 05:06:19:998,13,20622,1999.0,1999.64,16175,8043,12767,16175
2026-07-15 05:06:20:998,14,22689,2067.0,1932.3,19215,9455,17375,19215
2026-07-15 05:06:21:998,15,24713,2024.0,1974.25,16783,9263,16607,16783
2026-07-15 05:06:22:998,16,26804,2091.0,1911.03,16927,9599,16911,16927
2026-07-15 05:06:23:998,17,28812,2008.0,1988.51,22479,9007,18943,22479
2026-07-15 05:06:24:998,18,30959,2147.0,1860.93,15111,5255,14639,15111
2026-07-15 05:06:25:998,19,32843,1884.0,2120.5,16023,9647,15895,16023
2026-07-15 05:06:26:998,20,34934,2091.0,1911.48,19055,7547,19023,19055
2026-07-15 05:06:27:998,21,37007,2073.0,1927.84,17503,8479,15735,17503
2026-07-15 05:06:28:998,22,38972,1965.0,2028.37,18175,9295,16511,18175
2026-07-15 05:06:29:998,23,41015,2043.0,1958.93,14319,7903,14303,14319
2026-07-15 05:06:30:998,24,43136,2121.0,1883.83,14423,7355,14391,14423
2026-07-15 05:06:31:998,25,45145,2009.0,1989.56,16271,7963,14511,16271
2026-07-15 05:06:32:998,26,47264,2119.0,1885.33,19375,8599,19359,19375
2026-07-15 05:06:33:998,27,49227,1963.0,2034.99,31119,11343,30367,31119
2026-07-15 05:06:35:817,28,51266,1120.95,1958.35,16495,8067,16463,16495
2026-07-15 05:06:36:817,29,53381,2115.0,1889.29,17663,6831,17615,17663
2026-07-15 05:06:37:817,30,55470,2089.0,1910.52,14423,8927,14175,14423
2026-07-15 05:06:38:817,31,57465,1995.0,2002.9,13807,7983,13495,13807
2026-07-15 05:06:39:817,32,59553,2088.0,1915.95,13823,7803,13815,13823
2026-07-15 05:06:40:817,33,61608,2055.0,1944.77,14591,7943,14575,14591
2026-07-15 05:06:41:817,34,63645,2037.0,1960.01,14207,9063,14119,14207
2026-07-15 05:06:42:817,35,64485,840.0,4714.58,20655,18687,20607,20655
2026-07-15 05:06:43:817,36,64825,340.0,11777.75,23775,19519,23775,23775
2026-07-15 05:06:44:817,37,65153,328.0,12262.18,23199,21599,23199,23199
2026-07-15 05:06:45:817,38,65656,503.0,7945.4,28255,23279,25343,28255
2026-07-15 05:06:46:817,39,67808,2152.0,1857.75,14303,6499,12479,14303
2026-07-15 05:06:47:817,40,69905,2097.0,1906.44,13031,7775,11623,13031
2026-07-15 05:06:48:817,41,71553,1648.0,2417.99,22383,11159,22367,22383
