t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
39363.802887488,0.003723959998751525,1784083591.9153094,,,,,,,,,,,,,,,0.0,30457155584,0,1347584,0,0.0,0.0,0.0,0.0,0.0,90958008,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.1,5.52,6.1,3016521776,2.08,5.46,6.01,2956784180
39364.803557152,1.0043936240035691,1784083592.9159796,70580,0.0,59695104,0,0,,,,,,,,,,6.2,30412201984,0,2502656,0,0.0,1309842.8453944714,0.0,0.0,0.0,90966082,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.1,5.52,6.1,3016523050,2.08,5.46,6.01,2956785448
39365.804480297,2.0053167690057307,1784083593.9169023,70580,99.9,59703296,0,0,0.0,0.0,,,,,,,,6.2,30411706368,0,2494464,4096,0.0,8184.444570898906,0.0,0.0,0.0,90966659,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.72,5.34,6.06,3016523050,1.7,5.28,5.97,2956785448
39366.805173819,3.0060102909992565,1784083594.9175959,70580,99.9,59711488,0,0,0.0,0.0,,,,,,,,6.4,30410960896,0,2494464,4096,0.0,0.0,0.0,0.0,0.0,90966680,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.72,5.34,6.06,3016523050,1.7,5.28,5.97,2956785448
39367.805886865,4.00672333699913,1784083595.918309,70580,98.9,59719680,0,0,0.0,0.0,,,,,,,,6.3,30412238848,0,2494464,0,0.0,0.0,0.0,0.0,0.0,90966836,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.4,5.16,6.01,3016523050,1.39,5.1,5.93,2956785448
39368.806710144,5.007546616005129,1784083596.9191322,70580,100.9,59727872,0,0,0.0,0.0,,,,,,,,6.2,30412238848,0,2494464,0,0.0,0.0,0.0,0.0,0.0,90966877,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.4,5.16,6.01,3016523050,1.39,5.1,5.93,2956785448
39369.807398638,6.008235109999077,1784083597.9198215,70580,109.9,533782528,32768,0,32745.45495093718,0.0,,,,,,,,6.8,29935673344,0,2502656,0,32745.45495093718,32745.45495093718,0.0,0.0,0.0,90969738,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.15,4.99,5.97,3016524734,1.14,4.94,5.89,2956787129
39370.808310273,7.009146745003818,1784083598.9207332,70580,47.0,587206656,61440,733184,28645.885408120168,732516.2125790728,,,,,,,,2.9,29878919168,0,1146880,0,28645.885408120168,2136164.597576961,0.0,0.0,0.0,90970412,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.15,4.99,5.97,3016530449,1.14,4.94,5.89,2956792756
39371.809112833,8.009949305000191,1784083599.9215353,70580,127.9,681795584,102400,11747328,40927.15350383241,11005311.577180535,,,,,,,,8.0,29782839296,0,446464,0,40927.15350383241,7804808.17318084,0.0,0.0,0.0,90971359,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.94,4.83,5.93,3016535430,0.93,4.78,5.85,2956796228
39372.809938697,9.010775169001136,1784083600.9223611,70580,38.0,728125440,180224,13201408,77759.78099615396,1452880.1186123502,,,,,,,,2.2,29738463232,0,1024000,0,77759.78099615396,1223693.3956763174,0.0,0.0,0.0,90971898,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.94,4.83,5.93,3016537528,0.93,4.78,5.85,2956798303
39373.810786235,10.01162270700297,1784083601.9232092,70580,15.0,795979776,487424,17539072,306939.8568070781,4333990.778115943,,,,,,,,0.9,29675446272,0,1441792,0,306939.8568070781,3404986.14484652,0.0,0.0,0.0,90972463,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.95,4.7,5.9,3016567792,0.94,4.65,5.82,2956828225
39374.811655796,11.01249226800428,1784083602.9240777,70580,3.0,796049408,499712,19181568,12277.324117746775,1641068.9904054855,,,,,,,,0.2,29675696128,0,1048576,65536,12277.324117746775,994463.2535374888,0.0,0.0,0.0,90972758,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.95,4.7,5.9,3016576995,0.94,4.65,5.82,2956837394
39375.812312424,12.013148896003258,1784083603.9247355,70580,60.0,932921344,1888256,22859776,1387632.841424019,3675794.370497844,,,,,,,,3.8,29535805440,0,1392640,0,1387632.841424019,2537853.5742858164,0.0,0.0,0.0,90973781,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.96,4.58,5.86,3016586123,0.95,4.53,5.78,2956846386
39376.813343371,13.014179843004968,1784083604.9257665,70580,62.9,972845056,2404352,34000896,515564.4803448008,11129645.924903637,,,,,,,,3.6,29501480960,0,1130496,65536,515564.4803448008,6612319.049501572,0.0,0.0,0.0,90975407,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,0.96,4.58,5.86,3016648284,0.95,4.53,5.78,2956907226
39377.814043466,14.014879938004015,1784083605.9264665,70580,37.0,993816576,2469888,45371392,65490.15067302698,11362541.14177018,,,,,,,,2.1,29478891520,0,1466368,0,65490.15067302698,6520363.126383249,0.0,0.0,0.0,90976865,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.51,4.56,5.85,3016714786,1.5,4.51,5.77,2956973027
39378.814844114,15.015680586002418,1784083606.9272676,70580,37.0,1014788096,2568192,57233408,98225.35606527388,11852526.298543049,,,,,,,,2.3,29457596416,0,1384448,0,98225.35606527388,6798013.1843508305,0.0,0.0,0.0,90978286,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,1.51,4.56,5.85,3016781355,1.5,4.51,5.77,2957038746
39379.815728704,16.016565176003496,1784083607.9281516,70580,40.0,1039953920,2699264,71897088,130956.15749250249,14650720.119473716,,,,,,,,2.3,29440401408,0,1482752,0,130956.15749250249,8287069.341322424,0.0,0.0,0.0,90979843,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.32,4.61,5.85,3016848413,2.32,4.56,5.77,2957105111
39380.81652704,17.017363512000884,1784083608.92895,70580,79.9,1109159936,3039232,105926656,339696.80781012744,34002422.642006494,,,,,,,,4.2,29369462784,0,1196032,0,339696.80781012744,18462316.867849216,0.0,0.0,0.0,90982189,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.32,4.61,5.85,3016906143,2.32,4.56,5.77,2957161516
39381.817322799,18.018159270999604,1784083609.9297457,70580,92.9,1195143168,3538944,139063296,499314.6658614479,33110292.187041912,,,,,,,,4.9,29278081024,0,1032192,0,499314.6658614479,18544219.27064115,0.0,0.0,0.0,90984641,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.81,4.62,5.85,3016959542,2.8,4.58,5.77,2957213727
39382.81828829,19.01912476200232,1784083610.930711,70580,66.9,1241280512,3813376,172863488,274167.2939444575,33767589.69596512,,,,,,,,3.0,29231702016,0,1597440,0,274167.2939444575,18876622.790534064,0.0,0.0,0.0,90986880,0.0,0.0,0.0,0,0.0,0.0,0.0,3443661,0.0,0.0,0.0,3440134,2.81,4.62,5.85,3017020331,2.8,4.58,5.77,2957273704
