run,ssh_ready,postgres_ready,benchmark_start,destination_boot,migration_start,migration_end,benchmark_end
1,13.386840612001834,13.557728596002562,13.993520783002168,163.99359733000165,164.09533861800082,178.39530063500206,263.1542353460027
2,12.336523207002756,12.486317984003108,12.920201028002339,162.92026396500296,163.02199441300036,177.3013009180031,264.28052088200275
3,11.196376644998963,11.350380253999901,11.782907740001974,161.78298211700167,161.88506378199963,175.9673697870021,263.0936807350008
4,13.451436290000856,13.604928573000507,14.038478120000946,164.03854107900042,164.1403707160025,178.2179220979997,263.08112008399985
5,13.537698100000853,13.68529862700234,14.111066065001069,164.1111406529999,164.21338251600173,178.28714227599994,265.3717933150001
6,13.433873261001281,13.586789439999848,14.018800650999765,164.01886405999903,164.12094628400155,178.41378884300138,256.63700429899836
7,11.283748994999769,11.43586010099898,11.846829874997638,161.84690022099676,161.9487034479971,176.02236875799645,267.5104456129993
8,11.186114220003219,11.334839967003063,11.764108493000094,161.7641685200033,161.86601103700013,175.93457305999982,263.0202711490019
9,13.095004015998711,13.24415400900034,13.686132629001804,163.6861964560012,163.7878992340011,178.06009224599984,258.4410944379997
10,13.479267164999328,13.621087524999894,14.03893106599935,164.039004733997,164.14077479799744,178.2130343309982,265.17748813199796
