timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784068725,1,82515,1594,,,
1784068726,2,82871,1669,356,75,82.60
1784068727,3,91652,3016,8781,1347,86.70
1784068728,4,99392,4199,7740,1183,86.74
1784068729,5,107083,5328,7691,1129,87.20
1784068730,6,114731,6439,7648,1111,87.32
1784068731,7,129778,8471,15047,2032,88.10
1784068732,8,146649,10691,16871,2220,88.37
1784068733,9,164125,12831,17476,2140,89.09
1784068734,10,182267,14928,18142,2097,89.64
1784068735,11,199160,16829,16893,1901,89.89
1784068736,12,215772,18626,16612,1797,90.24
1784068737,13,232851,20538,17079,1912,89.93
1784068738,14,249499,22242,16648,1704,90.71
1784068739,15,266381,23961,16882,1719,90.76
1784068740,16,284899,25999,18518,2038,90.09
1784068741,17,302522,27956,17623,1957,90.01
1784068742,18,320195,29864,17673,1908,90.26
1784068743,19,338803,31862,18608,1998,90.30
1784068744,20,356717,33864,17914,2002,89.95
1784068745,21,373825,35718,17108,1854,90.22
1784068746,22,391872,37740,18047,2022,89.92
1784068747,23,409079,39575,17207,1835,90.36
1784068748,24,426517,41480,17438,1905,90.15
1784068749,25,444793,43591,18276,2111,89.65
1784068751,27,468030,46241,23237,2650,89.76
1784068752,28,485763,48282,17733,2041,89.68
1784068753,29,503208,50261,17445,1979,89.81
1784068754,30,520832,52297,17624,2036,89.64
1784068755,31,538880,54398,18048,2101,89.57
1784068756,32,556489,56499,17609,2101,89.34
1784068757,33,573450,58398,16961,1899,89.93
1784068758,34,576491,58742,3041,344,89.84
1784068759,35,579351,59044,2860,302,90.45
1784068760,36,582258,59352,2907,308,90.42
1784068761,37,596340,60986,14082,1634,89.60
1784068762,38,614971,63160,18631,2174,89.55
1784068763,39,632490,65319,17519,2159,89.03
1784068764,40,650651,67482,18161,2163,89.36
1784068765,41,668718,69646,18067,2164,89.30
1784068766,42,686712,71799,17994,2153,89.31
1784068767,43,705182,74037,18470,2238,89.19
1784068768,44,723114,76230,17932,2193,89.10
1784068769,45,741378,78415,18264,2185,89.31
1784068770,46,754585,80015,13207,1600,89.19
1784068771,47,762813,80999,8228,984,89.32
1784068772,48,770796,81922,7983,923,89.64
1784068773,49,777030,82663,6234,741,89.38
1784068774,50,783288,83381,6258,718,89.71
1784068775,51,789547,84087,6259,706,89.86
1784068776,52,795703,84818,6156,731,89.39
1784068777,53,801697,85547,5994,729,89.16
1784068778,54,807436,86224,5739,677,89.45
1784068779,55,813318,86936,5882,712,89.20
1784068780,56,819261,87657,5943,721,89.18
1784068781,57,824982,88313,5721,656,89.71
1784068782,58,831046,89031,6064,718,89.41
1784068783,59,837189,89782,6143,751,89.11
1784068784,60,843125,90506,5936,724,89.13
1784068785,61,848938,91212,5813,706,89.17
1784068786,62,854835,91898,5897,686,89.58
1784068787,63,860654,92570,5819,672,89.65
1784068788,64,866565,93289,5911,719,89.16
1784068789,65,872144,93931,5579,642,89.68
1784068790,66,878153,94643,6009,712,89.41
1784068791,67,884287,95323,6134,680,90.02
1784068792,68,886616,95574,2329,251,90.27
1784068793,69,888498,95766,1882,192,90.74
1784068794,70,890311,95958,1813,192,90.42
1784068795,71,892903,96253,2592,295,89.78
1784068796,72,898912,96928,6009,675,89.90
1784068797,73,904711,97681,5799,753,88.51
1784068798,74,910659,98395,5948,714,89.28
1784068799,75,916478,99095,5819,700,89.26
1784068800,76,922257,99770,5779,675,89.54
1784068801,77,928242,100522,5985,752,88.84
1784068802,78,934225,101252,5983,730,89.13
1784068803,79,940030,101966,5805,714,89.05
1784068804,80,945934,102691,5904,725,89.06
1784068805,81,951860,103378,5926,687,89.61
1784068806,82,957730,104090,5870,712,89.18
1784068807,83,963640,104835,5910,745,88.81
1784068808,84,969618,105561,5978,726,89.17
1784068809,85,975436,106272,5818,711,89.11
1784068810,86,981346,106989,5910,717,89.18
1784068811,87,987388,107736,6042,747,89.00
1784068812,88,993330,108484,5942,748,88.82
1784068813,89,999183,109235,5853,751,88.63
1784068814,90,1004986,109952,5803,717,89.00
1784068815,91,1010780,110694,5794,742,88.65
1784068816,92,1016487,111427,5707,733,88.62
1784068817,93,1022327,112109,5840,682,89.54
1784068818,94,1028088,112822,5761,713,88.99
1784068819,95,1033965,113533,5877,711,89.21
1784068820,96,1039273,114153,5308,620,89.54
1784068821,97,1045954,114997,6681,844,88.78
1784068822,98,1051867,115716,5913,719,89.16
1784068823,99,1057772,116464,5905,748,88.76
1784068824,100,1063650,117195,5878,731,88.94
1784068825,101,1069467,117913,5817,718,89.01
1784068826,102,1074053,118468,4586,555,89.20
1784068827,103,1075973,118689,1920,221,89.68
1784068828,104,1081111,119330,5138,641,88.91
1784068829,105,1086898,120038,5787,708,89.10
1784068830,106,1092638,120740,5740,702,89.10
