timestamp,elapsed_sec,total_operations,current_ops_per_sec,avg_latency_us,max_latency_us,p99_latency_us,p999_latency_us,p9999_latency_us
2026-07-15 00:06:49:544,1,553,553.0,6697.73,30079,15575,30031,30079
2026-07-15 00:06:50:544,2,1272,719.0,5552.31,17583,13527,15879,17583
2026-07-15 00:06:51:544,3,1992,720.0,5541.07,15103,13391,15087,15103
2026-07-15 00:06:52:544,4,2727,734.27,5443.78,20015,13271,16039,20015
2026-07-15 00:06:53:544,5,3927,1201.2,3333.6,15047,12039,13175,15047
2026-07-15 00:06:54:544,6,5642,1715.0,2328.19,9191,5659,7991,9191
2026-07-15 00:06:55:544,7,7332,1690.0,2363.98,12199,8039,11967,12199
2026-07-15 00:06:56:544,8,9042,1710.0,2336.36,16183,5943,12639,16183
2026-07-15 00:06:57:544,9,10814,1772.0,2255.92,9071,5859,8103,9071
2026-07-15 00:06:58:544,10,12417,1603.0,2491.75,52703,16543,46399,52703
2026-07-15 00:06:59:544,11,14041,1624.0,2461.13,22271,12087,19695,22271
2026-07-15 00:07:00:544,12,15765,1724.0,2318.13,19215,11583,19167,19215
2026-07-15 00:07:01:544,13,17554,1789.0,2223.74,20815,11431,20799,20815
2026-07-15 00:07:02:544,14,19393,1839.0,2182.81,16655,8927,14871,16655
2026-07-15 00:07:03:544,15,21245,1852.0,2157.62,16007,9079,14911,16007
2026-07-15 00:07:04:544,16,23090,1845.0,2159.17,18879,11247,18735,18879
2026-07-15 00:07:05:544,17,24891,1801.0,2225.27,20527,11639,19295,20527
2026-07-15 00:07:06:544,18,26725,1834.0,2178.97,20319,10959,17999,20319
2026-07-15 00:07:07:544,19,28668,1943.0,2055.75,17487,9263,17199,17487
2026-07-15 00:07:08:544,20,30522,1854.0,2154.09,20223,8167,20079,20223
2026-07-15 00:07:09:544,21,32339,1817.0,2202.04,16559,11015,16127,16559
2026-07-15 00:07:10:544,22,34269,1930.0,2069.51,18111,9839,16095,18111
2026-07-15 00:07:11:544,23,36145,1876.0,2129.75,20991,9471,16991,20991
2026-07-15 00:07:12:544,24,38018,1873.0,2119.31,22383,10015,17151,22383
2026-07-15 00:07:13:544,25,39963,1945.0,2068.13,16095,8079,15879,16095
2026-07-15 00:07:14:544,26,41732,1769.0,2258.69,33855,12655,33023,33855
2026-07-15 00:07:15:544,27,43511,1779.0,2246.88,17839,12647,17407,17839
