scenario                           , run, kind     , threads, workload    , timed_workload, operation_count_configured, read_proportion, update_proportion, postcopy_delay_s, guest_memory_gib, valid_primary, exclusion_reason                                                            , ycsb_operation_count_ok, ycsb_total_operations, benchmark_runtime_host_s, benchmark_runtime_ycsb_s, steady_throughput_ops_s, steady_avg_latency_ms, steady_p99_latency_ms, pgstats_available, steady_buffer_hit_pct, postgres_log_available, migration_completed, migration_status, migration_start_run_s, migration_end_run_s, migration_start_ycsb_s, migration_end_ycsb_s, migration_duration_event_s, migration_duration_qmp_s, migration_downtime_ms, pre_throughput_ops_s, during_throughput_ops_s, pre_throttle_10s_throughput_ops_s, throttled_throughput_ops_s, post_0_10_throughput_ops_s, post_10_30_throughput_ops_s, post_30_90_throughput_ops_s, total_transferred_gib, precopy_transferred_gib, postcopy_transferred_gib, downtime_transferred_gib, transfer_amplification, median_active_dirty_pages_s, median_active_dirty_mib_s, active_dirty_sample_count, median_active_transfer_mib_s, active_transfer_sample_count, qemu_completed_transfer_rate_mib_s, dirty_sync_count, postcopy_page_requests, postcopy_remote_fault_count, postcopy_blocktime_ms, postcopy_latency_ms, entered_postcopy, max_cpu_throttle_pct, throttle_start_after_migration_s, throttle_active_observed_span_s, throttle_active_until_migration_end_s, max_throttle_first_after_migration_s, max_throttle_observed_span_s, migration_end_minus_benchmark_end_s, migration_completed_before_benchmark_end, pre_avg_latency_ms  , pre_p99_latency_ms  , during_avg_latency_ms, during_p99_latency_ms, post_0_10_avg_latency_ms, post_0_10_p99_latency_ms, post_30_90_avg_latency_ms, post_30_90_p99_latency_ms, post_30_90_observed_samples, post_30_90_observed_duration_s, post_30_90_complete, pre_buffer_hit_pct, post_0_10_buffer_hit_pct, post_buffer_hit_pct, hugepages_available, hugepages_t0_available, hugepages_t10_available, hugepages_t40_available, hugepages_t100_available, rss_t0_mib   , anon_hugepages_t0_mib, anon_hugepages_t0_pct_rss, rss_t10_mib  , anon_hugepages_t10_mib, anon_hugepages_t10_pct_rss, rss_t40_mib  , anon_hugepages_t40_mib, anon_hugepages_t40_pct_rss, rss_t100_mib , anon_hugepages_t100_mib, anon_hugepages_t100_pct_rss, service_interruption_s, stopcopy_operations_before_pause, post_resume_host_throughput_ops_s, source_ycsb_total_operations, destination_ycsb_total_operations, source_shutdown_duration_s, destination_boot_to_postgres_s, destination_ready_to_benchmark_s, control_plane_service_gap_s, observed_service_gap_s, prepared_boot_throughput_ops_s, prepared_catchup_throughput_ops_s, prepared_boot_phase_duration_s, prepared_catchup_duration_s, prepared_preparation_duration_s, prepared_lag_at_shutdown_mib, prepared_shutdown_duration_s, prepared_replay_drain_s, prepared_promotion_duration_s, prepared_promotion_to_benchmark_s, prepared_handover_duration_s, destination_boot_to_ssh_s, source_active_at_shutdown, prepared_source_alone_disk_write_mib_s, prepared_boot_disk_write_mib_s, prepared_catchup_disk_write_mib_s, prepared_source_alone_io_full_avg10_pct, prepared_boot_io_full_avg10_pct, prepared_catchup_io_full_avg10_pct, builder_version    , input_fingerprint_sha256
Baseline_4T                        ,   1, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       335.680161612     ,                    335.0,       626.6454545454545,   6.638919545454544  ,  23.044090909090908  , True             ,     88.44842513238024, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   2, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       315.80062905299997,                    315.0,       649.5272727272727,   6.416571909090909  ,  18.862963636363634  , True             ,     88.32513642265049, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   3, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       313.62344181000003,                    313.0,       651.025          ,   6.373735045454545  ,  18.353              , True             ,     88.40573434466407, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   4, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       315.68302743699996,                    314.0,       651.8863636363636,   6.374370363636364  ,  18.09369090909091   , True             ,     88.35303157556154, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   5, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       311.40435312399995,                    310.0,       654.4409090909091,   6.334470818181819  ,  18.27830909090909   , True             ,     88.3691965157169 , True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   6, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       313.53761431099997,                    312.0,       654.9772727272727,   6.315238090909091  ,  18.271509090909092  , True             ,     88.33655421435499, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   7, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       313.59297699899975,                    312.0,       652.2272727272727,   6.379616590909091  ,  18.262127272727273  , True             ,     88.30532371654078, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   8, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       311.65810110299986,                    312.0,       655.4454545454546,   6.326688           ,  18.1078             , True             ,     88.30641841928222, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,   9, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       311.35292705300026,                    311.0,       655.8454545454546,   6.370122636363637  ,  18.1202             , True             ,     88.3223813639048 , True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
Baseline_4T                        ,  10, baseline ,       4, 100% updates, False         ,                   250000.0,             0.0,               1.0,                 ,              8.0, True         ,                                                                             , True                   ,              250000.0,       315.9267549450001 ,                    314.0,       651.9681818181818,   6.388612000000001  ,  18.495327272727273  , True             ,     88.36530400343915, True                  ,                    ,                 ,                      ,                    ,                       ,                     ,                           ,                         ,                      ,                     ,                        ,                                  ,                           ,                           ,                            ,                            ,                      ,                        ,                         ,                         ,                       ,                            ,                          ,                          ,                             ,                             ,                                   ,                 ,                       ,                            ,                      ,                    ,                 ,                     ,                                 ,                                ,                                      ,                                     ,                             ,                                    ,                                         ,                     ,                     ,                      ,                      ,                         ,                         ,                          ,                          ,                            ,                               ,                    ,                   ,                         ,                    ,                    ,                       ,                        ,                        ,                         ,              ,                      ,                          ,              ,                       ,                           ,              ,                       ,                           ,              ,                        ,                            ,                       ,                                 ,                                  ,                             ,                                  ,                           ,                               ,                                 ,                            ,                       ,                               ,                                  ,                               ,                            ,                                ,                             ,                             ,                        ,                              ,                                  ,                             ,                          ,                          ,                                       ,                               ,                                  ,                                        ,                                ,                                   , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c
