scenario                           , metric                                 , definition                                                                                                         , unit        , n , mean                , std                   , median              , q1                  , q3                  , min                 , max                 , method_note                                                                                                                                                                                                                                                                                                                        , builder_version    , input_fingerprint_sha256                                        , statistical_unit, aggregation_method
Baseline_4T                        , threads                                , Configured YCSB worker-thread count.                                                                               , threads     , 10, 4.0                 , 0.0                   , 4.0                 , 4.0                 , 4.0                 , 4.0                 , 4.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , operation_count_configured             , Configured YCSB operation count.                                                                                   , operations  , 10, 250000.0            , 0.0                   , 250000.0            , 250000.0            , 250000.0            , 250000.0            , 250000.0            ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , read_proportion                        , Configured YCSB read-operation proportion.                                                                         , proportion  , 10, 0.0                 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                 , 0.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , update_proportion                      , Configured YCSB update-operation proportion.                                                                       , proportion  , 10, 1.0                 , 0.0                   , 1.0                 , 1.0                 , 1.0                 , 1.0                 , 1.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , guest_memory_gib                       , Configured guest memory.                                                                                           , GiB         , 10, 8.0                 , 0.0                   , 8.0                 , 8.0                 , 8.0                 , 8.0                 , 8.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , ycsb_total_operations                  , Maximum cumulative YCSB operation count.                                                                           , operations  , 10, 250000.0            , 0.0                   , 250000.0            , 250000.0            , 250000.0            , 250000.0            , 250000.0            ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , benchmark_runtime_host_s               , Host-side interval from benchmark start to benchmark end.                                                          , s           , 10, 315.8259987447      , 7.19740738027592      , 313.6082094044999   , 312.1279794049999   , 315.77122864899997  , 311.35292705300026  , 335.680161612       ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , benchmark_runtime_ycsb_s               , Maximum YCSB elapsed time in the workload CSV.                                                                     , s           , 10, 314.8               , 7.254117604658904     , 312.5               , 312.0               , 314.0               , 310.0               , 335.0               ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , steady_throughput_ops_s                , Mean throughput in the scenario-specific baseline steady-state window.                                             , operations/s, 10, 650.3988636363636   , 8.60121470816321      , 652.0977272727273   , 651.240340909091    , 654.8431818181818   , 626.6454545454545   , 655.8454545454546   , "Scenario window (80, 300] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , steady_avg_latency_ms                  , Mean reported average latency in the fixed baseline steady-state window.                                           , ms          , 10, 6.3918345           , 0.09209191096131024   , 6.374052704545454   , 6.3433837727272735  , 6.386363147727273   , 6.315238090909091   , 6.638919545454544   , "Scenario window (80, 300] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , steady_p99_latency_ms                  , Mean reported p99 latency in the fixed baseline steady-state window.                                               , ms          , 10, 18.78890181818182   , 1.5124882870710394    , 18.27490909090909   , 18.15568181818182   , 18.459745454545455  , 18.09369090909091   , 23.044090909090908  , "Scenario window (80, 300] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_4T                        , steady_buffer_hit_pct                  , Pooled PostgreSQL buffer-hit ratio in the fixed baseline steady-state window.                                      , %           , 10, 88.35375057084953   , 0.0456096546810504    , 88.34479289495826   , 88.32307012859121   , 88.36822338764746   , 88.30532371654078   , 88.44842513238024   , "Scenario window (80, 300] s of YCSB elapsed time. PostgreSQL hit/read deltas are pooled within each run before scenario aggregation."                                                                                                                                                                                             , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , threads                                , Configured YCSB worker-thread count.                                                                               , threads     , 10, 16.0                , 0.0                   , 16.0                , 16.0                , 16.0                , 16.0                , 16.0                ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , operation_count_configured             , Configured YCSB operation count.                                                                                   , operations  , 10, 500000.0            , 0.0                   , 500000.0            , 500000.0            , 500000.0            , 500000.0            , 500000.0            ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , read_proportion                        , Configured YCSB read-operation proportion.                                                                         , proportion  , 10, 0.0                 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                 , 0.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , update_proportion                      , Configured YCSB update-operation proportion.                                                                       , proportion  , 10, 1.0                 , 0.0                   , 1.0                 , 1.0                 , 1.0                 , 1.0                 , 1.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , guest_memory_gib                       , Configured guest memory.                                                                                           , GiB         , 10, 8.0                 , 0.0                   , 8.0                 , 8.0                 , 8.0                 , 8.0                 , 8.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , ycsb_total_operations                  , Maximum cumulative YCSB operation count.                                                                           , operations  , 10, 500000.0            , 0.0                   , 500000.0            , 500000.0            , 500000.0            , 500000.0            , 500000.0            ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , benchmark_runtime_host_s               , Host-side interval from benchmark start to benchmark end.                                                          , s           , 10, 190.30523014949995  , 5.937071632924125     , 187.6996092190002   , 184.9658486087494   , 196.92627542025005  , 184.28122452499974  , 197.6213975619994   ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , benchmark_runtime_ycsb_s               , Maximum YCSB elapsed time in the workload CSV.                                                                     , s           , 10, 189.1               , 5.685263601823773     , 186.0               , 184.25              , 194.5               , 184.0               , 197.0               ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , steady_throughput_ops_s                , Mean throughput in the scenario-specific baseline steady-state window.                                             , operations/s, 10, 2089.37883          , 22.64385713207645     , 2088.355            , 2073.1175000000003  , 2101.5188749999998  , 2062.86             , 2136.78             , "Scenario window (80, 180] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , steady_avg_latency_ms                  , Mean reported average latency in the fixed baseline steady-state window.                                           , ms          , 10, 8.023637060000002   , 0.30887816642652455   , 7.844265849999999   , 7.80736735          , 8.256047475         , 7.7483284999999995  , 8.633597000000002   , "Scenario window (80, 180] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , steady_p99_latency_ms                  , Mean reported p99 latency in the fixed baseline steady-state window.                                               , ms          , 10, 24.950448           , 1.6975075699834485    , 25.97612            , 23.19578            , 26.14604            , 22.69148            , 26.73036            , "Scenario window (80, 180] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T                       , steady_buffer_hit_pct                  , Pooled PostgreSQL buffer-hit ratio in the fixed baseline steady-state window.                                      , %           , 10, 85.80759930004784   , 0.15706009590332923   , 85.76068170015988   , 85.67989662417237   , 85.95006249585812   , 85.5938427512532    , 86.0399473950349    , "Scenario window (80, 180] s of YCSB elapsed time. PostgreSQL hit/read deltas are pooled within each run before scenario aggregation."                                                                                                                                                                                             , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , threads                                , Configured YCSB worker-thread count.                                                                               , threads     , 10, 16.0                , 0.0                   , 16.0                , 16.0                , 16.0                , 16.0                , 16.0                ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , operation_count_configured             , Configured YCSB operation count.                                                                                   , operations  , 10, 2147483647.0        , 0.0                   , 2147483647.0        , 2147483647.0        , 2147483647.0        , 2147483647.0        , 2147483647.0        ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , read_proportion                        , Configured YCSB read-operation proportion.                                                                         , proportion  , 10, 1.0                 , 0.0                   , 1.0                 , 1.0                 , 1.0                 , 1.0                 , 1.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , update_proportion                      , Configured YCSB update-operation proportion.                                                                       , proportion  , 10, 0.0                 , 0.0                   , 0.0                 , 0.0                 , 0.0                 , 0.0                 , 0.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , guest_memory_gib                       , Configured guest memory.                                                                                           , GiB         , 10, 8.0                 , 0.0                   , 8.0                 , 8.0                 , 8.0                 , 8.0                 , 8.0                 ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , ycsb_total_operations                  , Maximum cumulative YCSB operation count.                                                                           , operations  , 10, 34683257.2          , 323040.1353687598     , 34567735.5          , 34470601.25         , 34789061.25         , 34430214.0          , 35500267.0          ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , benchmark_runtime_host_s               , Host-side interval from benchmark start to benchmark end.                                                          , s           , 10, 201.52732087510012  , 0.83568534599727      , 201.8282156705004   , 201.6535626879995   , 202.06473171900006  , 199.79861909500053  , 202.13105237800028  ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , benchmark_runtime_ycsb_s               , Maximum YCSB elapsed time in the workload CSV.                                                                     , s           , 10, 199.4               , 0.5163977794943222    , 199.0               , 199.0               , 200.0               , 199.0               , 200.0               ,                                                                                                                                                                                                                                                                                                                                    , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , steady_throughput_ops_s                , Mean throughput in the scenario-specific baseline steady-state window.                                             , operations/s, 10, 176418.46824        , 1614.4065406676993    , 175801.02500000002  , 175386.6845         , 176857.17715        , 175214.72           , 180553.01           , "Scenario window (80, 180] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
Baseline_16T_OnlyReads             , steady_avg_latency_ms                  , Mean reported average latency in the fixed baseline steady-state window.                                           , ms          , 10, 0.08993765000000001 , 0.0008099157970636965 , 0.09025535          , 0.08970302500000002 , 0.09045054999999999 , 0.08788600000000002 , 0.09056580000000003 , "Scenario window (80, 180] s of YCSB elapsed time."                                                                                                                                                                                                                                                                                , 2026-07-21-final-v2, 7b04743fd3a5482acb5a3b5886c9cf8f78bdf897348a36733df3e0b621b0af1c, experimental run, "The experimental run is the statistical unit. Per-run values are aggregated across valid runs using arithmetic mean, sample SD (ddof=1), median, pandas linear-interpolation quartiles, minimum, and maximum."
